Question	Option	Question	Response
1	A	 When starting a new initiative, what do you focus on first?	Start immediately and refine as I go
1	B	 When starting a new initiative, what do you focus on first?	Map out the plan in detail first
1	C	 When starting a new initiative, what do you focus on first?	Speak to key stakeholders before acting
1	D	 When starting a new initiative, what do you focus on first?	Wait for clarity and direction
2	A	 How would you describe your natural pace at work?	High and intense
2	B	 How would you describe your natural pace at work?	Consistent and steady
2	C	 How would you describe your natural pace at work?	Calm and reflective
2	D	 How would you describe your natural pace at work?	Variable depending on environment
3	A	 When priorities shift suddenly, what is your instinct?	Adapt quickly
3	B	 When priorities shift suddenly, what is your instinct?	Reassess methodically
3	C	 When priorities shift suddenly, what is your instinct?	Check impact on others
3	D	 When priorities shift suddenly, what is your instinct?	Feel unsettled
4	A	 What type of work do you naturally gravitate towards?	Challenging and visible
4	B	 What type of work do you naturally gravitate towards?	Structured and defined
4	C	 What type of work do you naturally gravitate towards?	Collaborative
4	D	 What type of work do you naturally gravitate towards?	Technical or analytical
5	A	 When there is little clarity, what do you do first?	Move forward confidently
5	B	 When there is little clarity, what do you do first?	Gather more data
5	C	 When there is little clarity, what do you do first?	Seek reassurance
5	D	 When there is little clarity, what do you do first?	Maintain stability
6	A	 When working on something important, how do you handle detail?	Secondary to momentum
6	B	 When working on something important, how do you handle detail?	Balanced
6	C	 When working on something important, how do you handle detail?	Very high
6	D	 When working on something important, how do you handle detail?	Delegated where possible
7	A	 When receiving feedback, what is your immediate reaction?	Motivates me
7	B	 When receiving feedback, what is your immediate reaction?	Helps refine performance
7	C	 When receiving feedback, what is your immediate reaction?	Feels personal
7	D	 When receiving feedback, what is your immediate reaction?	Must be logical to matter
8	A	 When making decisions, what do you rely on most?	Fast
8	B	 When making decisions, what do you rely on most?	Balanced
8	C	 When making decisions, what do you rely on most?	Cautious
8	D	 When making decisions, what do you rely on most?	Data-driven
9	A	 In meetings, how do you usually contribute?	Direct the discussion
9	B	 In meetings, how do you usually contribute?	Generate ideas
9	C	 In meetings, how do you usually contribute?	Support others
9	D	 In meetings, how do you usually contribute?	Question assumptions
10	A	 How would others describe your communication style?	Direct and concise
10	B	 How would others describe your communication style?	Persuasive and expressive
10	C	 How would others describe your communication style?	Patient and empathetic
10	D	 How would others describe your communication style?	Precise and factual
11	A	 When leading a project, where does your focus go first?	Set aggressive goals
11	B	 When leading a project, where does your focus go first?	Inspire enthusiasm
11	C	 When leading a project, where does your focus go first?	Ensure everyone feels included
11	D	 When leading a project, where does your focus go first?	Focus on systems and accuracy
12	A	 Under tight time pressure, how do you operate?	Push harder
12	B	 Under tight time pressure, how do you operate?	Motivate the team
12	C	 Under tight time pressure, how do you operate?	Protect morale
12	D	 Under tight time pressure, how do you operate?	Double-check details
13	A	 What kind of environment helps you perform best?	In control
13	B	 What kind of environment helps you perform best?	Influencing
13	C	 What kind of environment helps you perform best?	Supporting
13	D	 What kind of environment helps you perform best?	Analysing
14	A	 How do others typically experience you at work?	Decisive
14	B	 How do others typically experience you at work?	Charismatic
14	C	 How do others typically experience you at work?	Reliable
14	D	 How do others typically experience you at work?	Thoughtful
15	A	 What frustrates you most in a working environment?	Slow decision-making
15	B	 What frustrates you most in a working environment?	Lack of enthusiasm
15	C	 What frustrates you most in a working environment?	Harsh conflict
15	D	 What frustrates you most in a working environment?	Poor logic
16	A	 What drives you to perform at your best?	Achievement
16	B	 What drives you to perform at your best?	Influence
16	C	 What drives you to perform at your best?	Stability
16	D	 What drives you to perform at your best?	Mastery
17	A	 Why does recognition matter to you, if it does?	It reflects success
17	B	 Why does recognition matter to you, if it does?	It builds visibility
17	C	 Why does recognition matter to you, if it does?	It strengthens relationships
17	D	 Why does recognition matter to you, if it does?	It validates expertise
18	A	 Given a choice, what kind of work would you choose more often?	Stretch targets
18	B	 Given a choice, what kind of work would you choose more often?	Bigger network
18	C	 Given a choice, what kind of work would you choose more often?	Job security
18	D	 Given a choice, what kind of work would you choose more often?	Skill depth
19	A	 If you had complete freedom, how would you choose to work?	Compete
19	B	 If you had complete freedom, how would you choose to work?	Build
19	C	 If you had complete freedom, how would you choose to work?	Protect
19	D	 If you had complete freedom, how would you choose to work?	Optimise
20	A	 How do you personally measure success?	Results
20	B	 How do you personally measure success?	Impact
20	C	 How do you personally measure success?	Harmony
20	D	 How do you personally measure success?	Quality
21	A	 What kind of work gives you energy?	Winning
21	B	 What kind of work gives you energy?	Inspiring
21	C	 What kind of work gives you energy?	Supporting
21	D	 What kind of work gives you energy?	Solving
22	A	 What causes you to disengage from work?	Goals are weak
22	B	 What causes you to disengage from work?	Voice is ignored
22	C	 What causes you to disengage from work?	Conflict escalates
22	D	 What causes you to disengage from work?	Standards slip
23	A	 What kind of leader do you respect most?	Take charge
23	B	 What kind of leader do you respect most?	Set vision
23	C	 What kind of leader do you respect most?	Develop people
23	D	 What kind of leader do you respect most?	Provide clarity
24	A	 When do you feel most valued at work?	Trusted with responsibility
24	B	 When do you feel most valued at work?	Consulted
24	C	 When do you feel most valued at work?	Included
24	D	 When do you feel most valued at work?	Recognised for expertise
25	A	 In a team, what role do you naturally take?	Lead
25	B	 In a team, what role do you naturally take?	Connect
25	C	 In a team, what role do you naturally take?	Stabilise
25	D	 In a team, what role do you naturally take?	Specialise
26	A	 Do you prefer working independently or with others?	Independently
26	B	 Do you prefer working independently or with others?	Collaboratively
26	C	 Do you prefer working independently or with others?	In predictable teams
26	D	 Do you prefer working independently or with others?	With intellectual challenge
27	A	 When you are left out of decisions, how do you respond?	Challenge
27	B	 When you are left out of decisions, how do you respond?	Re-engage
27	C	 When you are left out of decisions, how do you respond?	Withdraw
27	D	 When you are left out of decisions, how do you respond?	Analyse
28	A	 What do you actively look for in your work?	Authority
28	B	 What do you actively look for in your work?	Influence
28	C	 What do you actively look for in your work?	Belonging
28	D	 What do you actively look for in your work?	Competence
29	A	Think back to the last time you disagreed with a colleague. What approach did you take?	Compete
29	B	Think back to the last time you disagreed with a colleague. What approach did you take?	Persuade
29	C	Think back to the last time you disagreed with a colleague. What approach did you take?	Compromise
29	D	Think back to the last time you disagreed with a colleague. What approach did you take?	Withdraw
30	A	Recall a time you were challenged in front of others. How did you respond in the moment?	Stand firm
30	B	Recall a time you were challenged in front of others. How did you respond in the moment?	Respond emotionally
30	C	Recall a time you were challenged in front of others. How did you respond in the moment?	De-escalate
30	D	Recall a time you were challenged in front of others. How did you respond in the moment?	Clarify facts
31	A	When someone on your team last underperformed, what did you do first?	Address directly
31	B	When someone on your team last underperformed, what did you do first?	Encourage
