domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|concentrated|deep_focus|creative_movement|physical_rhythm|social_exchange|Depth that becomes original work|You can stay with demanding work long enough to create something thoughtful and original.|You may keep the work inside your own thinking for too long before testing whether it lands.|Let focus build substance, then use one timely response to check the result.|This result is strongest when serious attention creates a solid base. Creative Movement helps that base become more original. Physical Rhythm gives attention a way to recover when it gets heavy. Social Exchange is the outside check that stops the work becoming too enclosed.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::concentrated
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|paired|deep_focus|creative_movement|physical_rhythm|social_exchange|Focused originality with a reset point|You can produce work that feels both considered and fresh.|You may move between deep thought and new angles after the work is ready for a choice.|Let focus and ideas work together, then pause, move, or test before the loop continues.|This result depends on the close relationship between attention and possibility. Deep Focus gives the work weight. Creative Movement keeps it alive and less rigid. Physical Rhythm helps clear the loop when it becomes too mental, and Social Exchange checks clarity outside your own view.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::paired
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|graduated|deep_focus|creative_movement|physical_rhythm|social_exchange|Focus, ideas, reset, then response|You can move from careful thought into original work without losing practical steadiness.|You may delay feedback until the work has already travelled through several private stages.|Follow the order, but bring in response while the work is still easy to improve.|This result works best as a sequence. Deep Focus finds the substance first. Creative Movement gives that substance a better angle. Physical Rhythm resets attention before the work becomes forced, and Social Exchange tests whether the result is clear to someone else.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::graduated
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|balanced|deep_focus|creative_movement|physical_rhythm|social_exchange|Flexible work with a thinking base|You can choose the condition that fits the task while keeping depth available.|You may switch conditions too quickly instead of giving one of them enough time to work.|Start with the condition the task needs, then review before changing course.|Deep Focus appears first here, but not heavily. Some work may need quiet attention, some may need ideas, some may need movement, and some may need a useful conversation. The value is flexibility with enough judgement behind it. The risk is using variety before the work has settled.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::balanced
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|concentrated|deep_focus|creative_movement|social_exchange|physical_rhythm|Focused work that finds its audience|You can build a strong idea before asking it to make sense to someone else.|You may stay in mental work for too long and miss the reset that would make the next step clearer.|Think deeply, open the angle, test it, and reset before continuing.|This result starts with depth and moves toward expression. Creative Movement helps the work become more than a careful answer. Social Exchange checks whether the idea can be understood and used by another person. Physical Rhythm may need to be added deliberately when thinking and talking start to feel heavy.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::concentrated
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|paired|deep_focus|creative_movement|social_exchange|physical_rhythm|Depth and ideas with a clear test|You can turn focused thinking into original work that can be explained to others.|You may keep improving the idea without giving your state a chance to reset.|Let the best angle meet a real response, then step away before the next round.|Deep Focus and Creative Movement sit close together in this result. Focus gives the idea substance, and idea movement keeps the work from becoming flat. Social Exchange helps reveal what is clear or missing. Physical Rhythm is the deliberate reset that keeps the work from staying only in the head.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::paired
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|graduated|deep_focus|creative_movement|social_exchange|physical_rhythm|Think, reframe, explain, then reset|You can develop work privately and then make it clearer through a useful response.|You may use thought, ideas, and conversation before noticing that the system needs a physical shift.|Use the sequence, then reset before more thinking or more talk.|This result has a clear order. Deep Focus creates the base. Creative Movement gives it a stronger angle. Social Exchange tests and translates the work, while Physical Rhythm helps when the chain becomes too mental or verbal. The best version turns private substance into something others can understand.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::graduated
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|balanced|deep_focus|creative_movement|social_exchange|physical_rhythm|Depth, ideas, and response in balance|You can move between thinking, reframing, and testing as the work asks for it.|You may treat physical reset as optional even when it would make the work easier.|Choose whether the next step needs focus, an idea, response, or a change of state.|Deep Focus is only lightly first in this result. Creative Movement and Social Exchange are close enough to matter in real time. Some work will need private thought, some will need a better angle, and some will need a useful response. Physical Rhythm keeps the set from becoming too mental.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::balanced
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|concentrated|deep_focus|physical_rhythm|creative_movement|social_exchange|Deep work with practical steadiness|You can stay with demanding work while using rhythm to keep attention available.|You may become steady and self-contained before the work has been tested outside your own view.|Use rhythm to support focus, then invite range and response before the work closes in.|This result is built around serious attention with a practical base. Physical Rhythm helps focus avoid becoming strained or static. Creative Movement adds range once the work has traction. Social Exchange checks whether the result lands beyond your own process.|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::concentrated
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|paired|deep_focus|physical_rhythm|creative_movement|social_exchange|Focused attention with a working rhythm|You can make deep work feel more workable through pace, movement, or routine.|You may rely on steady effort after the work needs a new angle or outside check.|Let rhythm support focus, then ask what would widen or test the work.|Deep Focus and Physical Rhythm are best read together here. Focus gives the work care and substance. Rhythm helps attention stay available instead of becoming forced. Creative Movement keeps the result from getting too narrow, and Social Exchange tests whether it is clear to another person.|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::paired
