domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
leadership-approach|vision_results_process_people|narrowing_1|1|When the frame stays above the work|Vision can narrow when the future frame keeps expanding before the current work has a clear decision, method, or people grounding. The work may sound coherent, but people may still be unsure what changes next.|people|active|leadership-approach::vision_results_process_people::narrowing_1
leadership-approach|vision_results_process_people|narrowing_2|2|When Vision and Results take most of the space|Vision and Results can narrow together when the combination of direction, meaning, and future consequence with decision, ownership, and follow-through answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer sequence, standards, or handover or clearer communication, inclusion, and relational judgement until the work is harder to adjust.|process|active|leadership-approach::vision_results_process_people::narrowing_2
leadership-approach|vision_results_process_people|narrowing_3|3|Before People is added|Process can add range before People is brought in deliberately, but the pattern may still narrow if People is left until later. The likely miss is progress that looks organised from the outside while commitment, confidence, or shared understanding needs more attention, especially when Vision and Results already feel convincing.|people|active|leadership-approach::vision_results_process_people::narrowing_3
leadership-approach|vision_results_people_process|narrowing_1|1|When the frame stays above the work|Vision can narrow when the future frame keeps expanding before the current work has a clear decision, method, or people grounding. The work may sound coherent, but people may still be unsure what changes next.|process|active|leadership-approach::vision_results_people_process::narrowing_1
leadership-approach|vision_results_people_process|narrowing_2|2|When Vision and Results take most of the space|Vision and Results can narrow together when the combination of direction, meaning, and future consequence with decision, ownership, and follow-through answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer communication, inclusion, and relational judgement or clearer sequence, standards, or handover until the work is harder to adjust.|people|active|leadership-approach::vision_results_people_process::narrowing_2
leadership-approach|vision_results_people_process|narrowing_3|3|Before Process is added|People can add range before Process is brought in deliberately, but the pattern may still narrow if Process is left until later. The likely miss is energy that depends on individual effort because the method is not yet clear enough to repeat, especially when Vision and Results already feel convincing.|process|active|leadership-approach::vision_results_people_process::narrowing_3
leadership-approach|vision_process_results_people|narrowing_1|1|When the frame stays above the work|Vision can narrow when the future frame keeps expanding before the current work has a clear decision, method, or people grounding. The work may sound coherent, but people may still be unsure what changes next.|people|active|leadership-approach::vision_process_results_people::narrowing_1
leadership-approach|vision_process_results_people|narrowing_2|2|When Vision and Process take most of the space|Vision and Process can narrow together when the combination of direction, meaning, and future consequence with sequence, standards, and dependable handover answers the first questions too quickly. The pattern may look productive, but it can leave less room for a firmer outcome, owner, or next decision or clearer communication, inclusion, and relational judgement until the work is harder to adjust.|results|active|leadership-approach::vision_process_results_people::narrowing_2
leadership-approach|vision_process_results_people|narrowing_3|3|Before People is added|Results can add range before People is brought in deliberately, but the pattern may still narrow if People is left until later. The likely miss is progress that looks organised from the outside while commitment, confidence, or shared understanding needs more attention, especially when Vision and Process already feel convincing.|people|active|leadership-approach::vision_process_results_people::narrowing_3
leadership-approach|vision_process_people_results|narrowing_1|1|When the frame stays above the work|Vision can narrow when the future frame keeps expanding before the current work has a clear decision, method, or people grounding. The work may sound coherent, but people may still be unsure what changes next.|results|active|leadership-approach::vision_process_people_results::narrowing_1
leadership-approach|vision_process_people_results|narrowing_2|2|When Vision and Process take most of the space|Vision and Process can narrow together when the combination of direction, meaning, and future consequence with sequence, standards, and dependable handover answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer communication, inclusion, and relational judgement or a firmer outcome, owner, or next decision until the work is harder to adjust.|people|active|leadership-approach::vision_process_people_results::narrowing_2
leadership-approach|vision_process_people_results|narrowing_3|3|Before Results is added|People can add range before Results is brought in deliberately, but the pattern may still narrow if Results is left until later. The likely miss is work that feels well discussed but does not yet have a named owner, outcome, or next move, especially when Vision and Process already feel convincing.|results|active|leadership-approach::vision_process_people_results::narrowing_3
leadership-approach|vision_people_results_process|narrowing_1|1|When the frame stays above the work|Vision can narrow when the future frame keeps expanding before the current work has a clear decision, method, or people grounding. The work may sound coherent, but people may still be unsure what changes next.|process|active|leadership-approach::vision_people_results_process::narrowing_1
leadership-approach|vision_people_results_process|narrowing_2|2|When Vision and People take most of the space|Vision and People can narrow together when the combination of direction, meaning, and future consequence with trust, communication, and shared commitment answers the first questions too quickly. The pattern may look productive, but it can leave less room for a firmer outcome, owner, or next decision or clearer sequence, standards, or handover until the work is harder to adjust.|results|active|leadership-approach::vision_people_results_process::narrowing_2
leadership-approach|vision_people_results_process|narrowing_3|3|Before Process is added|Results can add range before Process is brought in deliberately, but the pattern may still narrow if Process is left until later. The likely miss is energy that depends on individual effort because the method is not yet clear enough to repeat, especially when Vision and People already feel convincing.|process|active|leadership-approach::vision_people_results_process::narrowing_3
leadership-approach|vision_people_process_results|narrowing_1|1|When the frame stays above the work|Vision can narrow when the future frame keeps expanding before the current work has a clear decision, method, or people grounding. The work may sound coherent, but people may still be unsure what changes next.|results|active|leadership-approach::vision_people_process_results::narrowing_1
leadership-approach|vision_people_process_results|narrowing_2|2|When Vision and People take most of the space|Vision and People can narrow together when the combination of direction, meaning, and future consequence with trust, communication, and shared commitment answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer sequence, standards, or handover or a firmer outcome, owner, or next decision until the work is harder to adjust.|process|active|leadership-approach::vision_people_process_results::narrowing_2
leadership-approach|vision_people_process_results|narrowing_3|3|Before Results is added|Process can add range before Results is brought in deliberately, but the pattern may still narrow if Results is left until later. The likely miss is work that feels well discussed but does not yet have a named owner, outcome, or next move, especially when Vision and People already feel convincing.|results|active|leadership-approach::vision_people_process_results::narrowing_3
