domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|concentrated|deep_focus|creative_movement|physical_rhythm|social_exchange|Why focus makes the work feel reliable|This pattern works by using focused time to build trust in the work before it opens out. Creative Movement adds fresh angles, Physical Rhythm resets attention, and Social Exchange tests whether the result lands.|It may show up because early action or feedback can feel premature before the person has enough contact with the problem. The work feels safer once there is something substantial to develop.|It protects depth, judgement, and the space to form a clear view. The trade-off is that movement or outside response can arrive later than it needs to.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::concentrated
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|paired|deep_focus|creative_movement|physical_rhythm|social_exchange|Why focus and ideas repeat together|This pattern works through a close link between concentration and possibility. Deep Focus gives the work substance, while Creative Movement keeps it flexible enough to become original.|It may show up because the person trusts careful thinking, but also needs room for the work to shift once the main point is found. The pair can make the work feel both solid and alive.|It protects considered originality. The trade-off is that focus and ideas may keep feeding each other after the work needs a pause, response, or decision.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::paired
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|graduated|deep_focus|creative_movement|physical_rhythm|social_exchange|Why the order moves from depth to testing|This pattern works as a sequence. Deep Focus finds the substance, Creative Movement opens better angles, Physical Rhythm resets the system, and Social Exchange checks whether the work is clear to someone else.|It may show up because the person tends to trust the work more after they have understood it privately. Each later signal then has a clearer job to do.|It protects a steady move from depth into range. The trade-off is that feedback may wait until the work has already travelled a long way inside the person's own process.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::graduated
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|balanced|deep_focus|creative_movement|physical_rhythm|social_exchange|Why several routes can still start with focus|This pattern works by offering several usable ways into flow, with Deep Focus only lightly first. Focus, ideas, movement, and conversation may each matter depending on the task.|It may show up because different kinds of work ask for different conditions. A complex task may need quiet depth, while another may need a fresh angle, a reset, or a useful response.|It protects flexibility with a thinking base. The trade-off is that the person may keep changing conditions instead of giving the right route enough time to work.|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::balanced
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|concentrated|deep_focus|creative_movement|social_exchange|physical_rhythm|Why focused work needs a response|This pattern works by building a strong private base before the work becomes more expressive and shareable. Creative Movement opens ideas, Social Exchange tests or translates them, and Physical Rhythm may need more deliberate use.|It may show up because the person wants the work to make sense before it is exposed to other people. Once the thinking has weight, ideas and conversation feel more useful.|It protects substance before visibility. The trade-off is that the process can become too mental if movement, pace, or physical reset is delayed.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::concentrated
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|paired|deep_focus|creative_movement|social_exchange|physical_rhythm|Why focus and ideas need a test|This pattern works through a close focus-and-ideas mechanism. Deep Focus gives the best angle weight, Creative Movement keeps it open, and Social Exchange tests whether it makes sense beyond the person who made it.|It may show up because quiet thought and fresh angles both feel necessary before the work can be trusted. Conversation then helps reveal what is clear and what still needs sorting.|It protects original work with enough substance to be tested. The trade-off is that Physical Rhythm may be overlooked until the process already feels heavy or stuck.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::paired
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|graduated|deep_focus|creative_movement|social_exchange|physical_rhythm|Why the work moves from thought to translation|This pattern works through a clear progression. Deep Focus builds the base, Creative Movement gives the work range, Social Exchange translates it for another person, and Physical Rhythm offers a later reset.|It may show up because the person often needs to understand the point before trying a new angle or explaining it. The sequence helps private work become usable outside the person's own head.|It protects careful thinking that can become clear to others. The trade-off is that the body or environment may be asked to reset the work only after the mind has done too much.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::graduated
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|balanced|deep_focus|creative_movement|social_exchange|physical_rhythm|Why depth, ideas, and response stay close|This pattern works with several close routes. Deep Focus, Creative Movement, and Social Exchange may all help the work become clear, while Physical Rhythm remains useful when the process needs a change of state.|It may show up because some tasks need quiet depth, some need a new angle, and some need another person to test the point. The ranking should be read lightly.|It protects adaptable sense-making. The trade-off is that physical reset may be treated as optional even when it would make the whole pattern easier to use.|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::balanced
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|concentrated|deep_focus|physical_rhythm|creative_movement|social_exchange|Why focus needs a practical rhythm|This pattern works by giving deep attention a steady physical or practical base. Physical Rhythm helps focus stay usable, Creative Movement adds range, and Social Exchange tests the result when it needs to leave the private process.|It may show up because the person trusts focused attention but also needs movement, routine, or pace to stop concentration becoming forced. The work feels reliable when depth has a rhythm around it.|It protects sustained attention without making it completely static. The trade-off is that outside response may still arrive late, after the person has already worked the problem through alone.|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::concentrated
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|paired|deep_focus|physical_rhythm|creative_movement|social_exchange|Why movement helps focus stay usable|This pattern works through a close link between concentration and state. Deep Focus gives the work depth, while Physical Rhythm keeps attention available through movement, routine, pace, or environment.|It may show up because sitting still and thinking harder is not always enough. The person may trust focus most when the body or setting helps the mind stay steady.|It protects serious work from becoming too heavy or abstract. The trade-off is that ideas and feedback may come after focus and rhythm have already set the direction.|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::paired
