domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|concentrated|social_exchange|deep_focus|creative_movement|physical_rhythm|Flow starts through live exchange|You are most likely to find flow when conversation, feedback, or shared thinking helps the work become clearer.|This pattern often shows up when interaction gives the work energy and direction. You may think better while explaining, teaching, facilitating, debating, presenting, coaching, solving a problem with someone, or responding to live feedback. Deep Focus then helps you stay with what matters after the exchange has opened something up. Creative Movement brings in new angles so the conversation becomes more than simple reaction. Physical Rhythm becomes useful when social or mental energy needs a reset.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::concentrated
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|paired|social_exchange|deep_focus|creative_movement|physical_rhythm|Exchange that gains depth|You are likely to find flow when live exchange and focused thinking work closely together.|This result may feel familiar if a conversation, client discussion, teaching moment, or shared problem helps you see what matters. Deep Focus then gives the useful point enough time to become substantial. Creative Movement adds range when the exchange needs a fresh angle. Physical Rhythm can help when the process needs a reset rather than more response.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::paired
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|graduated|social_exchange|deep_focus|creative_movement|physical_rhythm|Talk it through, then deepen it|You are likely to reach flow through a clear order: exchange opens the work, focus develops it, ideas widen it, and movement resets the process.|This pattern may show up when live response helps attention find the point. Deep Focus helps you stay with the insight after the exchange has done its work. Creative Movement can reframe the next step when the thinking becomes too narrow. Physical Rhythm is useful when the interaction has left your energy busy or overextended.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::graduated
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|balanced|social_exchange|deep_focus|creative_movement|physical_rhythm|Several routes into shared clarity|You may find flow through exchange, focus, ideas, or movement depending on what the work needs.|Social Exchange appears first, but not by enough to make the result one-sided. Some work may need a useful conversation. Some may need quiet attention, a fresh angle, or a change of state. The useful question is which condition helps the work become clearer now.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::balanced
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|concentrated|social_exchange|deep_focus|physical_rhythm|creative_movement|Shared thinking that needs substance|You are most likely to find flow when exchange opens the work, then focus and reset help it become clearer.|This pattern often shows up when conversation, feedback, facilitation, or shared problem-solving gives attention a useful point of contact. Deep Focus helps you develop the important part after the exchange. Physical Rhythm can reset your state when the process becomes too verbal or mentally busy. Creative Movement may need deliberate room when the work needs a less obvious angle.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::concentrated
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|paired|social_exchange|deep_focus|physical_rhythm|creative_movement|Live exchange with a thinking base|You are likely to find flow when Social Exchange and Deep Focus sit close together.|This result may feel recognisable if discussion helps you find the point, but the useful part still needs private attention afterwards. You may teach, explain, debate, or test something aloud, then need time to refine it. Physical Rhythm helps reset when the exchange has used a lot of energy. Creative Movement is useful when the work needs more possibility or a different route.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::paired
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|graduated|social_exchange|deep_focus|physical_rhythm|creative_movement|Exchange, focus, then reset|You are likely to reach flow through a sequence where live response opens the work, focus deepens it, movement resets it, and ideas add range.|This pattern may show up when you need another mind, group, client, or audience to help the work become real. Deep Focus helps you keep the important part after the exchange ends. Physical Rhythm can lower the noise and restore steadiness. Creative Movement may need to be added when the work becomes too settled or practical.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::graduated
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|balanced|social_exchange|deep_focus|physical_rhythm|creative_movement|Flexible flow through response and depth|You may find flow through several close routes, with exchange first but focus, movement, and ideas all meaningful.|This balanced result should be read lightly. Some tasks may need a conversation. Others may need quiet attention, a physical reset, or a fresh angle. Social Exchange is the first place to look, but the pattern works best when you choose the condition that helps the work now.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::balanced
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|concentrated|social_exchange|creative_movement|deep_focus|physical_rhythm|Ideas that grow through exchange|You are most likely to find flow when live interaction opens new angles and helps the work develop.|This pattern often shows up when conversation, teaching, feedback, or shared problem-solving makes ideas easier to find. Creative Movement gives the exchange range and originality. Deep Focus helps the strongest point become more substantial after the live work. Physical Rhythm may need deliberate use when the process becomes too mental, social, or crowded.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::concentrated
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|paired|social_exchange|creative_movement|deep_focus|physical_rhythm|Shared ideas with a useful direction|You are likely to find flow when Social Exchange and Creative Movement work closely together.|This result may feel familiar if ideas become clearer through discussion, co-creation, facilitation, presenting, or live feedback. The exchange gives the idea response, and Creative Movement helps it become more than the first answer in the room. Deep Focus gives the best direction substance afterwards. Physical Rhythm can help when the process needs a reset.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::paired
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|graduated|social_exchange|creative_movement|deep_focus|physical_rhythm|Exchange, ideas, then depth|You are likely to reach flow through a clear order: live exchange opens the work, ideas widen it, focus deepens it, and movement resets the process.|This pattern may show up when shared thinking helps new angles appear quickly. Creative Movement keeps the exchange from becoming only reaction or agreement. Deep Focus helps you stay with the strongest idea once it has emerged. Physical Rhythm is useful when the work needs a change of state or pace.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::graduated
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|balanced|social_exchange|creative_movement|deep_focus|physical_rhythm|Several ways to make ideas clearer|You may find flow through exchange, ideas, focus, or movement depending on the work in front of you.|Social Exchange appears first, but Creative Movement and Deep Focus are close enough to matter. Some tasks may need live response. Some may need a fresh angle or quiet development. Physical Rhythm still matters when the work needs a reset before more thinking will help.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::balanced
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|concentrated|social_exchange|creative_movement|physical_rhythm|deep_focus|Shared momentum before quiet depth|You are most likely to find flow when exchange and ideas create momentum, then movement keeps the work active.|This pattern often shows up when discussion, feedback, facilitation, or presenting helps ideas form in real time. Creative Movement gives the exchange range. Physical Rhythm helps reset or sustain energy when the process becomes busy. Deep Focus may need deliberate use when the work now needs careful finishing, review, or refinement.|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::concentrated
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|paired|social_exchange|creative_movement|physical_rhythm|deep_focus|Exchange and ideas in close contact|You are likely to find flow when live exchange and idea movement stay close together.|This result may feel recognisable if the work develops through conversation, co-creation, teaching, client response, or shared sense-making. Creative Movement keeps the exchange generative rather than only reactive. Physical Rhythm can reset the pace when energy becomes too busy. Deep Focus is useful range when the result needs substance and completion.|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::paired
