domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|concentrated|Your clearest route into flow is physical rhythm that helps attention enter the work. Deep Focus gives the momentum depth, while ideas and response widen the result when needed.|You can change state and turn that momentum into serious progress.|You may rely on pace or routine after the work needs a new angle or response.|Use rhythm to begin, then bring in focus, possibility, and feedback before the route becomes too self-contained.|Movement starts the work. Depth and response make it useful.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::concentrated
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|paired|Flow is likely to come from Physical Rhythm and Deep Focus working closely together. The body or environment helps the mind enter demanding work, and focus gives the movement a clear purpose.|You can use pace, routine, or setting to support careful attention.|You may turn steady effort into overwork if range arrives too late.|Use rhythm and focus together, then add a fresh angle or response while the work can still change.|The right conditions help attention do real work.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::paired
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|graduated|This pattern moves from rhythm into focus, then ideas, then response. The full sequence works well when action helps the mind enter depth before the work opens out.|You can start through state change and then deepen the work.|You may leave feedback until the work has already moved a long way privately.|Follow the sequence, then bring in Social Exchange before the result becomes hard to adjust.|Move in, think well, open the work, then check it.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::graduated
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|balanced|Read this as flexible flow with physical rhythm lightly first. Movement, focus, ideas, and response can each be the right route depending on what the task is asking for.|You can change state without losing access to depth or ideas.|You may keep changing conditions before the work has a clear direction.|Use the condition that helps now, then add the missing route before progress becomes narrow.|Flow improves when state change serves the work.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::balanced
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|concentrated|Your clearest route into flow is Physical Rhythm, followed by focused attention and response. Creative Movement is the deliberate range that keeps the practical answer from becoming too fixed.|You can use rhythm to enter serious work and make it understandable.|You may settle into a practical answer before trying a better angle.|Use rhythm and focus to build the work, then add response and one fresh option before closing.|A steady route can still invite possibility.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::concentrated
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|paired|Flow is likely to come from Physical Rhythm and Deep Focus as a close pair. The route is strongest when movement or setting supports deep attention without making the answer too fixed.|You can make careful work easier to enter and sustain.|You may stay with the steady route after it needs originality.|Use the rhythm-and-focus pair, then bring in response and a fresh angle before the answer hardens.|Steady attention works best with room to adapt.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::paired
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|graduated|This pattern moves from physical rhythm into focus, then response, then creative range. The sequence can produce grounded clarity when the final signal is used before the work becomes too settled.|You can start practically, deepen the work, and check whether it lands.|You may add originality only after the main answer feels finished.|Follow the order, then invite Creative Movement while change is still easy.|Get steady first, but do not close too soon.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::graduated
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|balanced|Read this as flexible steadiness with movement and focus close together. Social Exchange and Creative Movement are still real options when the work needs response or a different route.|You can use state, attention, and feedback to keep the work clear.|You may prefer the practical answer before considering a better option.|Start with the condition that helps, then add a fresh angle when the answer feels too familiar.|Practical progress stays stronger when it can still open.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::balanced
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|concentrated|Your clearest route into flow is Physical Rhythm that lets ideas start moving. Deep Focus develops the strongest route, and Social Exchange checks whether it can be used by someone else.|You can get work unstuck through movement and possibility.|You may keep trying or changing things after the work needs depth or response.|Use rhythm and ideas to begin, then give one route focus and ask for a clear check.|Motion creates access. Focus and response create use.|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::concentrated
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|paired|Flow is likely to come from Physical Rhythm and Creative Movement working together. Pace, setting, and ideas can make the task easier to enter before deeper attention and response are needed.|You can use movement to unlock options and momentum.|You may stay active after the work needs a decision or outside view.|Use the rhythm-and-ideas pair, then bring in focus and response before the work scatters.|Move the work, then make one route clear.|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::paired
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|graduated|This pattern moves from rhythm into ideas, then focus, then response. The order works when activity opens possibility and focus turns it into something that can be checked.|You can start through action and find a better route as you go.|You may delay feedback until the chosen route is already over-developed.|Follow the sequence, then bring in Social Exchange while the result can still improve.|Act, open, deepen, then check the result.|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::graduated
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|balanced|Read this as flexible momentum with ideas close by. Physical Rhythm may be first, but focus and response matter when the work needs a clear answer rather than more motion.|You can use movement, ideas, depth, or feedback as the task changes.|You may keep the work active when it needs a clearer point.|Use what gets the work moving, then add focus or response to make progress visible.|Momentum is strongest when it knows where it is going.|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::balanced
flow-state|physical_rhythm_creative_movement_social_exchange_deep_focus|concentrated|Your clearest route into flow is Physical Rhythm, with ideas and response close behind. Deep Focus is deliberate range that helps the active pattern become a clear finished answer.|You can create momentum, options, and live clarity quickly.|You may stay active and responsive after the hard thinking needs attention.|Use rhythm, ideas, and exchange to open progress, then add focused time before final decisions.|Activity starts the work. Attention completes it.|active|flow-state::physical_rhythm_creative_movement_social_exchange_deep_focus::concentrated
flow-state|physical_rhythm_creative_movement_social_exchange_deep_focus|paired|Flow is likely to come from Physical Rhythm and Creative Movement as a close pair. Social Exchange keeps the work responsive, while Deep Focus gives it the depth needed to stand.|You can use action and ideas to make stuck work move again.|You may keep the work lively without finishing the important thought.|Use the active pair, then bring in response and protected focus before the result needs to hold.|Keep it moving, then make it clear enough to finish.|active|flow-state::physical_rhythm_creative_movement_social_exchange_deep_focus::paired
