section_key|field_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|source_anchor|source_excerpt|transformation_rule|final_text|drift_check|quality_notes|status
06_Orientation|orientation_title|process_results_people_vision|paired|process|results|people|vision|pattern_identity|Process and Results work closely together.|Name the paired route without using a type label.|A reliable route through the work|Confirms Process leads and Results closely strengthens without exposing pattern key.|orientation_title paired headline|review
06_Orientation|rank_1_phrase|process_results_people_vision|paired|process|results|people|vision|pattern_identity|Your leadership approach is led by Process.|Turn rank 1 into the first trusted leadership route.|You lead first by making work clearer, more sequenced, and easier to hold together.|Keeps Process as behavioural structure rather than bureaucracy.|rank_1_phrase process|review
06_Orientation|rank_2_phrase|process_results_people_vision|paired|process|results|people|vision|core_leadership_thesis|The Results influence prevents this from becoming purely procedural.|Show Results as the close working partner to Process.|Results gives that structure a practical edge, keeping the plan connected to decisions, movement, and visible progress.|Preserves paired Process and Results emphasis without making Results secondary filler.|rank_2_phrase results|review
06_Orientation|rank_3_phrase|process_results_people_vision|paired|process|results|people|vision|rank_3_extension|People expands your pattern by turning clarity into shared ownership.|Frame People as useful range and ownership, not weakness.|People adds range by helping the route become shared, trusted, and owned by the team rather than only understood.|Frames rank 3 as extension and avoids deficiency language.|rank_3_phrase people|review
06_Orientation|rank_4_phrase|process_results_people_vision|paired|process|results|people|vision|rank_4_extension|Vision expands your pattern by connecting reliable action to a larger direction.|Frame Vision as deliberate strategic range.|Vision adds range when you connect the immediate route to a larger direction, purpose, and future capability.|Frames rank 4 as deliberate range and not absence.|rank_4_phrase vision|review
06_Orientation|orientation_summary|process_results_people_vision|paired|process|results|people|vision|pattern_identity|Your leadership approach is led by Process and strengthened by Results. People and Vision also matter.|Condense the dossier opening into a reader-facing orientation.|Your leadership approach is led by Process and strengthened by Results. You tend to create confidence by giving work a clearer route, then making sure that route produces practical movement. People and Vision also matter, but they usually need to be brought in deliberately before the plan becomes too fixed.|Checks that all four signals appear and lower ranks are range rather than faults.|orientation_summary approved opening meaning|review
06_Orientation|score_shape_summary|process_results_people_vision|paired|process|results|people|vision|pattern_identity|The paired shape matters.|Explain paired shape as interpretive emphasis only.|The paired shape means Process and Results should be read together. This is not structure for its own sake, and it is not delivery pursued chaotically. Your strongest pattern is method used in service of dependable progress.|Does not imply score shape changes rank order, scoring, or pattern key.|score_shape_summary paired|review
07_Recognition|headline|process_results_people_vision|paired|process|results|people|vision|attention_pattern|Your first leadership move is usually to stabilise the work.|Create a compact recognition headline from observable behaviour.|You make progress feel more organised and dependable|Avoids praise-only framing and keeps behaviour work-facing.|headline recognition|review
07_Recognition|recognition_statement|process_results_people_vision|paired|process|results|people|vision|attention_pattern|Your attention goes to the practical mechanics of leadership.|Translate attention habits into second-person recognition.|You may recognise your leadership approach in the way you listen for unclear ownership, weak next steps, repeated discussion, or work that has not yet been shaped enough to move.|Shows what the reader notices rather than defining signals.|recognition_statement observable cues|review
07_Recognition|recognition_expansion|process_results_people_vision|paired|process|results|people|vision|felt_experience|People may trust you because you bring order without needing drama.|Expand recognition through team experience and possible tension.|Others may experience your leadership as dependable and useful because you reduce drift and make the route visible. The tension is that people can sometimes receive the structure before they feel fully involved in shaping it, especially when you move quickly from discussion into action.|Balances value with tension and keeps People as ownership range.|recognition_expansion team impact|review
09_Pattern_Mechanics|mechanics_title|process_results_people_vision|paired|process|results|people|vision|core_leadership_thesis|Your leadership pattern creates confidence by turning complexity and uncertainty into a workable route.|Name the operating mechanism behind the pattern.|Process creates the route, Results keeps it moving|Describes mechanism, not static trait or old pair model.|mechanics_title mechanism|review
09_Pattern_Mechanics|core_mechanism|process_results_people_vision|paired|process|results|people|vision|core_leadership_thesis|When work feels scattered, you look for standards, ownership, timing, and next steps.|Convert the thesis into cause-and-effect field copy.|When the situation is unclear, your paired Process-and-Results route creates a workable path through the noise. Process gives the work structure, while Results keeps that structure connected to action, decision, and measurable progress.|Keeps Process and Results as a paired mechanism without runtime claims.|core_mechanism paired operation|review
09_Pattern_Mechanics|why_it_shows_up|process_results_people_vision|paired|process|results|people|vision|pressure_behaviour|When stakes rise, you may become more focused on what needs to happen.|Explain the leadership problem the mechanism solves.|Your Process-and-Results route often shows up when ambiguity, pressure, or loose accountability could slow the work down. It gives you a way to reduce noise, establish priorities, and make progress less dependent on individual effort or interpretation.|Names context without pathologising the reader.|why_it_shows_up trigger|review
09_Pattern_Mechanics|what_it_protects|process_results_people_vision|paired|process|results|people|vision|protective_function|Your leadership pattern protects the work from drift and inconsistent results.|Translate the protective function into practical leadership protection.|It protects the work from drift, unclear expectations, weak handovers, repeated conversations, and decisions that sound agreed but never become visible action. At its best, this protection helps the team operate with more confidence.|Protection is useful but not unlimited, and no lower-ranked signal is blamed.|what_it_protects practical protection|review
10_Pattern_Synthesis|synthesis_title|process_results_people_vision|paired|process|results|people|vision|integrated_closing|Your leadership pattern is valuable because it makes work hold together.|State the central whole-pattern meaning.|Making work hold together|Specific to the dossier and not a slogan or archetype.|synthesis_title central meaning|review
10_Pattern_Synthesis|gift|process_results_people_vision|paired|process|results|people|vision|value_creation|Your leadership creates value by making progress repeatable.|Express the practical gift in leadership terms.|Your gift is turning complexity into a route people can understand, trust, own, and move through with more reliable progress.|Gift is behavioural and commercially credible, not generic praise.|gift practical contribution|review
10_Pattern_Synthesis|trap|process_results_people_vision|paired|process|results|people|vision|hidden_cost|The team may become well organised before it becomes fully engaged and committed.|Frame the overuse risk as narrowing, not flaw.|The trap is that the work can become organised before it becomes fully shared, leaving people clear on the plan but less connected to the ownership or purpose behind it.|Risk is contextual and avoids rank 3 or 4 deficiency language.|trap hidden cost|review
10_Pattern_Synthesis|takeaway|process_results_people_vision|paired|process|results|people|vision|development_moves|The most useful move is to bring People and Vision in before the plan becomes too fixed.|Turn development guidance into a concise leadership move.|Keep your structure and delivery discipline, but bring People and Vision in before the route is final, so the work is owned and meaningful as well as clear.|Action follows directly from the dossier and preserves identity.|takeaway development move|review
10_Pattern_Synthesis|synthesis_text|process_results_people_vision|paired|process|results|people|vision|integrated_closing|You are not simply maintaining order. You are using order to create action.|Integrate gift, trap, rank order, and paired shape.|Your Process-and-Results route works best when structure and delivery operate as one disciplined movement. You make complexity more manageable, convert discussion into action, and help work become clearer and more accountable. The development edge is to make sure People and Vision enter early enough that the route is not only efficient, but also shared, purposeful, and easier for others to own.|Checks coherence across value, risk, and range without repeating earlier fields too closely.|synthesis_text integrated interpretation|review
11_Strengths|strength_title|process_results_people_vision||process|results|people|vision|value_creation|Your leadership creates value by making progress repeatable.|Create the first strength title from the core value contribution.|Repeatable progress|Pattern-level strength title, not score-shape-specific.|strength_1|review
11_Strengths|strength_text|process_results_people_vision||process|results|people|vision|value_creation|You can create systems and ways of working that reduce confusion.|Explain the first strength as a practical consequence.|You help teams move from loose intention into a clearer route. Expectations, ownership, sequence, and standards become easier to see, which reduces rework and makes progress less dependent on individuals interpreting the work differently.|Specific practical consequence and not generic praise.|strength_1|review
11_Strengths|linked_signal_key|process_results_people_vision||process|results|people|vision|pattern_identity|Your leadership approach is led by Process.|Map the first strength to its main signal.|process|Uses canonical signal key and matches rank 1 meaning.|strength_1|review
11_Strengths|strength_title|process_results_people_vision||process|results|people|vision|decision_behaviour|You can prevent teams from confusing discussion with progress.|Create the second strength title from decision behaviour.|Disciplined closure|Pattern-level strength title, not score-shape-specific.|strength_2|review
11_Strengths|strength_text|process_results_people_vision||process|results|people|vision|decision_behaviour|Your decision strength is disciplined practicality.|Explain the second strength as a Process and Results interaction.|You can help groups decide what is known, what matters, what can move now, and what needs review later. That gives the team a practical way out of circular discussion without losing the discipline of a considered route.|Preserves the paired Process and Results contribution.|strength_2|review
11_Strengths|linked_signal_key|process_results_people_vision||process|results|people|vision|pattern_identity|Process and Results work closely together.|Map the second strength to its main shaping signal.|results|Uses canonical signal key and reflects Results strengthening Process.|strength_2|review
11_Strengths|strength_title|process_results_people_vision||process|results|people|vision|felt_experience|People may trust you because you bring order without needing drama.|Create the third strength title from team experience.|Calm operational confidence|Pattern-level strength title, not score-shape-specific.|strength_3|review
11_Strengths|strength_text|process_results_people_vision||process|results|people|vision|felt_experience|To others, your leadership may feel dependable, clear, grounded, and useful.|Explain the third strength as felt impact.|When your leadership approach is working well, people can experience relief. The work feels less vague, the route is visible, and the team has a clearer way to coordinate effort without constant firefighting or repeated interpretation.|Shows team impact and avoids generic leadership praise.|strength_3|review
11_Strengths|linked_signal_key|process_results_people_vision||process|results|people|vision|rank_3_extension|People expands your pattern by turning clarity into shared ownership.|Map the third strength to useful range.|people|Uses canonical signal key and frames People as ownership range.|strength_3|review
12_Narrowing|narrowing_title|process_results_people_vision||process|results|people|vision|hidden_cost|The team may become well organised before it becomes fully engaged and committed.|Create the first narrowing title from hidden cost.|Organised before owned|Pattern-level narrowing title with no score-shape dependency.|narrowing_1|review
12_Narrowing|narrowing_text|process_results_people_vision||process|results|people|vision|hidden_cost|The route may sometimes arrive before enough shared ownership has formed.|Explain the first narrowing risk and consequence.|The route may become clear before enough shared ownership has formed. People may know what to do, but still feel the plan belongs more to you than to the group, which can weaken commitment later.|Frames narrowing as overuse risk, not character flaw.|narrowing_1|review
12_Narrowing|missing_range_signal_key|process_results_people_vision||process|results|people|vision|rank_3_extension|People expands your pattern by turning clarity into shared ownership.|Map the range signal for the first narrowing.|people|Frames People as useful range, not missing ability.|narrowing_1|review
