domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|narrowing_1|1|Opening too many routes|Creative Movement can narrow when the work keeps generating options but does not choose one. Watch for variety becoming a way to avoid the harder task of development.|deep_focus|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::narrowing_1
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|narrowing_2|2|Polishing the most interesting option|Creative Movement and Deep Focus can make one idea feel worth endless improvement. The risk is staying with an elegant version before checking whether it is the needed version.|social_exchange|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::narrowing_2
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|narrowing_3|3|Missing pace and response|If Physical Rhythm and Social Exchange are not used deliberately, the idea may stay in development mode. Movement and a clear response check can show what should happen next.|physical_rhythm|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::narrowing_3
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|narrowing_1|1|Changing the frame too soon|Creative Movement can narrow when the work shifts before the first useful direction has been understood. This may look flexible, but it can make the task harder to finish.|deep_focus|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::narrowing_1
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|narrowing_2|2|Keeping a strong idea alive too long|Creative Movement and Deep Focus can keep developing a promising route after it needs a real-world check. Watch for improvement that is no longer changing the usefulness of the work.|social_exchange|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::narrowing_2
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|narrowing_3|3|Forgetting the reset point|Social Exchange can test the idea, but Physical Rhythm may still be needed to release the process. Without it, the pattern can keep moving between thought, ideas, and response without recovery.|physical_rhythm|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::narrowing_3
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|narrowing_1|1|Moving before the point is clear|Creative Movement can narrow when the task is reframed before the real constraint is understood. A useful question is whether the new angle is solving the problem or just changing it.|deep_focus|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::narrowing_1
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|narrowing_2|2|Mistaking momentum for progress|Creative Movement and Physical Rhythm can make the work feel active and alive. The risk is that energy keeps moving while the deeper issue remains under-examined.|deep_focus|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::narrowing_2
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|narrowing_3|3|Developing without checking|Deep Focus can strengthen the best option, but Social Exchange may be needed before too much effort is invested. A simple response check can prevent private confidence becoming rework.|social_exchange|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::narrowing_3
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|narrowing_1|1|Staying in active exploration|Creative Movement can narrow when the work keeps opening and adjusting without enough time to settle. Watch for the point where movement needs to become a clear decision.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::narrowing_1
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|narrowing_2|2|Letting energy carry the work|Creative Movement and Physical Rhythm can make experimentation feel productive. The risk is that the pace stays high even when the task now needs careful thought.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::narrowing_2
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|narrowing_3|3|Testing without depth|Social Exchange can improve an idea, but Deep Focus may be needed to finish the hard thinking. Without that depth, the pattern may collect reactions without resolving the work.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::narrowing_3
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|narrowing_1|1|Making every response a new route|Creative Movement can narrow when each reaction opens another option. This may create energy, but it can also make the work harder to finish.|deep_focus|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::narrowing_1
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|narrowing_2|2|Over-adapting in conversation|Creative Movement and Social Exchange can make live feedback very powerful. Watch for changing the idea so often that its main purpose becomes less clear.|deep_focus|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::narrowing_2
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|narrowing_3|3|Thinking deeply without resetting|Deep Focus can help choose the strongest route, but Physical Rhythm may be needed when the exchange has used a lot of attention. Without a reset, the pattern may stay mentally busy.|physical_rhythm|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::narrowing_3
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|narrowing_1|1|Chasing the next possibility|Creative Movement can narrow when the next idea always feels more promising than the current decision. This can make flow lively but harder to convert into finished work.|deep_focus|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::narrowing_1
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|narrowing_2|2|Letting response keep the work open|Creative Movement and Social Exchange can keep improving the idea in real time. Watch for repeated adjustment when the work needs one clear direction.|deep_focus|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::narrowing_2
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|narrowing_3|3|Resetting without finishing|Physical Rhythm can keep the pattern usable, but Deep Focus may still be needed to complete the demanding part. Otherwise the work may restart cleanly without reaching a settled answer.|deep_focus|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::narrowing_3
