domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|narrowing_1|1|Staying too long inside the problem|Deep Focus can narrow when the work keeps getting more careful but not more usable. Watch for the point where more thinking is delaying the next clear move.|physical_rhythm|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::narrowing_1
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|narrowing_2|2|Keeping ideas in a private loop|Deep Focus and Creative Movement can keep feeding each other after the work already has enough substance. The risk is refining angles without finding out which one will actually land.|social_exchange|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::narrowing_2
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|narrowing_3|3|Missing the reset or response|If Physical Rhythm and Social Exchange are not used deliberately, the work may stay too mental for too long. A change of pace or a simple response check can widen the pattern.|physical_rhythm|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::narrowing_3
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|narrowing_1|1|Waiting for too much certainty|Deep Focus can narrow when you keep working until the idea feels fully safe. This may make the work stronger, but it can also delay learning what another person actually understands.|social_exchange|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::narrowing_1
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|narrowing_2|2|Improving the idea past the decision point|Deep Focus and Creative Movement can make it easy to keep searching for a better version. Watch for the point where the work needs a test, not another variation.|social_exchange|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::narrowing_2
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|narrowing_3|3|Leaving the body out of the process|Social Exchange may test the idea, but Physical Rhythm can still be needed to clear the state around it. Without that reset, thinking and talking can become a long loop.|physical_rhythm|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::narrowing_3
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|narrowing_1|1|Making concentration the only route|Deep Focus can narrow when every task is treated as something to solve by thinking harder. Some work may need a new angle, a practical shift, or a timely response instead.|creative_movement|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::narrowing_1
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|narrowing_2|2|Settling into steady effort too early|Deep Focus and Physical Rhythm can create reliable progress, but the route may become too fixed. Watch for work that is steady but no longer opening into better options.|creative_movement|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::narrowing_2
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|narrowing_3|3|Delaying fresh input|If Creative Movement and Social Exchange are left late, the work may become polished before it has been widened or tested. A useful next step is to invite one new angle or one clear response.|social_exchange|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::narrowing_3
flow_state|deep_focus_physical_rhythm_social_exchange_creative_movement|narrowing_1|1|Overworking the careful answer|Deep Focus can narrow when the first serious answer gets more attention than the task requires. The result may be solid, but it can become harder to change.|creative_movement|active|flow_state::deep_focus_physical_rhythm_social_exchange_creative_movement::narrowing_1
flow_state|deep_focus_physical_rhythm_social_exchange_creative_movement|narrowing_2|2|Choosing the practical route by habit|Deep Focus and Physical Rhythm can make a dependable path feel obvious. Watch for moments where steady progress is hiding a simpler, fresher, or more adaptive option.|creative_movement|active|flow_state::deep_focus_physical_rhythm_social_exchange_creative_movement::narrowing_2
flow_state|deep_focus_physical_rhythm_social_exchange_creative_movement|narrowing_3|3|Testing without opening|Social Exchange can confirm what works, but Creative Movement may still be needed to prevent the answer becoming too settled. One deliberate alternative can keep the pattern wider.|creative_movement|active|flow_state::deep_focus_physical_rhythm_social_exchange_creative_movement::narrowing_3
flow_state|deep_focus_social_exchange_creative_movement_physical_rhythm|narrowing_1|1|Holding the view too tightly|Deep Focus can narrow when a considered view becomes hard to interrupt. Feedback may then be heard mainly as something to manage rather than something that could improve the work.|social_exchange|active|flow_state::deep_focus_social_exchange_creative_movement_physical_rhythm::narrowing_1
flow_state|deep_focus_social_exchange_creative_movement_physical_rhythm|narrowing_2|2|Thinking and talking without changing state|Deep Focus and Social Exchange can keep a topic active for a long time. Watch for repeated explanation, review, or debate when the work needs a different condition.|physical_rhythm|active|flow_state::deep_focus_social_exchange_creative_movement_physical_rhythm::narrowing_2
flow_state|deep_focus_social_exchange_creative_movement_physical_rhythm|narrowing_3|3|Using ideas before recovery|Creative Movement can widen the view, but Physical Rhythm may be needed first if the process is tired or overworked. Without it, the pattern may keep producing more thoughts than progress.|physical_rhythm|active|flow_state::deep_focus_social_exchange_creative_movement_physical_rhythm::narrowing_3
flow_state|deep_focus_social_exchange_physical_rhythm_creative_movement|narrowing_1|1|Over-defending the first clear view|Deep Focus can narrow when a well-formed view starts to feel like the only serious option. This may reduce how much you notice from response, timing, or new information.|creative_movement|active|flow_state::deep_focus_social_exchange_physical_rhythm_creative_movement::narrowing_1
flow_state|deep_focus_social_exchange_physical_rhythm_creative_movement|narrowing_2|2|Using response to confirm rather than learn|Deep Focus and Social Exchange can become a loop of explaining and checking the same view. Watch for feedback being used to tighten the answer before other options have had room.|creative_movement|active|flow_state::deep_focus_social_exchange_physical_rhythm_creative_movement::narrowing_2
flow_state|deep_focus_social_exchange_physical_rhythm_creative_movement|narrowing_3|3|Resetting without re-opening|Physical Rhythm can help the work recover, but Creative Movement may still need to be invited. Otherwise the reset may lead back to the same answer instead of a better route.|creative_movement|active|flow_state::deep_focus_social_exchange_physical_rhythm_creative_movement::narrowing_3
