Question,Answer,Question Text,Response,Domain,Driver,Influencer,Implementer,Analyst,Achievement,Influence,Stability,Mastery,Results,Vision,People,Process,Compete,Collaborate,Compromise,Avoidance,Competitive,Creative,Collaborative,Structured,Control,Scatter,Withdrawal,Critical
1,A," When starting a new initiative, what do you focus on first?","Start quickly, then adjust as I learn",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
1,B," When starting a new initiative, what do you focus on first?",Plan the full approach before starting,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
1,C," When starting a new initiative, what do you focus on first?",Check with key people before moving,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
1,D," When starting a new initiative, what do you focus on first?",Wait until direction is fully clear,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
2,A, How would you describe your natural pace at work?,I work fast and keep urgency high,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
2,B, How would you describe your natural pace at work?,"I keep a steady, reliable pace",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
2,C, How would you describe your natural pace at work?,I work calmly and think things through,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
2,D, How would you describe your natural pace at work?,My pace shifts with the environment,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
3,A," When priorities shift suddenly, what is your instinct?",I pivot quickly and keep moving,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
3,B," When priorities shift suddenly, what is your instinct?",I pause to rework the plan,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
3,C," When priorities shift suddenly, what is your instinct?",I check who will be affected first,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
3,D," When priorities shift suddenly, what is your instinct?",I lose momentum until things settle,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
4,A, What type of work do you naturally gravitate towards?,High-stakes work with visible outcomes,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
4,B, What type of work do you naturally gravitate towards?,Work with clear structure and scope,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
4,C, What type of work do you naturally gravitate towards?,Work that depends on strong collaboration,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
4,D, What type of work do you naturally gravitate towards?,Technical work that needs deep analysis,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
5,A," When there is little clarity, what do you do first?",Pick a direction and move forward,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
5,B," When there is little clarity, what do you do first?",Gather more information before committing,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
5,C," When there is little clarity, what do you do first?",Check with others before deciding,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
5,D," When there is little clarity, what do you do first?",Hold the line until things stabilise,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
6,A," When working on something important, how do you handle detail?",I prioritise speed over fine detail,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
6,B," When working on something important, how do you handle detail?",I balance detail with delivery speed,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
6,C," When working on something important, how do you handle detail?",I go deep on details early,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
6,D," When working on something important, how do you handle detail?",I hand off detail work when possible,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
7,A," When receiving feedback, what is your immediate reaction?",I use it to improve quickly,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
7,B," When receiving feedback, what is your immediate reaction?",I turn it into a better plan,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
7,C," When receiving feedback, what is your immediate reaction?",I take it personally at first,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
7,D," When receiving feedback, what is your immediate reaction?",I need clear evidence to accept it,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
8,A," When making decisions, what do you rely on most?",Quick judgement from experience and pace,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
8,B," When making decisions, what do you rely on most?","Mix instinct, input, and available facts",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
8,C," When making decisions, what do you rely on most?",Slow down to avoid costly mistakes,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
8,D," When making decisions, what do you rely on most?","Evidence, patterns, and hard data",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
9,A," In meetings, how do you usually contribute?",Set direction and keep discussion focused,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
9,B," In meetings, how do you usually contribute?",Generate options and build momentum,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
9,C," In meetings, how do you usually contribute?",Support others and draw quieter voices in,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
9,D," In meetings, how do you usually contribute?",Test ideas by challenging assumptions,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
10,A, How would others describe your communication style?,Direct and concise,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
10,B, How would others describe your communication style?,Persuasive and expressive,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
10,C, How would others describe your communication style?,Patient and empathetic,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
10,D, How would others describe your communication style?,Precise and factual,Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
11,A," When leading a project, where does your focus go first?",Set ambitious targets and clear ownership,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
11,B," When leading a project, where does your focus go first?",Build energy and commitment around the work,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
11,C," When leading a project, where does your focus go first?",Make sure everyone is heard and included,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
11,D," When leading a project, where does your focus go first?",Build a solid system with clear standards,Leadership Approach,,,,,,,,,,,,,,,,,,,,,,,,
12,A," Under tight time pressure, how do you operate?",Raise intensity and push through bottlenecks,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
12,B," Under tight time pressure, how do you operate?",Keep people motivated and moving together,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
12,C," Under tight time pressure, how do you operate?",Protect morale so pressure stays manageable,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
12,D," Under tight time pressure, how do you operate?",Slow down enough to avoid avoidable errors,Pressure Response,,,,,,,,,,,,,,,,,,,,,,,,
13,A, What kind of environment helps you perform best?,Clear authority and ownership boundaries,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
13,B, What kind of environment helps you perform best?,Room to influence people and decisions,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
13,C, What kind of environment helps you perform best?,Stable routines and dependable expectations,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
13,D, What kind of environment helps you perform best?,Space for deep thinking and analysis,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
14,A, How do others typically experience you at work?,"Clear, decisive, and hard to sway",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
14,B, How do others typically experience you at work?,"Energetic, persuasive, and outward-facing",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
14,C, How do others typically experience you at work?,"Dependable, steady, and easy to trust",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
14,D, How do others typically experience you at work?,"Thoughtful, measured, and careful with words",Operating Style,,,,,,,,,,,,,,,,,,,,,,,,
15,A, What frustrates you most in a working environment?,Endless delays and no clear decisions,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
15,B, What frustrates you most in a working environment?,Flat energy and low personal ownership,Environment Fit,,,,,,,,,,,,,,,,,,,,,,,,
