domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|narrowing_1|1|Staying too long inside the problem|Deep Focus can narrow when the work keeps getting more careful but not more usable. Watch for the point where more thinking is delaying the next clear move.|physical_rhythm|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::narrowing_1
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|narrowing_2|2|Keeping ideas in a private loop|Deep Focus and Creative Movement can keep feeding each other after the work already has enough substance. The risk is refining angles without finding out which one will actually land.|social_exchange|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::narrowing_2
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|narrowing_3|3|Missing the reset or response|If Physical Rhythm and Social Exchange are not used deliberately, the work may stay too mental for too long. A change of pace or a simple response check can widen the pattern.|physical_rhythm|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::narrowing_3
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|narrowing_1|1|Waiting for too much certainty|Deep Focus can narrow when you keep working until the idea feels fully safe. This may make the work stronger, but it can also delay learning what another person actually understands.|social_exchange|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::narrowing_1
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|narrowing_2|2|Improving the idea past the decision point|Deep Focus and Creative Movement can make it easy to keep searching for a better version. Watch for the point where the work needs a test, not another variation.|social_exchange|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::narrowing_2
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|narrowing_3|3|Leaving the body out of the process|Social Exchange may test the idea, but Physical Rhythm can still be needed to clear the state around it. Without that reset, thinking and talking can become a long loop.|physical_rhythm|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::narrowing_3
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|narrowing_1|1|Making concentration the only route|Deep Focus can narrow when every task is treated as something to solve by thinking harder. Some work may need a new angle, a practical shift, or a timely response instead.|creative_movement|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::narrowing_1
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|narrowing_2|2|Settling into steady effort too early|Deep Focus and Physical Rhythm can create reliable progress, but the route may become too fixed. Watch for work that is steady but no longer opening into better options.|creative_movement|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::narrowing_2
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|narrowing_3|3|Delaying fresh input|If Creative Movement and Social Exchange are left late, the work may become polished before it has been widened or tested. A useful next step is to invite one new angle or one clear response.|social_exchange|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::narrowing_3
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|narrowing_1|1|Overworking the careful answer|Deep Focus can narrow when the first serious answer gets more attention than the task requires. The result may be solid, but it can become harder to change.|creative_movement|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::narrowing_1
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|narrowing_2|2|Choosing the practical route by habit|Deep Focus and Physical Rhythm can make a dependable path feel obvious. Watch for moments where steady progress is hiding a simpler, fresher, or more adaptive option.|creative_movement|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::narrowing_2
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|narrowing_3|3|Testing without opening|Social Exchange can confirm what works, but Creative Movement may still be needed to prevent the answer becoming too settled. One deliberate alternative can keep the pattern wider.|creative_movement|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::narrowing_3
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|narrowing_1|1|Holding the view too tightly|Deep Focus can narrow when a considered view becomes hard to interrupt. Feedback may then be heard mainly as something to manage rather than something that could improve the work.|social_exchange|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::narrowing_1
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|narrowing_2|2|Thinking and talking without changing state|Deep Focus and Social Exchange can keep a topic active for a long time. Watch for repeated explanation, review, or debate when the work needs a different condition.|physical_rhythm|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::narrowing_2
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|narrowing_3|3|Using ideas before recovery|Creative Movement can widen the view, but Physical Rhythm may be needed first if the process is tired or overworked. Without it, the pattern may keep producing more thoughts than progress.|physical_rhythm|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::narrowing_3
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|narrowing_1|1|Over-defending the first clear view|Deep Focus can narrow when a well-formed view starts to feel like the only serious option. This may reduce how much you notice from response, timing, or new information.|creative_movement|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::narrowing_1
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|narrowing_2|2|Using response to confirm rather than learn|Deep Focus and Social Exchange can become a loop of explaining and checking the same view. Watch for feedback being used to tighten the answer before other options have had room.|creative_movement|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::narrowing_2
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|narrowing_3|3|Resetting without re-opening|Physical Rhythm can help the work recover, but Creative Movement may still need to be invited. Otherwise the reset may lead back to the same answer instead of a better route.|creative_movement|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::narrowing_3
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|narrowing_1|1|Opening too many routes|Creative Movement can narrow when the work keeps generating options but does not choose one. Watch for variety becoming a way to avoid the harder task of development.|deep_focus|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::narrowing_1
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|narrowing_2|2|Polishing the most interesting option|Creative Movement and Deep Focus can make one idea feel worth endless improvement. The risk is staying with an elegant version before checking whether it is the needed version.|social_exchange|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::narrowing_2
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|narrowing_3|3|Missing pace and response|If Physical Rhythm and Social Exchange are not used deliberately, the idea may stay in development mode. Movement and a clear response check can show what should happen next.|physical_rhythm|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::narrowing_3
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|narrowing_1|1|Changing the frame too soon|Creative Movement can narrow when the work shifts before the first useful direction has been understood. This may look flexible, but it can make the task harder to finish.|deep_focus|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::narrowing_1
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|narrowing_2|2|Keeping a strong idea alive too long|Creative Movement and Deep Focus can keep developing a promising route after it needs a real-world check. Watch for improvement that is no longer changing the usefulness of the work.|social_exchange|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::narrowing_2
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|narrowing_3|3|Forgetting the reset point|Social Exchange can test the idea, but Physical Rhythm may still be needed to release the process. Without it, the pattern can keep moving between thought, ideas, and response without recovery.|physical_rhythm|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::narrowing_3
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|narrowing_1|1|Moving before the point is clear|Creative Movement can narrow when the task is reframed before the real constraint is understood. A useful question is whether the new angle is solving the problem or just changing it.|deep_focus|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::narrowing_1
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|narrowing_2|2|Mistaking momentum for progress|Creative Movement and Physical Rhythm can make the work feel active and alive. The risk is that energy keeps moving while the deeper issue remains under-examined.|deep_focus|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::narrowing_2
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|narrowing_3|3|Developing without checking|Deep Focus can strengthen the best option, but Social Exchange may be needed before too much effort is invested. A simple response check can prevent private confidence becoming rework.|social_exchange|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::narrowing_3
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|narrowing_1|1|Staying in active exploration|Creative Movement can narrow when the work keeps opening and adjusting without enough time to settle. Watch for the point where movement needs to become a clear decision.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::narrowing_1
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|narrowing_2|2|Letting energy carry the work|Creative Movement and Physical Rhythm can make experimentation feel productive. The risk is that the pace stays high even when the task now needs careful thought.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::narrowing_2
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|narrowing_3|3|Testing without depth|Social Exchange can improve an idea, but Deep Focus may be needed to finish the hard thinking. Without that depth, the pattern may collect reactions without resolving the work.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::narrowing_3
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|narrowing_1|1|Making every response a new route|Creative Movement can narrow when each reaction opens another option. This may create energy, but it can also make the work harder to finish.|deep_focus|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::narrowing_1
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|narrowing_2|2|Over-adapting in conversation|Creative Movement and Social Exchange can make live feedback very powerful. Watch for changing the idea so often that its main purpose becomes less clear.|deep_focus|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::narrowing_2
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|narrowing_3|3|Thinking deeply without resetting|Deep Focus can help choose the strongest route, but Physical Rhythm may be needed when the exchange has used a lot of attention. Without a reset, the pattern may stay mentally busy.|physical_rhythm|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::narrowing_3
