domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
leadership-approach|vision_results_process_people|strength_1|1|A stronger frame for change|When this pattern is working well, Vision gives leadership a wider frame. People can see why the work matters, what future consequence is involved, and why the current choice deserves attention.|vision|active|leadership-approach::vision_results_process_people::strength_1
leadership-approach|vision_results_process_people|strength_2|2|Direction that reaches a decision|Vision and Results together can connect possibility to ownership. The strength is that future thinking is less likely to stay high-level because it is pulled towards a decision, outcome, or next step.|results|active|leadership-approach::vision_results_process_people::strength_2
leadership-approach|vision_results_process_people|strength_3|3|Range through stronger trust after Process|Process can broaden the first two signals before People is brought in deliberately. People adds range when the pattern has movement, structure, or direction and now needs better communication around the human impact. It can make progress more sustainable because people understand their part in the work.|people|active|leadership-approach::vision_results_process_people::strength_3
leadership-approach|vision_results_people_process|strength_1|1|A stronger frame for change|When this pattern is working well, Vision gives leadership a wider frame. People can see why the work matters, what future consequence is involved, and why the current choice deserves attention.|vision|active|leadership-approach::vision_results_people_process::strength_1
leadership-approach|vision_results_people_process|strength_2|2|Direction that reaches a decision|Vision and Results together can connect possibility to ownership. The strength is that future thinking is less likely to stay high-level because it is pulled towards a decision, outcome, or next step.|results|active|leadership-approach::vision_results_people_process::strength_2
leadership-approach|vision_results_people_process|strength_3|3|Range through clearer structure after People|People can broaden the first two signals before Process is brought in deliberately. Process adds range when the pattern has energy, meaning, or commitment and now needs a more dependable way to hold the work. It can turn shared intent into steps, standards, and cleaner handover.|process|active|leadership-approach::vision_results_people_process::strength_3
leadership-approach|vision_process_results_people|strength_1|1|A stronger frame for change|When this pattern is working well, Vision gives leadership a wider frame. People can see why the work matters, what future consequence is involved, and why the current choice deserves attention.|vision|active|leadership-approach::vision_process_results_people::strength_1
leadership-approach|vision_process_results_people|strength_2|2|Direction with a path|Vision and Process together can make future direction easier to use. The strength is that possibility is supported by sequence, standards, and a way for the work to become repeatable.|process|active|leadership-approach::vision_process_results_people::strength_2
leadership-approach|vision_process_results_people|strength_3|3|Range through stronger trust after Results|Results can broaden the first two signals before People is brought in deliberately. People adds range when the pattern has movement, structure, or direction and now needs better communication around the human impact. It can make progress more sustainable because people understand their part in the work.|people|active|leadership-approach::vision_process_results_people::strength_3
leadership-approach|vision_process_people_results|strength_1|1|A stronger frame for change|When this pattern is working well, Vision gives leadership a wider frame. People can see why the work matters, what future consequence is involved, and why the current choice deserves attention.|vision|active|leadership-approach::vision_process_people_results::strength_1
leadership-approach|vision_process_people_results|strength_2|2|Direction with a path|Vision and Process together can make future direction easier to use. The strength is that possibility is supported by sequence, standards, and a way for the work to become repeatable.|process|active|leadership-approach::vision_process_people_results::strength_2
leadership-approach|vision_process_people_results|strength_3|3|Range through firmer ownership after People|People can broaden the first two signals before Results is brought in deliberately. Results adds range when the pattern has already created trust, structure, or direction and now needs a clearer decision. It can turn good leadership intent into ownership, visible movement, and follow-through.|results|active|leadership-approach::vision_process_people_results::strength_3
leadership-approach|vision_people_results_process|strength_1|1|A stronger frame for change|When this pattern is working well, Vision gives leadership a wider frame. People can see why the work matters, what future consequence is involved, and why the current choice deserves attention.|vision|active|leadership-approach::vision_people_results_process::strength_1
leadership-approach|vision_people_results_process|strength_2|2|Direction people can join|Vision and People together can make change feel more shared. The strength is that future direction is explained through trust, communication, and the human meaning of the work.|people|active|leadership-approach::vision_people_results_process::strength_2
leadership-approach|vision_people_results_process|strength_3|3|Range through clearer structure after Results|Results can broaden the first two signals before Process is brought in deliberately. Process adds range when the pattern has energy, meaning, or commitment and now needs a more dependable way to hold the work. It can turn shared intent into steps, standards, and cleaner handover.|process|active|leadership-approach::vision_people_results_process::strength_3
leadership-approach|vision_people_process_results|strength_1|1|A stronger frame for change|When this pattern is working well, Vision gives leadership a wider frame. People can see why the work matters, what future consequence is involved, and why the current choice deserves attention.|vision|active|leadership-approach::vision_people_process_results::strength_1
leadership-approach|vision_people_process_results|strength_2|2|Direction people can join|Vision and People together can make change feel more shared. The strength is that future direction is explained through trust, communication, and the human meaning of the work.|people|active|leadership-approach::vision_people_process_results::strength_2
leadership-approach|vision_people_process_results|strength_3|3|Range through firmer ownership after Process|Process can broaden the first two signals before Results is brought in deliberately. Results adds range when the pattern has already created trust, structure, or direction and now needs a clearer decision. It can turn good leadership intent into ownership, visible movement, and follow-through.|results|active|leadership-approach::vision_people_process_results::strength_3
