domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|concentrated|creative_movement|deep_focus|physical_rhythm|social_exchange|Original ideas with enough focus to land|You are most likely to find flow when ideas can move, connect, and turn into a direction worth following.|This pattern often shows up when you need room to explore before the work becomes fixed. You may sketch a rough version, try a less obvious angle, or notice links that other people have not seen yet. Deep Focus then helps you stay with the strongest idea long enough to make it useful. Physical Rhythm can clear space when too many possibilities start to crowd the work. Social Exchange becomes useful when the idea needs to be tested with another person.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::concentrated
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|paired|creative_movement|deep_focus|physical_rhythm|social_exchange|Ideas that gain substance|You are likely to find flow when idea movement and focused attention work closely together.|This result may feel familiar if you need a fresh angle first, then enough concentration to make the best idea hold. You may move through rough versions, links, or possibilities before choosing one to develop. Physical Rhythm can help when too many ideas are active at once. Social Exchange is useful when the work needs to be checked outside your own process.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::paired
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|graduated|creative_movement|deep_focus|physical_rhythm|social_exchange|Ideas, then focus, then reset|You are likely to reach flow through a clear order: let ideas move, focus the strongest one, reset when the work gets crowded, then test it with someone useful.|This pattern may show up when possibility is the way in, but the work still needs depth before it becomes useful. Deep Focus gives the best idea time and weight. Physical Rhythm can clear mental clutter when the process becomes too busy. Social Exchange helps you see whether the idea lands with another person.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::graduated
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|balanced|creative_movement|deep_focus|physical_rhythm|social_exchange|Several routes for original work|You may find flow through ideas, focus, movement, or conversation depending on the task in front of you.|Creative Movement appears first, but not by enough to make the result one-sided. Some work may need a fresh angle. Some may need quiet attention, a change of pace, or a useful response from another person. The useful question is which condition helps the idea become clearer now.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::balanced
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|concentrated|creative_movement|deep_focus|social_exchange|physical_rhythm|Ideas that need depth and response|You are most likely to find flow when ideas can open first, then gain substance and be tested with another person.|This pattern often shows up when the work starts through links, possibilities, or a less obvious route. Deep Focus helps the strongest idea become more than an interesting start. Social Exchange can test whether the idea is clear, useful, and easy to explain. Physical Rhythm may need to be added deliberately when the process becomes too mental or static.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::concentrated
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|paired|creative_movement|deep_focus|social_exchange|physical_rhythm|Fresh ideas with a thinking base|You are likely to find flow when Creative Movement and Deep Focus stay close together.|This result may feel recognisable if ideas need room to appear, but the best one then needs time, care, and concentration. Social Exchange helps translate or test the work once it has enough substance. Physical Rhythm can be useful when the process needs a change of state rather than another round of thinking or talking.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::paired
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|graduated|creative_movement|deep_focus|social_exchange|physical_rhythm|Open, deepen, then explain|You are likely to reach flow through a stepped pattern where ideas come first, focus gives them weight, conversation tests them, and movement resets the process when needed.|This pattern may show up when you want to explore before you narrow. Deep Focus helps you choose what deserves more attention. Social Exchange helps you find out whether the idea makes sense beyond your own view. Physical Rhythm is useful range when the work needs a physical shift or practical reset.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::graduated
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|balanced|creative_movement|deep_focus|social_exchange|physical_rhythm|Flexible ideas with useful checks|You may find flow through several close routes, with ideas first but focus and conversation close enough to matter.|This balanced result should be read lightly. You may need room for possibilities, quiet time to choose one, or a useful person to test what is clear. Physical Rhythm still matters when the work needs a change of state before another thought or conversation will help.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::balanced
flow_state|creative_movement_physical_rhythm_deep_focus_social_exchange|concentrated|creative_movement|physical_rhythm|deep_focus|social_exchange|Ideas with movement behind them|You are most likely to find flow when ideas can move and the body, pace, or setting helps keep them alive.|This pattern often shows up when a fresh angle appears through action, walking, making, changing location, or shifting pace. Physical Rhythm helps Creative Movement avoid becoming too crowded in the head. Deep Focus gives the best idea enough substance once it is worth developing. Social Exchange becomes useful when the result needs testing with another person.|active|flow_state::creative_movement_physical_rhythm_deep_focus_social_exchange::concentrated
flow_state|creative_movement_physical_rhythm_deep_focus_social_exchange|paired|creative_movement|physical_rhythm|deep_focus|social_exchange|Ideas that move through action|You are likely to find flow when idea movement and physical rhythm work closely together.|This result may feel familiar if you think better while pacing, walking, making, sorting, or changing state. Movement can keep possibilities from becoming stuck or too mental. Deep Focus helps the strongest idea become useful once momentum has started. Social Exchange can test the work when it needs a response beyond your own process.|active|flow_state::creative_movement_physical_rhythm_deep_focus_social_exchange::paired
flow_state|creative_movement_physical_rhythm_deep_focus_social_exchange|graduated|creative_movement|physical_rhythm|deep_focus|social_exchange|Move the idea, then deepen it|You are likely to reach flow through a clear order: ideas first, movement second, focus third, and conversation when the work needs outside testing.|This pattern may show up when possibility and pace help each other. Physical Rhythm gives ideas a way to stay active without becoming tangled. Deep Focus helps you choose what deserves more attention. Social Exchange is useful when the idea needs to make sense to someone else.|active|flow_state::creative_movement_physical_rhythm_deep_focus_social_exchange::graduated
flow_state|creative_movement_physical_rhythm_deep_focus_social_exchange|balanced|creative_movement|physical_rhythm|deep_focus|social_exchange|Flow through ideas, pace, and focus|You may find flow through several close conditions, with ideas first but movement and focus also meaningful.|This result should not be read as one route doing all the work. Some tasks may need a fresh angle. Others may need movement, a practical rhythm, or quiet attention. Social Exchange still matters when the work needs a response from someone outside your own process.|active|flow_state::creative_movement_physical_rhythm_deep_focus_social_exchange::balanced
flow_state|creative_movement_physical_rhythm_social_exchange_deep_focus|concentrated|creative_movement|physical_rhythm|social_exchange|deep_focus|Ideas, pace, and live response|You are most likely to find flow when ideas can move quickly enough to create energy, then be tested through action or exchange.|This pattern often shows up when the work feels more alive with movement, pace, rough versions, or live response. Physical Rhythm helps turn idea movement into momentum. Social Exchange tests whether the idea lands with another person. Deep Focus may need to be added deliberately when the work now needs finishing, refining, or a stronger base.|active|flow_state::creative_movement_physical_rhythm_social_exchange_deep_focus::concentrated
flow_state|creative_movement_physical_rhythm_social_exchange_deep_focus|paired|creative_movement|physical_rhythm|social_exchange|deep_focus|Ideas with active momentum|You are likely to find flow when ideas and movement stay close together.|This result may feel recognisable if possibilities open through pace, making, changing state, or doing a rough version. Social Exchange can add useful response before the idea becomes too private. Deep Focus is still important range when the work needs to be finished, checked carefully, or made more substantial.|active|flow_state::creative_movement_physical_rhythm_social_exchange_deep_focus::paired
flow_state|creative_movement_physical_rhythm_social_exchange_deep_focus|graduated|creative_movement|physical_rhythm|social_exchange|deep_focus|Ideas, movement, response, then depth|You are likely to reach flow through a sequence where possibilities open first, rhythm builds momentum, conversation tests the idea, and focus gives it final substance.|This pattern may show up when the work benefits from action before heavy analysis. Physical Rhythm helps ideas stay moving. Social Exchange checks what is useful or clear. Deep Focus may need to come in deliberately so the best idea gets enough attention to hold together.|active|flow_state::creative_movement_physical_rhythm_social_exchange_deep_focus::graduated
flow_state|creative_movement_physical_rhythm_social_exchange_deep_focus|balanced|creative_movement|physical_rhythm|social_exchange|deep_focus|Flexible flow through movement and response|You may find flow through several close routes, with ideas first but movement, conversation, and focus all available.|This balanced result may show up when the best route depends on the task. A rough idea may need motion. A practical problem may need doing. A communication task may need response. Deep Focus is still a real option when the work needs more care, depth, or completion.|active|flow_state::creative_movement_physical_rhythm_social_exchange_deep_focus::balanced
