question_id	original_question	reviewed_question	domain	signal	change_type
1	When starting a new initiative, what do you do first?	When you are starting something new, what do you do first?	Operating Style	driver	light_edit
2	How would you describe your natural pace at work?	When work picks up, what pace feels natural to you?	Operating Style	driver	rewrite
3	When priorities shift suddenly, what is your instinct?	When priorities shift suddenly, where do you go first?	Operating Style	driver	rewrite
4	What kind of work do you naturally gravitate towards?	What kind of work do you move towards first?	Operating Style	driver	rewrite
5	When there is little clarity, what do you do?	When there is little clarity, what do you do?	Operating Style	driver	unchanged
6	When working on something important, how do you handle detail?	When a piece of work matters, how closely do you work through the detail?	Operating Style	driver	rewrite
7	When receiving feedback, what is your instinct?	When you get feedback you disagree with, what do you do first?	Operating Style	driver	rewrite
8	When making decisions, what do you rely on most?	When you have to make a call, what do you rely on most?	Operating Style	driver	light_edit
9	In meetings, how do you usually contribute?	In meetings, what part do you usually play?	Operating Style	driver	rewrite
10	How would others describe how you work?	If someone watched you working for a week, what would they notice first?	Operating Style	driver	rewrite
11	What gives you the strongest sense of progress at work?	At work, what most makes you feel you are getting somewhere?	Core Drivers	achievement	rewrite
12	What motivates you most in your work?	In your day-to-day work, what keeps you most driven?	Core Drivers	achievement	rewrite
13	When you feel most satisfied at work, what has usually happened?	You usually feel most satisfied at work when what has happened?	Core Drivers	achievement	light_edit
14	What are you most likely to prioritise when time is limited?	When time is tight, what do you protect first?	Core Drivers	achievement	rewrite
15	What type of success matters most to you?	When a piece of work goes well, what kind of success matters most to you?	Core Drivers	achievement	rewrite
16	What drives you to keep pushing forward?	What keeps you pushing when the work gets hard?	Core Drivers	achievement	rewrite
17	When facing a difficult choice, what matters most?	When a choice is difficult, what carries most weight for you?	Core Drivers	achievement	rewrite
18	What kind of recognition matters most to you?	When your work is recognised, what matters most about it?	Core Drivers	achievement	rewrite
19	What type of work environment motivates you most?	What sort of working environment gets the best out of you?	Core Drivers	achievement	rewrite
20	When you look back on your work, what matters most?	When you look back on a piece of work, what matters most to you?	Core Drivers	achievement	light_edit
