domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
leadership-approach|people_results_process_vision|concentrated|people|results|process|vision|People at the centre|This pattern can make leadership feel clear because People gives the response a strong centre: making progress more sustainable because people understand the work and can commit to it. Results and Process add range without removing that first point of focus.|It can become too narrow when care for people delays a clear decision, standard, or future direction the work now needs. Vision is not a flaw here; it is the range that keeps the pattern rounded when the first response has done its job.|Remember that work lands better when people understand their part in it, but it still needs stronger direction, meaning, and future context when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting trust, communication, inclusion, development, and relational judgement. At its best, it gives people a clear way into the work while still leaving room for Results, Process, and Vision to complete the picture.|active|leadership-approach::people_results_process_vision::concentrated
leadership-approach|people_results_process_vision|paired|people|results|process|vision|People and Results in close partnership|This pattern can make leadership feel credible because People and Results work as a close pair. Together they connect trust, communication, inclusion, development, and relational judgement with outcomes, decisions, ownership, and follow-through.|It can become too narrow when the top pair takes most of the attention and Process or Vision arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that People and Results are most useful when they leave space for stronger direction, meaning, and future context.|The overall pattern is a two-signal leadership centre with People and Results doing much of the early interpretive work. Process can broaden the response, while Vision may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::people_results_process_vision::paired
leadership-approach|people_results_process_vision|graduated|people|results|process|vision|People through to Vision|This pattern can make leadership feel coherent because the order gives a clear sequence: People first, then Results, then Process, with Vision added deliberately when needed.|It can become too narrow when the early signals settle the work before Vision has been considered. The lower-ranked signal is not lesser; it is the later range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; stronger direction, meaning, and future context may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from trust, communication, inclusion, development, and relational judgement towards clarity, sequencing, standards, and dependable structure, while Vision gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::people_results_process_vision::graduated
leadership-approach|people_results_process_vision|balanced|people|results|process|vision|A flexible People, Results, Process, and Vision pattern|This pattern can make leadership feel adaptable because several routes are available: People, Results, Process, and Vision. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs trust, communication, inclusion, development, and relational judgement, outcomes, decisions, ownership, and follow-through, clarity, sequencing, standards, and dependable structure, or direction, framing, possibility, meaning, and future consequence.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::people_results_process_vision::balanced
leadership-approach|people_results_vision_process|concentrated|people|results|vision|process|People at the centre|This pattern can make leadership feel clear because People gives the response a strong centre: making progress more sustainable because people understand the work and can commit to it. Results and Vision add range without removing that first point of focus.|It can become too narrow when care for people delays a clear decision, standard, or future direction the work now needs. Process is not a flaw here; it is the range that keeps the pattern rounded when the first response has done its job.|Remember that work lands better when people understand their part in it, but it still needs clearer sequence, standards, and handover when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting trust, communication, inclusion, development, and relational judgement. At its best, it gives people a clear way into the work while still leaving room for Results, Vision, and Process to complete the picture.|active|leadership-approach::people_results_vision_process::concentrated
leadership-approach|people_results_vision_process|paired|people|results|vision|process|People and Results in close partnership|This pattern can make leadership feel credible because People and Results work as a close pair. Together they connect trust, communication, inclusion, development, and relational judgement with outcomes, decisions, ownership, and follow-through.|It can become too narrow when the top pair takes most of the attention and Vision or Process arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that People and Results are most useful when they leave space for clearer sequence, standards, and handover.|The overall pattern is a two-signal leadership centre with People and Results doing much of the early interpretive work. Vision can broaden the response, while Process may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::people_results_vision_process::paired
leadership-approach|people_results_vision_process|graduated|people|results|vision|process|People through to Process|This pattern can make leadership feel coherent because the order gives a clear sequence: People first, then Results, then Vision, with Process added deliberately when needed.|It can become too narrow when the early signals settle the work before Process has been considered. The lower-ranked signal is not lesser; it is the later range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; clearer sequence, standards, and handover may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from trust, communication, inclusion, development, and relational judgement towards direction, framing, possibility, meaning, and future consequence, while Process gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::people_results_vision_process::graduated
leadership-approach|people_results_vision_process|balanced|people|results|vision|process|A flexible People, Results, Vision, and Process pattern|This pattern can make leadership feel adaptable because several routes are available: People, Results, Vision, and Process. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs trust, communication, inclusion, development, and relational judgement, outcomes, decisions, ownership, and follow-through, direction, framing, possibility, meaning, and future consequence, or clarity, sequencing, standards, and dependable structure.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::people_results_vision_process::balanced
leadership-approach|people_process_results_vision|concentrated|people|process|results|vision|People at the centre|This pattern can make leadership feel clear because People gives the response a strong centre: making progress more sustainable because people understand the work and can commit to it. Process and Results add range without removing that first point of focus.|It can become too narrow when care for people delays a clear decision, standard, or future direction the work now needs. Vision is not a flaw here; it is the range that keeps the pattern rounded when the first response has done its job.|Remember that work lands better when people understand their part in it, but it still needs stronger direction, meaning, and future context when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting trust, communication, inclusion, development, and relational judgement. At its best, it gives people a clear way into the work while still leaving room for Process, Results, and Vision to complete the picture.|active|leadership-approach::people_process_results_vision::concentrated
leadership-approach|people_process_results_vision|paired|people|process|results|vision|People and Process in close partnership|This pattern can make leadership feel credible because People and Process work as a close pair. Together they connect trust, communication, inclusion, development, and relational judgement with clarity, sequencing, standards, and dependable structure.|It can become too narrow when the top pair takes most of the attention and Results or Vision arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that People and Process are most useful when they leave space for stronger direction, meaning, and future context.|The overall pattern is a two-signal leadership centre with People and Process doing much of the early interpretive work. Results can broaden the response, while Vision may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::people_process_results_vision::paired
