domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|application_1|1|Start with options on the table|Start by giving the work several possible routes. Sketch three angles, examples, or structures before you decide which one deserves attention.|creative_movement|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::application_1
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|application_2|2|Develop the strongest route|Use Deep Focus to give one option enough substance. Work it through until you can explain what problem it solves and what the next step should be.|deep_focus|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::application_2
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|application_3|3|Ask for a clear response|When the idea starts to narrow, bring in Social Exchange deliberately. Share the strongest version and ask where it lands, where it loses people, and what needs changing.|social_exchange|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::application_3
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|application_1|1|Open the work before fixing it|Start by letting the task move. Try a fresh frame, rough version, or different order before you settle on the main route.|creative_movement|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::application_1
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|application_2|2|Give the idea depth and response|Use Deep Focus to make the best idea clearer, then bring in Social Exchange to see whether it makes sense to someone else. Keep the question specific.|deep_focus|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::application_2
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|application_3|3|Shift state when the loop gets mental|When ideas, focus, and feedback start to crowd the work, bring in Physical Rhythm. Move, change setting, or use a short practical task to clear the next step.|physical_rhythm|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::application_3
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|application_1|1|Begin with a fresh route|Start by changing the shape of the task. Use a sketch, example, reordered list, or rough version to make the work easier to enter.|creative_movement|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::application_1
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|application_2|2|Keep momentum grounded|Use Physical Rhythm to keep the idea moving without becoming scattered. Work in a short cycle, move while thinking, or change setting when the work gets crowded.|physical_rhythm|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::application_2
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|application_3|3|Bring in an external check|When the work starts to narrow around your own route, bring in Social Exchange. Ask whether the idea is clear enough to use, not whether it is interesting.|social_exchange|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::application_3
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|application_1|1|Try the work in motion|Start by making the idea active. Change the setup, build a quick version, or move through the task until the next route becomes visible.|creative_movement|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::application_1
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|application_2|2|Use pace and response together|Bring in Physical Rhythm to keep the work moving, then use Social Exchange to notice what becomes clearer in real time. Capture the useful change before it disappears.|physical_rhythm|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::application_2
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|application_3|3|Protect a focused finishing block|When the work keeps opening, bring in Deep Focus deliberately. Set one small part to finish, remove extra options, and stay with it until it holds together.|deep_focus|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::application_3
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|application_1|1|Start where the idea has energy|Start by naming the route, example, or question that feels most alive. Use it as an entry point rather than waiting for the whole plan to be complete.|creative_movement|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::application_1
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|application_2|2|Shape the idea in conversation|Use Social Exchange to improve the idea while it is still flexible. Explain it briefly, listen for what becomes clearer, then use Deep Focus to develop the strongest part.|social_exchange|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::application_2
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|application_3|3|Add rhythm before the next round|When ideas and conversation start to run long, bring in Physical Rhythm. Change pace or setting before deciding whether to continue, simplify, or stop.|physical_rhythm|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::application_3
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|application_1|1|Make the first version rough|Start by creating a version that can change. A rough outline, quick explanation, or sample route gives the work something to respond to.|creative_movement|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::application_1
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|application_2|2|Use response to find the next move|Bring in Social Exchange while the work is still easy to adjust. Then use Physical Rhythm to turn what you learned into one practical next action.|social_exchange|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::application_2
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|application_3|3|Finish one thing properly|When the pattern keeps moving, bring in Deep Focus. Choose one part that matters, give it a protected block, and complete the thinking before reopening options.|deep_focus|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::application_3
