domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
leadership_approach|vision_results_process_people|concentrated|vision|results|process|people|Vision at the centre|This pattern can make leadership feel clear because Vision gives the response a strong centre: helping people understand why the work matters and what it is meant to lead towards. Results and Process add range without removing that first point of focus.|It can become too narrow when the future frame stays open after the work needs a decision, structure, or people grounding. People is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that the current choice needs a reason beyond the immediate task, but it still needs clearer communication, inclusion, and shared commitment when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting direction, framing, possibility, meaning, and future consequence. At its best, it gives people a clear way into the work while still leaving room for Results, Process, and People to complete the picture.|active|leadership_approach::vision_results_process_people::concentrated
leadership_approach|vision_results_process_people|paired|vision|results|process|people|Vision and Results in close partnership|This pattern can make leadership feel credible because Vision and Results work as a close pair. Together they connect direction, framing, possibility, meaning, and future consequence with outcomes, decisions, ownership, and follow-through.|It can become too narrow when the top pair takes most of the attention and Process or People arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Vision and Results are most useful when they leave space for clearer communication, inclusion, and shared commitment.|The overall pattern is a two-signal leadership centre with Vision and Results doing much of the early interpretive work. Process can broaden the response, while People may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership_approach::vision_results_process_people::paired
leadership_approach|vision_results_process_people|graduated|vision|results|process|people|Vision through to People|This pattern can make leadership feel coherent because the order gives a clear sequence: Vision first, then Results, then Process, with People added deliberately when needed.|It can become too narrow when the early signals settle the work before People has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; clearer communication, inclusion, and shared commitment may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from direction, framing, possibility, meaning, and future consequence towards clarity, sequencing, standards, and dependable structure, while People gives the pattern a further check when the situation needs a fuller response.|active|leadership_approach::vision_results_process_people::graduated
leadership_approach|vision_results_process_people|balanced|vision|results|process|people|A flexible Vision, Results, Process, and People pattern|This pattern can make leadership feel adaptable because several routes are available: Vision, Results, Process, and People. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs direction, framing, possibility, meaning, and future consequence, outcomes, decisions, ownership, and follow-through, clarity, sequencing, standards, and dependable structure, or trust, communication, inclusion, development, and relational judgement.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership_approach::vision_results_process_people::balanced
leadership_approach|vision_results_people_process|concentrated|vision|results|people|process|Vision at the centre|This pattern can make leadership feel clear because Vision gives the response a strong centre: helping people understand why the work matters and what it is meant to lead towards. Results and People add range without removing that first point of focus.|It can become too narrow when the future frame stays open after the work needs a decision, structure, or people grounding. Process is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that the current choice needs a reason beyond the immediate task, but it still needs clearer sequence, standards, and handover when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting direction, framing, possibility, meaning, and future consequence. At its best, it gives people a clear way into the work while still leaving room for Results, People, and Process to complete the picture.|active|leadership_approach::vision_results_people_process::concentrated
leadership_approach|vision_results_people_process|paired|vision|results|people|process|Vision and Results in close partnership|This pattern can make leadership feel credible because Vision and Results work as a close pair. Together they connect direction, framing, possibility, meaning, and future consequence with outcomes, decisions, ownership, and follow-through.|It can become too narrow when the top pair takes most of the attention and People or Process arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Vision and Results are most useful when they leave space for clearer sequence, standards, and handover.|The overall pattern is a two-signal leadership centre with Vision and Results doing much of the early interpretive work. People can broaden the response, while Process may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership_approach::vision_results_people_process::paired
leadership_approach|vision_results_people_process|graduated|vision|results|people|process|Vision through to Process|This pattern can make leadership feel coherent because the order gives a clear sequence: Vision first, then Results, then People, with Process added deliberately when needed.|It can become too narrow when the early signals settle the work before Process has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; clearer sequence, standards, and handover may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from direction, framing, possibility, meaning, and future consequence towards trust, communication, inclusion, development, and relational judgement, while Process gives the pattern a further check when the situation needs a fuller response.|active|leadership_approach::vision_results_people_process::graduated
leadership_approach|vision_results_people_process|balanced|vision|results|people|process|A flexible Vision, Results, People, and Process pattern|This pattern can make leadership feel adaptable because several routes are available: Vision, Results, People, and Process. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs direction, framing, possibility, meaning, and future consequence, outcomes, decisions, ownership, and follow-through, trust, communication, inclusion, development, and relational judgement, or clarity, sequencing, standards, and dependable structure.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership_approach::vision_results_people_process::balanced
leadership_approach|vision_process_results_people|concentrated|vision|process|results|people|Vision at the centre|This pattern can make leadership feel clear because Vision gives the response a strong centre: helping people understand why the work matters and what it is meant to lead towards. Process and Results add range without removing that first point of focus.|It can become too narrow when the future frame stays open after the work needs a decision, structure, or people grounding. People is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that the current choice needs a reason beyond the immediate task, but it still needs clearer communication, inclusion, and shared commitment when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting direction, framing, possibility, meaning, and future consequence. At its best, it gives people a clear way into the work while still leaving room for Process, Results, and People to complete the picture.|active|leadership_approach::vision_process_results_people::concentrated
leadership_approach|vision_process_results_people|paired|vision|process|results|people|Vision and Process in close partnership|This pattern can make leadership feel credible because Vision and Process work as a close pair. Together they connect direction, framing, possibility, meaning, and future consequence with clarity, sequencing, standards, and dependable structure.|It can become too narrow when the top pair takes most of the attention and Results or People arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Vision and Process are most useful when they leave space for clearer communication, inclusion, and shared commitment.|The overall pattern is a two-signal leadership centre with Vision and Process doing much of the early interpretive work. Results can broaden the response, while People may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership_approach::vision_process_results_people::paired
