domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|application_1|1|Start with protected thinking time|Start by giving the work a focused block with one clear question to answer. Remove the easiest interruption first, then stay with the problem until the next useful step is visible.|deep_focus|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::application_1
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|application_2|2|Open one better angle|Before you move on, use Creative Movement to find one different route, example, or structure for the work. This keeps careful thinking from becoming too narrow too early.|creative_movement|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::application_2
flow_state|deep_focus_creative_movement_physical_rhythm_social_exchange|application_3|3|Bring in response before finalising|When the work starts to narrow, bring in Social Exchange deliberately. Explain the result in plain language and ask what is clear, missing, or hard to use.|social_exchange|active|flow_state::deep_focus_creative_movement_physical_rhythm_social_exchange::application_3
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|application_1|1|Begin with the hardest point|Start by naming the part of the task that needs real attention. Give that point enough quiet time before you try to make the work more original or shareable.|deep_focus|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::application_1
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|application_2|2|Turn the thought into a clearer idea|Use Creative Movement to change the format, order, or example once the main point is understood. Then use Social Exchange to check whether another person can follow it.|creative_movement|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::application_2
flow_state|deep_focus_creative_movement_social_exchange_physical_rhythm|application_3|3|Add a physical change of state|When thinking and talking start to loop, bring in Physical Rhythm. Change setting, take a short walk, or work in a timed block before returning to the task.|physical_rhythm|active|flow_state::deep_focus_creative_movement_social_exchange_physical_rhythm::application_3
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|application_1|1|Set up the focus conditions|Start by protecting the conditions that help concentration settle. Use a clear brief, a clean workspace, and enough time to work through one demanding part properly.|deep_focus|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::application_1
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|application_2|2|Use rhythm to keep attention available|Bring in Physical Rhythm before focus becomes forced. Work in a steady cycle, change posture, or add a short movement break so the task stays workable.|physical_rhythm|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::application_2
flow_state|deep_focus_physical_rhythm_creative_movement_social_exchange|application_3|3|Check the result outside your head|When the work starts to narrow, bring in Social Exchange. Share the current result and ask what someone would do with it next.|social_exchange|active|flow_state::deep_focus_physical_rhythm_creative_movement_social_exchange::application_3
flow_state|deep_focus_physical_rhythm_social_exchange_creative_movement|application_1|1|Start with the serious work first|Start by giving the most demanding part your best attention. Write the question, decision, or problem at the top of the page before doing anything else.|deep_focus|active|flow_state::deep_focus_physical_rhythm_social_exchange_creative_movement::application_1
flow_state|deep_focus_physical_rhythm_social_exchange_creative_movement|application_2|2|Keep the work steady and visible|Use Physical Rhythm to keep progress practical. Set a short work cycle, mark what has moved forward, then use Social Exchange to check whether the result is understandable.|physical_rhythm|active|flow_state::deep_focus_physical_rhythm_social_exchange_creative_movement::application_2
flow_state|deep_focus_physical_rhythm_social_exchange_creative_movement|application_3|3|Invite a new angle before closing|When the answer feels too fixed, bring in Creative Movement deliberately. Try one alternative structure, route, or example before you finalise the work.|creative_movement|active|flow_state::deep_focus_physical_rhythm_social_exchange_creative_movement::application_3
flow_state|deep_focus_social_exchange_creative_movement_physical_rhythm|application_1|1|Think before the conversation|Start by forming your own view before you ask for input. Write the main point, the uncertainty, and the decision you are trying to make.|deep_focus|active|flow_state::deep_focus_social_exchange_creative_movement_physical_rhythm::application_1
flow_state|deep_focus_social_exchange_creative_movement_physical_rhythm|application_2|2|Use response to sharpen the work|Bring in Social Exchange once there is something real to discuss. Ask for a specific reaction, then use Creative Movement to improve the route or explanation.|social_exchange|active|flow_state::deep_focus_social_exchange_creative_movement_physical_rhythm::application_2
flow_state|deep_focus_social_exchange_creative_movement_physical_rhythm|application_3|3|Change state before another round|When thinking and conversation start to feel crowded, bring in Physical Rhythm. Step away, move, or change setting before you decide what needs attention next.|physical_rhythm|active|flow_state::deep_focus_social_exchange_creative_movement_physical_rhythm::application_3
flow_state|deep_focus_social_exchange_physical_rhythm_creative_movement|application_1|1|Build the view before sharing|Start by giving yourself enough time to understand the issue. Capture your current view in a few lines before bringing it into discussion.|deep_focus|active|flow_state::deep_focus_social_exchange_physical_rhythm_creative_movement::application_1
flow_state|deep_focus_social_exchange_physical_rhythm_creative_movement|application_2|2|Make feedback concrete|Use Social Exchange to find what is clear, missing, or difficult to apply. Then use Physical Rhythm to turn the next step into a practical action or work block.|social_exchange|active|flow_state::deep_focus_social_exchange_physical_rhythm_creative_movement::application_2
flow_state|deep_focus_social_exchange_physical_rhythm_creative_movement|application_3|3|Make room for another option|When the tested answer feels too settled, bring in Creative Movement. Ask what would change if you explained it a different way or tried a less obvious route.|creative_movement|active|flow_state::deep_focus_social_exchange_physical_rhythm_creative_movement::application_3
