domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|concentrated|physical_rhythm|deep_focus|creative_movement|social_exchange|Movement that becomes careful work|You can use movement, pace, or practical action to help attention switch on.|You may keep moving after the work needs focus, feedback, or a clear choice.|Let movement start the work, then pause long enough to focus and test.|This result starts through physical rhythm. Deep Focus gives the active start substance and care. Creative Movement adds variation when the work becomes repetitive. Social Exchange checks whether the result is clear beyond your own momentum.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::concentrated
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|paired|physical_rhythm|deep_focus|creative_movement|social_exchange|Rhythm with focused follow-through|You can turn active energy into careful progress with depth behind it.|You may rely on movement and concentration after the work needs a new angle or response.|Use rhythm to enter, focus what matters, then widen or test before continuing.|Physical Rhythm and Deep Focus sit close together here. Movement, pace, making, or sorting helps attention arrive. Focus gives the important part enough time and care. Creative Movement keeps the work from becoming too narrow, and Social Exchange tests whether it lands.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::paired
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|graduated|physical_rhythm|deep_focus|creative_movement|social_exchange|Move, focus, vary, then test|You can move from action into depth, variation, and external clarity.|You may wait too long to find out whether steady progress makes sense to someone else.|Use the sequence, but bring in response while the work is still easy to improve.|This result works as a clear order. Physical Rhythm starts attention. Deep Focus gives the work substance. Creative Movement adds a different angle when the rhythm starts to narrow, and Social Exchange checks whether the result is understandable outside your own process.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::graduated
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|balanced|physical_rhythm|deep_focus|creative_movement|social_exchange|Flexible entry with a practical start|You can choose between movement, focus, ideas, and response depending on what makes attention available.|You may change conditions too quickly instead of giving one approach enough time to work.|Start with the condition the task needs, then check before switching.|Physical Rhythm appears first, but only lightly. Some work may need pace or practical action, some may need quiet care, and some may need a fresh angle or useful conversation. The strength is flexible entry into work. The risk is activity without enough commitment to the next clear step.|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::balanced
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|concentrated|physical_rhythm|deep_focus|social_exchange|creative_movement|Movement that gains substance and response|You can use rhythm to begin and then turn that start into careful work others can understand.|You may make the work too settled before a fresher angle has had room to appear.|Let action begin the work, then add focus, response, and one new possibility before finalising.|This result begins with movement, pace, or practical engagement. Deep Focus gives the work depth once attention is available. Social Exchange tests or translates the result. Creative Movement may need deliberate room when the answer becomes too practical or fixed.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::concentrated
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|paired|physical_rhythm|deep_focus|social_exchange|creative_movement|Action with a thinking base|You can make demanding work easier by pairing practical rhythm with careful attention.|You may trust the steady route after the work needs more possibility.|Use the rhythm and focus, then ask whether the work needs response or a new angle.|Physical Rhythm and Deep Focus form the close pair here. Rhythm helps attention switch on, and focus keeps action from becoming only activity. Social Exchange checks whether the result makes sense to someone else. Creative Movement adds range when the work has become too defined.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::paired
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|graduated|physical_rhythm|deep_focus|social_exchange|creative_movement|Move, focus, test, then open|You can move from practical entry into depth, response, and later range.|You may delay fresh thinking until the result already feels too fixed to change easily.|Use feedback to clarify the work, then make room for another angle.|This result follows a grounded sequence. Physical Rhythm starts momentum. Deep Focus gives the useful part care and substance. Social Exchange tests whether it is clear beyond your own process. Creative Movement adds possibility when the practical answer needs more range.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::graduated
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|balanced|physical_rhythm|deep_focus|social_exchange|creative_movement|Flexible steadiness with room for ideas|You can move between action, attention, response, and fresh thinking as the task changes.|You may default to the steady practical answer before exploring a better option.|Treat a new angle as part of the work, not only as late improvement.|Physical Rhythm is lightly first, with Deep Focus and Social Exchange close enough to matter. Some work needs movement, some needs careful thought, and some needs a useful conversation. Creative Movement remains meaningful when the work needs originality or another way through. The strength is steadiness that can still adapt.|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::balanced
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|concentrated|physical_rhythm|creative_movement|deep_focus|social_exchange|Movement that opens ideas|You can use action, pace, or changing state to make new angles easier to find.|You may keep moving through options before the strongest idea gets focus or testing.|Let movement open the idea, then choose what deserves depth and response.|This result starts through practical motion and active thinking. Creative Movement adds variation and possibility. Deep Focus gives the strongest idea substance once it appears. Social Exchange checks whether the result is clear to another person.|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::concentrated
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|paired|physical_rhythm|creative_movement|deep_focus|social_exchange|Rhythm and ideas working together|You can find better angles when movement, making, or pacing gives ideas room to appear.|You may stay with motion and options after the work needs focus or feedback.|Use the active pair to open the work, then settle one direction long enough to test it.|Physical Rhythm and Creative Movement are best read together here. Movement gives the work energy, and ideas keep that energy from becoming repetitive. Deep Focus develops the strongest direction. Social Exchange tests whether the result lands outside your own process.|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::paired
