domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|narrowing_1|1|Relying on pace to solve the task|Physical Rhythm can narrow when changing state becomes the main answer to every block. Movement can help, but some moments still need careful thought or direct response.|deep_focus|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::narrowing_1
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|narrowing_2|2|Turning rhythm into steady overwork|Physical Rhythm and Deep Focus can make sustained effort feel natural. Watch for continuing because the routine is available, not because the work is improving.|creative_movement|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::narrowing_2
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|narrowing_3|3|Opening late and testing later|Creative Movement and Social Exchange may be needed before the work becomes too fixed. A new angle or quick response can stop steady progress becoming unnecessary rework.|social_exchange|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::narrowing_3
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|narrowing_1|1|Using movement before naming the issue|Physical Rhythm can narrow when you change pace or setting before the actual problem is clear. The reset may help, but it may not answer the right question.|deep_focus|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::narrowing_1
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|narrowing_2|2|Getting steady around one answer|Physical Rhythm and Deep Focus can make one route feel workable and reliable. Watch for steadiness becoming a reason not to consider a better option.|creative_movement|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::narrowing_2
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|narrowing_3|3|Checking without widening|Social Exchange can test the work, but Creative Movement may be needed if the tested answer is too narrow. One deliberate reframe can prevent the pattern becoming only practical and careful.|creative_movement|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::narrowing_3
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|narrowing_1|1|Keeping the work in motion|Physical Rhythm can narrow when momentum becomes hard to interrupt. The work may feel alive, but it may need a slower check to know what matters.|deep_focus|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::narrowing_1
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|narrowing_2|2|Trying more before choosing well|Physical Rhythm and Creative Movement can make experimentation easy. Watch for doing another version when the next useful move is to choose, deepen, or ask for response.|deep_focus|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::narrowing_2
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|narrowing_3|3|Developing without external check|Deep Focus can help finish the strongest option, but Social Exchange may be needed before it gets too far. A simple test can show whether the work is clear outside your own process.|social_exchange|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::narrowing_3
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|narrowing_1|1|Resetting instead of deciding|Physical Rhythm can narrow when a change of state becomes the default response to difficulty. Sometimes the wider move is to stay with the decision long enough to finish it.|deep_focus|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::narrowing_1
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|narrowing_2|2|Letting action and ideas outrun clarity|Physical Rhythm and Creative Movement can make the work fast and adaptive. Watch for pace and options moving ahead of the main point.|deep_focus|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::narrowing_2
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|narrowing_3|3|Responding before doing the hard thinking|Social Exchange can help test the route, but Deep Focus may be needed before the answer is ready to hold. Without it, feedback may keep cycling around an unfinished idea.|deep_focus|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::narrowing_3
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|narrowing_1|1|Moving the work on too quickly|Physical Rhythm can narrow when the next action comes before the task has been understood. This can keep momentum high while the important point remains partly hidden.|deep_focus|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::narrowing_1
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|narrowing_2|2|Using interaction as the reset|Physical Rhythm and Social Exchange can make live progress feel easier than private work. Watch for talking, testing, or demonstrating before the issue has had enough thought.|deep_focus|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::narrowing_2
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|narrowing_3|3|Deepening without a fresh option|Deep Focus can settle the work, but Creative Movement may be needed if the answer is too familiar. A deliberate reframe can keep the pattern from becoming only steady and responsive.|creative_movement|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::narrowing_3
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|narrowing_1|1|Using momentum to avoid the harder question|Physical Rhythm can narrow when activity keeps the work moving but not necessarily clearer. A useful check is whether the next action answers the real problem.|deep_focus|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::narrowing_1
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|narrowing_2|2|Letting shared pace set the direction|Physical Rhythm and Social Exchange can make quick response feel productive. The risk is that the group or situation keeps moving before the work has been properly understood.|deep_focus|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::narrowing_2
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|narrowing_3|3|Opening options without finishing|Creative Movement can add range, but Deep Focus may be needed to complete the best route. Without it, the pattern may keep returning to action, exchange, and new ideas.|deep_focus|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::narrowing_3
