domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
leadership_approach|vision_results_process_people|concentrated|With Vision clearly strongest, start from the condition it gives you: the work has a reason that connects today to what comes next. Keep Results, Process, and People available so the response can widen when the situation asks for more than the first move.|Vision gives the work direction, meaning, and a reason to look beyond the immediate task. Results, Process, and People extend that value when the work needs decision, ownership, and follow-through, sequence, standards, and dependable structure, or trust, communication, and shared commitment.|The pattern can tighten when the future frame stays ahead of the decision, method, or people grounding needed now. People may need to enter earlier when the first response has already created enough direction.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Do this while Vision is still working, so range arrives before the response becomes too narrow.|Vision gives the start; People keeps the range in view.|active|leadership_approach::vision_results_process_people::concentrated
leadership_approach|vision_results_process_people|paired|Read Vision and Results as a working pair. Let the work has a reason that connects today to what comes next sit alongside the outcome, owner, and next move are clear, then bring in Process and People when the work needs more range.|Vision and Results together connect direction, meaning, and future consequence with decision, ownership, and follow-through. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Process or People is needed to complete the picture. The risk is a context mismatch: the work may need trust, communication, and shared commitment sooner than the pair expects.|Bring in Process when the work needs clearer steps, standards, or handover. Bring in People when trust, communication, inclusion, or commitment needs more direct attention. The pair stays steadier when these checks arrive before the answer feels settled.|Vision and Results carry the centre; People keeps the work rounded.|active|leadership_approach::vision_results_process_people::paired
leadership_approach|vision_results_process_people|graduated|Read the order as a stepped pattern of influence: Vision, then Results, then Process, with People added deliberately. The closing point is to follow that order while still making room for trust, communication, and shared commitment.|The rank order gives the work a clear movement from direction, meaning, and future consequence through decision, ownership, and follow-through and sequence, standards, and dependable structure. People adds the final range when the situation calls for trust, communication, and shared commitment.|The sequence can become too closed when later signals are left until the situation has already tightened. People matters when the work now needs trust, communication, and shared commitment.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for People before the work closes in.|active|leadership_approach::vision_results_process_people::graduated
leadership_approach|vision_results_process_people|balanced|Several leadership responses are available here. Use the rank order as a map: Vision, Results, Process, and People. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Vision, Results, Process, and People. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Vision, Results, Process, and People.|Name the current need before changing emphasis. Then bring in People when trust, communication, and shared commitment would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::vision_results_process_people::balanced
leadership_approach|vision_results_people_process|concentrated|With Vision clearly strongest, start from the condition it gives you: the work has a reason that connects today to what comes next. Keep Results, People, and Process available so the response can widen when the situation asks for more than the first move.|Vision gives the work direction, meaning, and a reason to look beyond the immediate task. Results, People, and Process extend that value when the work needs decision, ownership, and follow-through, trust, communication, and shared commitment, or sequence, standards, and dependable structure.|The pattern can tighten when the future frame stays ahead of the decision, method, or people grounding needed now. Process may need to enter earlier when the first response has already created enough direction.|Bring in Process when the work needs clearer steps, standards, or handover. Do this while Vision is still working, so range arrives before the response becomes too narrow.|Vision gives the start; Process keeps the range in view.|active|leadership_approach::vision_results_people_process::concentrated
leadership_approach|vision_results_people_process|paired|Read Vision and Results as a working pair. Let the work has a reason that connects today to what comes next sit alongside the outcome, owner, and next move are clear, then bring in People and Process when the work needs more range.|Vision and Results together connect direction, meaning, and future consequence with decision, ownership, and follow-through. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when People or Process is needed to complete the picture. The risk is a context mismatch: the work may need sequence, standards, and dependable structure sooner than the pair expects.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Bring in Process when the work needs clearer steps, standards, or handover. The pair stays steadier when these checks arrive before the answer feels settled.|Vision and Results carry the centre; Process keeps the work rounded.|active|leadership_approach::vision_results_people_process::paired
leadership_approach|vision_results_people_process|graduated|Read the order as a stepped pattern of influence: Vision, then Results, then People, with Process added deliberately. The closing point is to follow that order while still making room for sequence, standards, and dependable structure.|The rank order gives the work a clear movement from direction, meaning, and future consequence through decision, ownership, and follow-through and trust, communication, and shared commitment. Process adds the final range when the situation calls for sequence, standards, and dependable structure.|The sequence can become too closed when later signals are left until the situation has already tightened. Process matters when the work now needs sequence, standards, and dependable structure.|Bring in Process when the work needs clearer steps, standards, or handover. Treat it as part of the full order rather than an emergency move.|Follow the order, then make space for Process before the work closes in.|active|leadership_approach::vision_results_people_process::graduated
leadership_approach|vision_results_people_process|balanced|Several leadership responses are available here. Use the rank order as a map: Vision, Results, People, and Process. Context decides which signal should be most visible, so name the need clearly before the work moves on.|The value is range across Vision, Results, People, and Process. The work can move through delivery, structure, direction, or trust while staying tied to the situation in front of you.|Balanced range can still become unclear if the current need is unnamed. Others need to know whether the moment calls for Vision, Results, People, and Process.|Name the current need before changing emphasis. Then bring in Process when sequence, standards, and dependable structure would make the response clearer.|Name the need, then use the signal that fits it.|active|leadership_approach::vision_results_people_process::balanced
leadership_approach|vision_process_results_people|concentrated|With Vision clearly strongest, start from the condition it gives you: the work has a reason that connects today to what comes next. Keep Process, Results, and People available so the response can widen when the situation asks for more than the first move.|Vision gives the work direction, meaning, and a reason to look beyond the immediate task. Process, Results, and People extend that value when the work needs sequence, standards, and dependable structure, decision, ownership, and follow-through, or trust, communication, and shared commitment.|The pattern can tighten when the future frame stays ahead of the decision, method, or people grounding needed now. People may need to enter earlier when the first response has already created enough direction.|Bring in People when trust, communication, inclusion, or commitment needs more direct attention. Do this while Vision is still working, so range arrives before the response becomes too narrow.|Vision gives the start; People keeps the range in view.|active|leadership_approach::vision_process_results_people::concentrated
leadership_approach|vision_process_results_people|paired|Read Vision and Process as a working pair. Let the work has a reason that connects today to what comes next sit alongside the steps, standards, and handovers are clear enough to follow, then bring in Results and People when the work needs more range.|Vision and Process together connect direction, meaning, and future consequence with sequence, standards, and dependable structure. This can make the work easier to understand, carry, and sustain.|The pair can take too much space when Results or People is needed to complete the picture. The risk is a context mismatch: the work may need trust, communication, and shared commitment sooner than the pair expects.|Bring in Results when the work needs a firmer decision, owner, or visible next move. Bring in People when trust, communication, inclusion, or commitment needs more direct attention. The pair stays steadier when these checks arrive before the answer feels settled.|Vision and Process carry the centre; People keeps the work rounded.|active|leadership_approach::vision_process_results_people::paired
