question_number,option_label,domain,question_text,response_text,primary_signal,secondary_signal,assignment_method,score_margin,needs_review,notes
1,A,Operating Style," When starting a new initiative, what do you focus on first?","Start quickly, then adjust as I learn",driver,,heuristic_assignment,4.0,False,heuristic_assignment
1,B,Operating Style," When starting a new initiative, what do you focus on first?",Plan the full approach before starting,implementer,,heuristic_assignment,4.0,False,heuristic_assignment
1,C,Operating Style," When starting a new initiative, what do you focus on first?",Check with key people before moving,influencer,,heuristic_assignment,10.0,False,heuristic_assignment
1,D,Operating Style," When starting a new initiative, what do you focus on first?",Wait until direction is fully clear,analyst,,heuristic_assignment,2.0,False,heuristic_assignment
2,A,Operating Style, How would you describe your natural pace at work?,I work fast and keep urgency high,driver,,heuristic_assignment,7.35,False,heuristic_assignment
2,B,Operating Style, How would you describe your natural pace at work?,"I keep a steady, reliable pace",implementer,,heuristic_assignment,6.65,False,heuristic_assignment
2,C,Operating Style, How would you describe your natural pace at work?,I work calmly and think things through,analyst,,heuristic_assignment,2.65,False,heuristic_assignment
2,D,Operating Style, How would you describe your natural pace at work?,My pace shifts with the environment,influencer,,heuristic_assignment,1.35,True,heuristic_assignment; low-confidence or nuanced wording
3,A,Operating Style," When priorities shift suddenly, what is your instinct?",I pivot quickly and keep moving,driver,,heuristic_assignment,10.0,False,heuristic_assignment
3,B,Operating Style," When priorities shift suddenly, what is your instinct?",I pause to rework the plan,implementer,,heuristic_assignment,7.0,False,heuristic_assignment
3,C,Operating Style," When priorities shift suddenly, what is your instinct?",I check who will be affected first,influencer,,heuristic_assignment,0.0,True,heuristic_assignment; low-confidence or nuanced wording
3,D,Operating Style," When priorities shift suddenly, what is your instinct?",I lose momentum until things settle,analyst,,heuristic_assignment,0.0,True,heuristic_assignment; low-confidence or nuanced wording
4,A,Operating Style, What type of work do you naturally gravitate towards?,High-stakes work with visible outcomes,driver,,heuristic_assignment,3.0,False,heuristic_assignment
4,B,Operating Style, What type of work do you naturally gravitate towards?,Work with clear structure and scope,implementer,analyst,heuristic_assignment,3.0,False,heuristic_assignment; secondary=analyst
4,C,Operating Style, What type of work do you naturally gravitate towards?,Work that depends on strong collaboration,influencer,,heuristic_assignment,0.0,True,heuristic_assignment; low-confidence or nuanced wording
4,D,Operating Style, What type of work do you naturally gravitate towards?,Technical work that needs deep analysis,analyst,,heuristic_assignment,4.0,False,heuristic_assignment
