domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|strength_1|1|Staying with demanding work|You can give hard thinking enough time to become clear. This helps when the task needs care, accuracy, or a decision that should not be rushed.|deep_focus|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::strength_1
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|strength_2|2|Turning depth into better options|Your best ideas may appear after you have understood the problem properly. Focus gives the work weight, and Creative Movement helps you find a less obvious angle without losing the main thread.|creative_movement|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::strength_2
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|strength_3|3|Keeping the work usable|Physical Rhythm can help you notice when attention needs a change of pace. Social Exchange then gives you a clear way to check whether the work makes sense to someone else.|physical_rhythm|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::strength_3
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|strength_1|1|Building a solid view|You may find flow when you can stay with one difficult point until it becomes easier to explain. This makes your work feel considered rather than improvised.|deep_focus|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::strength_1
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|strength_2|2|Finding original clarity|Deep Focus helps you hold the problem still, while Creative Movement lets the answer shift. This can produce ideas that are both careful and fresh.|creative_movement|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::strength_2
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|strength_3|3|Making the idea easier to use|Social Exchange helps you hear what is clear, confusing, or missing. Physical Rhythm can then give you a practical reset before the next round of thinking.|social_exchange|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::strength_3
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|strength_1|1|Holding attention steadily|You can often stay with demanding work without needing constant change. This helps when progress depends on concentration, patience, and finishing the hard part.|deep_focus|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::strength_1
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|strength_2|2|Using pace to support focus|Physical Rhythm gives your concentration a practical base. A walk, routine, change of setting, or steady work cycle can make careful thinking easier to sustain.|physical_rhythm|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::strength_2
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|strength_3|3|Opening the work at the right time|Creative Movement adds range once the work has traction. Social Exchange can help you test the result before it becomes too closed or too personal to the task.|creative_movement|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::strength_3
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|strength_1|1|Doing careful work that holds up|You can give important work enough attention to make it reliable. This is a strength when mistakes would be costly or when the answer needs to be well founded.|deep_focus|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::strength_1
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|strength_2|2|Making concentration workable|Physical Rhythm helps you keep attention available through pace, movement, routine, or environment. This can make deep work feel less forced and more repeatable.|physical_rhythm|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::strength_2
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|strength_3|3|Checking before adding range|Social Exchange helps you test whether the careful work lands. Creative Movement is then a deliberate way to add a better angle when the first answer feels too fixed.|social_exchange|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::strength_3
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|strength_1|1|Forming a clear judgement|You may work best when you can think something through before responding. This gives your contribution a stronger base when the issue is complex or sensitive.|deep_focus|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::strength_1
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|strength_2|2|Sharpening thought through response|Social Exchange helps you turn a private view into something clearer. A good question or live reaction can show what your thinking has actually become.|social_exchange|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::strength_2
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|strength_3|3|Adding options and recovery|Creative Movement gives you room to reframe after the main point is visible. Physical Rhythm can help you step out of repeated thinking or repeated conversation.|creative_movement|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::strength_3
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|strength_1|1|Thinking before the work is shared|You can often make better progress after you have had enough quiet contact with the problem. This helps you bring a clearer view into discussion.|deep_focus|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::strength_1
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|strength_2|2|Using feedback without losing judgement|Social Exchange helps you test your view while keeping the benefit of your own thinking. You can listen for what improves the work, not just what creates noise.|social_exchange|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::strength_2
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|strength_3|3|Resetting before widening|Physical Rhythm can clear space after careful thinking and conversation. Creative Movement then adds a deliberate route to fresh options when the work needs more range.|physical_rhythm|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::strength_3
