domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
leadership_approach|results_process_vision_people|concentrated|results|process|vision|people|How Results organises the response|Results is likely to organise the first response by naming the outcome, making ownership visible, and turning uncertainty into a decision people can follow. Process and Vision add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes movement, accountability, and visible progress feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, a wider direction and a reason for the choice being made, and communication, confidence, and shared commitment.|It protects the work from drift, unclear ownership, and decisions that do not turn into action. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership_approach::results_process_vision_people::concentrated
leadership_approach|results_process_vision_people|paired|results|process|vision|people|How Results and Process work together|Results and Process tend to operate as a close working pair. Results gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a clear outcome and a decision people can act on and usable structure and a sequence people can trust. Vision can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between outcome and follow-through and structure and standards. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership_approach::results_process_vision_people::paired
leadership_approach|results_process_vision_people|graduated|results|process|vision|people|How the pattern moves from Results to People|The pattern tends to move in steps: Results starts the response, Process gives the next influence, Vision adds support, and People may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from outcome and follow-through towards direction and future consequence. The main watch point is leaving clearer communication, inclusion, and relational judgement until the work has already narrowed.|active|leadership_approach::results_process_vision_people::graduated
leadership_approach|results_process_vision_people|balanced|results|process|vision|people|How the pattern moves between Results, Process, Vision, and People|The pattern may have several usable entry points. Results may appear first, but context can quickly call for Process, Vision, or People without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across outcome and follow-through, structure and standards, direction and future consequence, and trust and shared commitment. It needs a clear current priority so others can follow the shift.|active|leadership_approach::results_process_vision_people::balanced
leadership_approach|results_process_people_vision|concentrated|results|process|people|vision|How Results organises the response|Results is likely to organise the first response by naming the outcome, making ownership visible, and turning uncertainty into a decision people can follow. Process and People add useful checks, while Vision may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes movement, accountability, and visible progress feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, communication, confidence, and shared commitment, and a wider direction and a reason for the choice being made.|It protects the work from drift, unclear ownership, and decisions that do not turn into action. The main range to add is a stronger future frame, meaning, and possibility, especially when the first response has already created movement.|active|leadership_approach::results_process_people_vision::concentrated
leadership_approach|results_process_people_vision|paired|results|process|people|vision|How Results and Process work together|Results and Process tend to operate as a close working pair. Results gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a clear outcome and a decision people can act on and usable structure and a sequence people can trust. People can steady the pair, and Vision is the range to bring in before the pair becomes too narrow.|It protects the link between outcome and follow-through and structure and standards. It also needs enough room for a stronger future frame, meaning, and possibility when the top pair starts to take most of the attention.|active|leadership_approach::results_process_people_vision::paired
leadership_approach|results_process_people_vision|graduated|results|process|people|vision|How the pattern moves from Results to Vision|The pattern tends to move in steps: Results starts the response, Process gives the next influence, People adds support, and Vision may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from outcome and follow-through towards trust and shared commitment. The main watch point is leaving a stronger future frame, meaning, and possibility until the work has already narrowed.|active|leadership_approach::results_process_people_vision::graduated
leadership_approach|results_process_people_vision|balanced|results|process|people|vision|How the pattern moves between Results, Process, People, and Vision|The pattern may have several usable entry points. Results may appear first, but context can quickly call for Process, People, or Vision without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across outcome and follow-through, structure and standards, trust and shared commitment, and direction and future consequence. It needs a clear current priority so others can follow the shift.|active|leadership_approach::results_process_people_vision::balanced
leadership_approach|results_vision_process_people|concentrated|results|vision|process|people|How Results organises the response|Results is likely to organise the first response by naming the outcome, making ownership visible, and turning uncertainty into a decision people can follow. Vision and Process add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes movement, accountability, and visible progress feel like the clearest way to begin. The next signals test whether the work also has a wider direction and a reason for the choice being made, usable structure and a sequence people can trust, and communication, confidence, and shared commitment.|It protects the work from drift, unclear ownership, and decisions that do not turn into action. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership_approach::results_vision_process_people::concentrated
leadership_approach|results_vision_process_people|paired|results|vision|process|people|How Results and Vision work together|Results and Vision tend to operate as a close working pair. Results gives the first entry point, while Vision quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a clear outcome and a decision people can act on and a wider direction and a reason for the choice being made. Process can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between outcome and follow-through and direction and future consequence. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership_approach::results_vision_process_people::paired
