domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
leadership_approach|people_results_process_vision|application_1|1|Start with trust and commitment|Start by checking who needs context, confidence, or a clearer voice in the work. Name the change in plain terms, then ask what people need to understand or contribute before commitment is expected.|people|active|leadership_approach::people_results_process_vision::application_1
leadership_approach|people_results_process_vision|application_2|2|Stabilise with Results, then add Process|Before you move on, use Results to turn the conversation into a named decision, owner, and follow-up point. Then bring in Process to turn intent into steps, responsibilities, and a cleaner handover. This gives the work a stronger middle step before you rely on the full pattern.|results|active|leadership_approach::people_results_process_vision::application_2
leadership_approach|people_results_process_vision|application_3|3|Bring in Vision when the work tightens|When the work starts to narrow, bring in Vision deliberately. In practice, name what the work is meant to lead towards and why that matters. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|vision|active|leadership_approach::people_results_process_vision::application_3
leadership_approach|people_results_vision_process|application_1|1|Start with trust and commitment|Start by checking who needs context, confidence, or a clearer voice in the work. Name the change in plain terms, then ask what people need to understand or contribute before commitment is expected.|people|active|leadership_approach::people_results_vision_process::application_1
leadership_approach|people_results_vision_process|application_2|2|Stabilise with Results, then add Vision|Before you move on, use Results to turn the conversation into a named decision, owner, and follow-up point. Then bring in Vision to connect the immediate task to the reason, consequence, or better option. This gives the work a stronger middle step before you rely on the full pattern.|results|active|leadership_approach::people_results_vision_process::application_2
leadership_approach|people_results_vision_process|application_3|3|Bring in Process when the work tightens|When the work starts to narrow, bring in Process deliberately. In practice, write down the steps, standards, or handovers that need to be clearer. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|process|active|leadership_approach::people_results_vision_process::application_3
leadership_approach|people_process_results_vision|application_1|1|Start with trust and commitment|Start by checking who needs context, confidence, or a clearer voice in the work. Name the change in plain terms, then ask what people need to understand or contribute before commitment is expected.|people|active|leadership_approach::people_process_results_vision::application_1
leadership_approach|people_process_results_vision|application_2|2|Stabilise with Process, then add Results|Before you move on, use Process to turn intent into steps, responsibilities, and a cleaner handover. Then bring in Results to turn the conversation into a named decision, owner, and follow-up point. This gives the work a stronger middle step before you rely on the full pattern.|process|active|leadership_approach::people_process_results_vision::application_2
leadership_approach|people_process_results_vision|application_3|3|Bring in Vision when the work tightens|When the work starts to narrow, bring in Vision deliberately. In practice, name what the work is meant to lead towards and why that matters. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|vision|active|leadership_approach::people_process_results_vision::application_3
leadership_approach|people_process_vision_results|application_1|1|Start with trust and commitment|Start by checking who needs context, confidence, or a clearer voice in the work. Name the change in plain terms, then ask what people need to understand or contribute before commitment is expected.|people|active|leadership_approach::people_process_vision_results::application_1
leadership_approach|people_process_vision_results|application_2|2|Stabilise with Process, then add Vision|Before you move on, use Process to turn intent into steps, responsibilities, and a cleaner handover. Then bring in Vision to connect the immediate task to the reason, consequence, or better option. This gives the work a stronger middle step before you rely on the full pattern.|process|active|leadership_approach::people_process_vision_results::application_2
leadership_approach|people_process_vision_results|application_3|3|Bring in Results when the work tightens|When the work starts to narrow, bring in Results deliberately. In practice, ask what now needs a decision, an owner, or a visible next move. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|results|active|leadership_approach::people_process_vision_results::application_3
leadership_approach|people_vision_results_process|application_1|1|Start with trust and commitment|Start by checking who needs context, confidence, or a clearer voice in the work. Name the change in plain terms, then ask what people need to understand or contribute before commitment is expected.|people|active|leadership_approach::people_vision_results_process::application_1
leadership_approach|people_vision_results_process|application_2|2|Stabilise with Vision, then add Results|Before you move on, use Vision to connect the immediate task to the reason, consequence, or better option. Then bring in Results to turn the conversation into a named decision, owner, and follow-up point. This gives the work a stronger middle step before you rely on the full pattern.|vision|active|leadership_approach::people_vision_results_process::application_2
leadership_approach|people_vision_results_process|application_3|3|Bring in Process when the work tightens|When the work starts to narrow, bring in Process deliberately. In practice, write down the steps, standards, or handovers that need to be clearer. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|process|active|leadership_approach::people_vision_results_process::application_3
leadership_approach|people_vision_process_results|application_1|1|Start with trust and commitment|Start by checking who needs context, confidence, or a clearer voice in the work. Name the change in plain terms, then ask what people need to understand or contribute before commitment is expected.|people|active|leadership_approach::people_vision_process_results::application_1
leadership_approach|people_vision_process_results|application_2|2|Stabilise with Vision, then add Process|Before you move on, use Vision to connect the immediate task to the reason, consequence, or better option. Then bring in Process to turn intent into steps, responsibilities, and a cleaner handover. This gives the work a stronger middle step before you rely on the full pattern.|vision|active|leadership_approach::people_vision_process_results::application_2
leadership_approach|people_vision_process_results|application_3|3|Bring in Results when the work tightens|When the work starts to narrow, bring in Results deliberately. In practice, ask what now needs a decision, an owner, or a visible next move. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|results|active|leadership_approach::people_vision_process_results::application_3
