domain_key|question_key|option_key|option_order|option_text|is_scored|status|lookup_key
flow_state|q01|q01_A|1|I clear space and stay with one demanding part.|true|active|q01::q01_A
flow_state|q01|q01_B|2|I try a few angles until one has energy.|true|active|q01::q01_B
flow_state|q01|q01_C|3|I settle into a physical rhythm or routine.|true|active|q01::q01_C
flow_state|q01|q01_D|4|I talk it through or connect with someone first.|true|active|q01::q01_D
flow_state|q02|q02_A|1|A quiet block where I can stay with one thread.|true|active|q02::q02_A
flow_state|q02|q02_B|2|Freedom to follow an idea as it changes shape.|true|active|q02::q02_B
flow_state|q02|q02_C|3|A steady pace, familiar setting, or bodily momentum.|true|active|q02::q02_C
flow_state|q02|q02_D|4|The ability to respond, exchange, and stay socially engaged.|true|active|q02::q02_D
flow_state|q03|q03_A|1|Being pulled away from a complex thought before it resolves.|true|active|q03::q03_A
flow_state|q03|q03_B|2|Being forced to stay with one fixed route too early.|true|active|q03::q03_B
flow_state|q03|q03_C|3|Having your routine, timing, or physical setup disrupted.|true|active|q03::q03_C
flow_state|q03|q03_D|4|Losing the social thread, feedback, or shared momentum.|true|active|q03::q03_D
flow_state|q04|q04_A|1|I narrow the problem and stay with it quietly.|true|active|q04::q04_A
flow_state|q04|q04_B|2|I reframe it, sketch alternatives, or change the angle.|true|active|q04::q04_B
flow_state|q04|q04_C|3|I keep moving through the next practical step.|true|active|q04::q04_C
flow_state|q04|q04_D|4|I seek a conversation to test what is happening.|true|active|q04::q04_D
flow_state|q05|q05_A|1|Quiet, contained, and low on external noise.|true|active|q05::q05_A
flow_state|q05|q05_B|2|Flexible, stimulating, and open to experimentation.|true|active|q05::q05_B
flow_state|q05|q05_C|3|Ordered, comfortable, and physically settled.|true|active|q05::q05_C
flow_state|q05|q05_D|4|Interactive, responsive, and connected to other people.|true|active|q05::q05_D
flow_state|q06|q06_A|1|I choose one important thing and go deep.|true|active|q06::q06_A
flow_state|q06|q06_B|2|I explore several ideas until one becomes interesting.|true|active|q06::q06_B
flow_state|q06|q06_C|3|I build momentum through a repeatable working rhythm.|true|active|q06::q06_C
flow_state|q06|q06_D|4|I use contact with others to create movement or clarity.|true|active|q06::q06_D
flow_state|q07|q07_A|1|I stop noticing time because my attention is absorbed.|true|active|q07::q07_A
flow_state|q07|q07_B|2|Ideas start connecting and changing faster than expected.|true|active|q07::q07_B
flow_state|q07|q07_C|3|My body and pace feel settled into the work.|true|active|q07::q07_C
