domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|concentrated|Your clearest route into flow is idea movement that opens the work before it settles. Deep Focus gives the strongest route substance, while rhythm and response keep it usable.|You can find fresh ways into work and develop the best one.|You may keep opening options after the work needs a clearer decision.|Let ideas move first, then give one option enough focus, state support, and response to land.|Possibility works best when one route becomes clear.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::concentrated
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|paired|Flow is likely to come from Creative Movement and Deep Focus working as a close pair. Ideas give the work life, and focus gives the strongest idea enough weight to hold together.|You can create original work with enough thought behind it.|You may keep moving between options and depth after the work needs action or response.|Use the pair to develop the idea, then add rhythm or conversation before it stays private too long.|Let the idea open, then help it hold.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::paired
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|graduated|This pattern moves from ideas into focus, then physical rhythm, then response. The order works well when possibility needs to become substantial before it is checked by another person.|You can turn early options into work that has depth and direction.|You may wait too long before finding out whether the idea lands.|Follow the order, but bring in response while the idea is still easy to improve.|An idea is strongest when it can be used, not just developed.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::graduated
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|balanced|Read this as flexible originality with several routes available. Ideas may start the work, but focus, rhythm, and response can each become the right condition depending on the task.|You can move between possibility, depth, movement, and feedback.|You may change conditions before one idea has had enough time to become clear.|Start with the route that opens the work, then add the condition that makes it usable.|Original work needs both movement and a next step.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::balanced
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|concentrated|Your clearest route into flow is Creative Movement, with Deep Focus and Social Exchange helping the idea become substantial and understandable. Physical Rhythm is the range to add when the process becomes crowded.|You can open new possibilities and turn the best one into something others can follow.|You may stay in ideas, focus, and response after the work needs a change of state.|Use the idea route, then add movement, pace, or environment before another mental pass.|A good idea also needs a workable state.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::concentrated
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|paired|Flow is likely to come from the close pair of Creative Movement and Deep Focus. Social Exchange helps translate the work, while Physical Rhythm keeps the process from staying only in thought and talk.|You can make ideas both fresh and substantial.|You may keep developing and discussing the idea after your state needs to change.|Use ideas and focus together, then invite response and a physical shift before the work becomes crowded.|Fresh work needs room to breathe.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::paired
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|graduated|This pattern moves from ideas into depth, then response, then physical rhythm. The sequence helps possibility become clearer to others, but it works best when recovery is not left too late.|You can open a strong idea, develop it, and check whether it makes sense.|You may delay a physical shift until the process is already tired.|Follow the sequence, then change state before continuing with more ideas or feedback.|Develop the idea, then change the conditions around it.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::graduated
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|balanced|Read this as flexible idea-led flow with depth and response close by. Physical Rhythm may need deliberate use when the work needs a change of state rather than another angle.|You can use ideas, focus, or conversation to make the work clearer.|You may treat physical rhythm as optional even when it would reduce mental load.|Use the route that is helping, then add movement or a changed setting when the work gets crowded.|Sometimes the next idea needs a different state.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::balanced
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|concentrated|Your clearest route into flow is idea movement supported by physical rhythm. Deep Focus gives the best route depth, and Social Exchange checks whether the result is clear beyond your own process.|You can get stuck work moving and then make one route stronger.|You may mistake motion and options for enough progress.|Use ideas and rhythm to start, then add focused development and response before the work travels too far alone.|Movement opens the door, but clarity carries the work.|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::concentrated
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|paired|Flow is likely to come from Creative Movement and Physical Rhythm working together. Ideas and pace make the work easier to enter, while focus and response help it become more complete.|You can think through action, examples, and changing conditions.|You may keep experimenting after the work needs depth or feedback.|Use movement and ideas to open the task, then give one route focus and response.|Keep the work moving, then make it hold.|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::paired
