domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
leadership_approach|results_process_vision_people|strength_1|1|Clear outcomes people can act on|At your best, this leadership pattern helps you name the outcome, the owner, and the next step before the work drifts. Others benefit because decisions become easier to act on and unresolved discussion turns into movement.|results|active|leadership_approach::results_process_vision_people::strength_1
leadership_approach|results_process_vision_people|strength_2|2|Momentum with a usable path|Results and Process together help your leadership combine clearer outcomes, ownership, and next steps with sequence, standards, and a dependable way of working. Others benefit because the work has a clearer centre and a more usable way forward.|process|active|leadership_approach::results_process_vision_people::strength_2
leadership_approach|results_process_vision_people|strength_3|3|Direction that gives the work meaning|Results and Process give your leadership a practical route, while Vision adds range by connecting the work to direction, purpose, and future context. Others benefit because they understand why the next move matters, not just what needs to happen.|vision|active|leadership_approach::results_process_vision_people::strength_3
leadership_approach|results_process_people_vision|strength_1|1|Clear outcomes people can act on|At your best, this leadership pattern helps you name the outcome, the owner, and the next step before the work drifts. Others benefit because decisions become easier to act on and unresolved discussion turns into movement.|results|active|leadership_approach::results_process_people_vision::strength_1
leadership_approach|results_process_people_vision|strength_2|2|Momentum with a usable path|Results and Process together help your leadership combine clearer outcomes, ownership, and next steps with sequence, standards, and a dependable way of working. Others benefit because the work has a clearer centre and a more usable way forward.|process|active|leadership_approach::results_process_people_vision::strength_2
leadership_approach|results_process_people_vision|strength_3|3|Trust that strengthens follow-through|Results and Process give your leadership a practical route, while People adds range by building trust, communication, and shared confidence. Others benefit because commitment is easier to build and the work is less dependent on alignment being assumed.|people|active|leadership_approach::results_process_people_vision::strength_3
leadership_approach|results_vision_process_people|strength_1|1|Clear outcomes people can act on|At your best, this leadership pattern helps you name the outcome, the owner, and the next step before the work drifts. Others benefit because decisions become easier to act on and unresolved discussion turns into movement.|results|active|leadership_approach::results_vision_process_people::strength_1
leadership_approach|results_vision_process_people|strength_2|2|Decisions connected to direction|Results and Vision together help your leadership combine clearer outcomes, ownership, and next steps with future context, possibility, and wider meaning. Others benefit because the work has a clearer centre and a more usable way forward.|vision|active|leadership_approach::results_vision_process_people::strength_2
leadership_approach|results_vision_process_people|strength_3|3|Structure that makes direction usable|Results and Vision give your leadership a clear reason to move, while Process adds range through sequence, standards, and handover. Others benefit because the work becomes easier to coordinate, repeat, and carry forward.|process|active|leadership_approach::results_vision_process_people::strength_3
leadership_approach|results_vision_people_process|strength_1|1|Clear outcomes people can act on|At your best, this leadership pattern helps you name the outcome, the owner, and the next step before the work drifts. Others benefit because decisions become easier to act on and unresolved discussion turns into movement.|results|active|leadership_approach::results_vision_people_process::strength_1
