domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|strength_1|1|Finding a better angle|You may find flow when the work can move, turn, or be seen from a different side. This helps when the first answer is too obvious or too narrow.|creative_movement|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::strength_1
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|strength_2|2|Giving ideas enough substance|Deep Focus helps your options become more than passing thoughts. You can explore widely, then stay with the strongest idea until it becomes clear and usable.|deep_focus|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::strength_2
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|strength_3|3|Moving and checking the work|Physical Rhythm can keep idea work from becoming too mental. Social Exchange adds a later check so the idea can be tested in plain language.|physical_rhythm|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::strength_3
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|strength_1|1|Opening possibilities quickly|Your best ideas may appear when you can try a different frame before the work hardens. This is useful when a task needs options, invention, or a new route through complexity.|creative_movement|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::strength_1
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|strength_2|2|Turning options into clear work|Deep Focus helps you stay with the idea that deserves more time. The combination can move from possibility into careful thinking without losing energy.|deep_focus|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::strength_2
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|strength_3|3|Explaining what has changed|Social Exchange helps you show the idea to another person and hear what lands. Physical Rhythm can support a reset when the work has stayed in thought and talk for too long.|social_exchange|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::strength_3
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|strength_1|1|Creating movement in stuck work|You can often find flow by changing the shape of the task. A fresh example, sketch, route, or order can make the next step easier to see.|creative_movement|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::strength_1
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|strength_2|2|Thinking through action and pace|Physical Rhythm helps your ideas stay connected to movement, timing, and practical momentum. This can make experimentation feel grounded rather than scattered.|physical_rhythm|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::strength_2
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|strength_3|3|Settling and sharing the result|Deep Focus lets you stay with the best option long enough to finish the thinking. Social Exchange can then test whether the result is clear beyond your own process.|deep_focus|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::strength_3
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|strength_1|1|Reframing while the work is live|You may find flow when you can adjust the work as it develops. This helps with tasks where the answer becomes clearer through trying, moving, and noticing.|creative_movement|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::strength_1
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|strength_2|2|Keeping ideas in motion|Physical Rhythm helps you keep momentum while options are forming. Movement, pacing, or hands-on work can make the next idea easier to reach.|physical_rhythm|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::strength_2
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|strength_3|3|Testing before going deeper|Social Exchange can reveal which option is worth developing. Deep Focus then becomes a deliberate strength when the work needs careful finishing, not just more movement.|social_exchange|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::strength_3
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|strength_1|1|Generating options with others in mind|You can often see several ways a task could work. This helps when people need a new frame, a clearer explanation, or a different route into the problem.|creative_movement|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::strength_1
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|strength_2|2|Developing ideas through response|Social Exchange helps your ideas sharpen in real time. A question, reaction, or shared example can show which direction has life and which one needs changing.|social_exchange|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::strength_2
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|strength_3|3|Adding depth and reset|Deep Focus helps you choose one idea and work it through carefully. Physical Rhythm can give you a practical reset when the idea loop or conversation has run long.|deep_focus|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::strength_3
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|strength_1|1|Making ideas easy to enter|You may find flow when an idea can be explored out loud, sketched, or tried in a simple way. This helps others understand the work sooner.|creative_movement|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::strength_1
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|strength_2|2|Using conversation to improve options|Social Exchange helps you notice which idea becomes clearer when someone responds. The work can improve through questions, examples, and shared sense-making.|social_exchange|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::strength_2
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|strength_3|3|Keeping range grounded|Physical Rhythm can turn idea work into a practical next step. Deep Focus adds deliberate depth when the strongest option needs careful development.|physical_rhythm|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::strength_3
