domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|concentrated|Your clearest route into flow is Social Exchange that opens the work through response. Deep Focus gives the exchange depth, Creative Movement adds range, and Physical Rhythm keeps the process workable.|You can make thinking clearer through live contact and then develop it carefully.|You may seek more response after the work needs recovery or state change.|Use exchange to open clarity, then add focus, ideas, and physical rhythm before the process becomes crowded.|Response opens the door. Depth and rhythm keep it usable.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::concentrated
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|paired|Flow is likely to come from Social Exchange and Deep Focus working closely together. Conversation opens the work, and focused attention helps the useful part become real progress.|You can turn response into considered work.|You may keep discussing or reviewing after the process needs movement or a decision.|Use the exchange-and-focus pair, then add ideas or physical rhythm when the work starts to crowd.|Talk can open the work. Focus decides what matters.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::paired
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|graduated|This pattern moves from exchange into focus, then ideas, then physical rhythm. The sequence helps shared thinking become deeper and more flexible, as long as state change is not left too late.|You can use response as the doorway into careful thought and better options.|You may delay physical rhythm until the process feels heavy or overworked.|Follow the order, then change state before more response or thinking is added.|Listen, deepen, widen, then change condition.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::graduated
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|balanced|Read this as flexible social flow with depth, ideas, and movement available. Social Exchange is lightly first, but context should decide whether the work now needs response, focus, possibility, or a physical shift.|You can use conversation without losing access to independent thought.|You may stay with response after the work needs a different condition.|Use the signal that clarifies the work now, then add the route that keeps it usable.|Flow is strongest when response turns into clear action.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::balanced
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|concentrated|Your clearest route into flow is Social Exchange, strengthened by Deep Focus and supported by Physical Rhythm. Creative Movement is the deliberate range that keeps the answer from becoming too settled.|You can make sense of work through response and then think it through carefully.|You may treat the discussed answer as final before a better option has appeared.|Use exchange and focus to clarify the work, then add rhythm and one fresh route before closing.|A clear response can still need another angle.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::concentrated
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|paired|Flow is likely to come from Social Exchange and Deep Focus as a close pair. Response opens the point, and focus gives it enough care to become usable.|You can use another view without losing your own judgement.|You may analyse the exchange after it has already given enough information.|Use the pair to find and develop the point, then add movement or a new angle before the answer becomes fixed.|Hear the point, think it through, then keep it open.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::paired
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|graduated|This pattern moves from exchange into focus, then physical rhythm, then ideas. It works well when response creates direction, focus deepens it, and the final signal keeps the work open to another route.|You can make shared thinking careful and practical.|You may add possibility only after the tested answer is already settled.|Follow the sequence, then invite Creative Movement before the work closes.|Response gives the point. Possibility keeps it alive.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::graduated
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|balanced|Read this as flexible flow through response, thought, movement, and ideas. Social Exchange is lightly first, but Creative Movement remains important when the answer needs another frame.|You can use feedback, attention, and state change as different ways to clarify work.|You may keep refining the response before exploring a better option.|Use the condition that helps now, then add a fresh angle when the work feels too fixed.|A tested answer can still be widened.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::balanced
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|concentrated|Your clearest route into flow is Social Exchange that opens ideas through live response. Deep Focus develops the strongest route, and Physical Rhythm keeps the process from becoming too crowded.|You can make ideas clearer by putting them into contact with others.|You may keep responding and reframing after the work needs depth or recovery.|Use exchange and ideas to open the work, then add focus and physical rhythm before the process runs too long.|Response can spark the idea. Focus and rhythm help it land.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::concentrated
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|paired|Flow is likely to come from Social Exchange and Creative Movement working closely together. The work is strongest when response creates better options without replacing judgement or recovery.|You can shape ideas in real time and make them easier to understand.|You may keep adapting the idea after it needs a clearer centre.|Use the social-and-creative pair, then add focus and physical rhythm to settle the best route.|Live ideas need a centre, not just energy.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::paired
