# assessment_key: blueprint-understand-how-you-lead
# version_id: 305cedaf-7431-4efe-a4e2-11127c08a318
# extraction_date: 2026-04-29
# row_count: 24
# notes: Pipe-delimited reference extract aligned to single-domain import column contract; null and aux authoring columns removed.

domain_key|section_key|pair_key|signal_key|driver_role|claim_type|claim_text|materiality|priority
leadership-approach|drivers|process_results|results|primary_driver|driver_primary|Results is the main cause of this pattern. It suggests that you instinctively look for the outcome the work must produce and the evidence that progress is real. You are likely to notice where effort is drifting, where accountability is unclear, where decisions are not moving quickly enough, or where activity is not converting into delivery. This gives your leadership pace and seriousness. It also means your attention can move quickly towards what must be achieved, sometimes before enough has been learned about how the work needs to be organised or owned.|core|1
leadership-approach|drivers|process_results|process|secondary_driver|driver_secondary|Process reinforces the pattern by adding structure and operating discipline. You are not likely to value results as a loose ambition. You are more likely to value results when they are supported by clear standards, visible ownership, repeatable routines, and a practical route for delivery. This combination can make you focused and dependable in performance-critical settings. The risk is that the wish to make progress measurable can reduce the time available for learning, alignment, and repair.|core|2
leadership-approach|drivers|process_results|people|supporting_context|driver_supporting_context|People sits behind the pattern as a supporting layer. It gives the work a human reading and helps you notice how commitment, confidence, and energy are forming around the plan. At its best, this means you can connect disciplined delivery to the people who must carry it. If People remains only lightly expressed, however, others may understand what needs to happen without fully feeling part of how it will happen.|supporting|3
leadership-approach|drivers|process_results|vision|range_limitation|driver_range_limitation|Vision is the weaker range in this result. That does not mean purpose is unimportant to you. It means the wider direction is less likely to lead the pattern when pressure rises. You may notice the destination, meaning, or strategic story after the work has already been turned into standards and outcomes. The practical consequence is that purpose may need to be brought into the process earlier, not treated as a later communication task.|material_underplay|4
leadership-approach|drivers|results_people|results|primary_driver|driver_primary|Results is the main cause of this pattern. It suggests that you instinctively look for the outcome that matters and the progress that needs to be protected. You are likely to notice where effort is not translating into delivery, where priorities are blurred, where decisions are delayed, or where the group is losing commercial seriousness. This gives your leadership momentum and focus. It also means your attention can move quickly towards performance, sometimes before enough has been understood about the relational conditions that will sustain it.|core|1
leadership-approach|drivers|results_people|people|secondary_driver|driver_secondary|People reinforces the pattern by adding sensitivity to commitment and group energy. You are not likely to treat outcomes as a purely mechanical target. You are more likely to notice whether people are engaged, confident, resistant, or ready to carry the work. This combination can make you persuasive and useful when delivery depends on ownership. The risk is that the pressure to maintain progress can still shorten the time available for deeper listening or slower trust-building.|core|2
leadership-approach|drivers|results_people|process|supporting_context|driver_supporting_context|Process sits behind the pattern as a supporting layer. It gives the work a practical operating shape so that progress does not depend only on energy or goodwill. At its best, this means you can translate commitment into clearer responsibilities, routines, and standards. If Process remains only lightly expressed, however, people may feel motivated by the outcome without having enough structure to deliver it consistently.|supporting|3
leadership-approach|drivers|results_people|vision|range_limitation|driver_range_limitation|Vision is the weaker range in this result. That does not mean purpose is unimportant to you. It means the broader destination is less likely to lead the pattern when pressure rises. You may notice meaning, direction, or strategic coherence after progress and engagement have already become the main focus. The practical consequence is that the reason behind the work may need to be made explicit earlier, not added after people have already committed to the task.|material_underplay|4
leadership-approach|drivers|results_vision|results|primary_driver|driver_primary|Results is the main cause of this pattern. It suggests that you instinctively look for tangible progress and evidence that the direction is becoming real. You are likely to notice where ambition is not being converted into movement, where standards are slipping, where decisions lack urgency, or where the gap between intent and outcome is widening. This gives your leadership drive and delivery focus. It also means your attention can move quickly towards visible progress, sometimes before enough has been understood about how people will experience or sustain the change.|core|1
leadership-approach|drivers|results_vision|vision|secondary_driver|driver_secondary|Vision reinforces the pattern by giving the work a reason to matter beyond immediate delivery. You are not likely to value results only as numbers or completion. You are more likely to value them when they prove movement towards a meaningful destination. This combination can make your leadership ambitious, purposeful, and action-oriented. The risk is that the pressure to make the vision visible can reduce the time available for operational detail or relational readiness.|core|2
