domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
leadership_approach|process_results_vision_people|concentrated|process|results|vision|people|You may be recognised for Process first|You may recognise yourself in the way you notice messy handovers, unclear steps, or avoidable rework before anything else. Others may experience more order, steadier standards, and a clearer path for others to follow, especially when the work needs someone to make the work easier to organise and repeat.|This can make leadership feel easier when Process gives others something clear to orient around. It can become harder when the structure keeps improving after the situation needs movement, direction, or a human conversation, so Results, Vision, or People may need to be invited earlier.|active|leadership_approach::process_results_vision_people::concentrated
leadership_approach|process_results_vision_people|paired|process|results|vision|people|Process and Results may work as a close pair|You may recognise yourself in the way Process and Results come together under pressure. Others may experience more order, steadier standards, and a clearer path for others to follow, with Results helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Vision or People, which may be the range that keeps the work rounded.|active|leadership_approach::process_results_vision_people::paired
leadership_approach|process_results_vision_people|graduated|process|results|vision|people|Your leadership may move from Process towards People|You may recognise yourself in a stepped leadership rhythm: Process starts the work, Results gives it more range, Vision adds support, and People may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially People.|active|leadership_approach::process_results_vision_people::graduated
leadership_approach|process_results_vision_people|balanced|process|results|vision|people|You may move between Process, Results, Vision, and People|You may recognise yourself in moving between several leadership routes rather than relying on only one. Process may appear first, but Results, Vision, and People can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership_approach::process_results_vision_people::balanced
leadership_approach|process_results_people_vision|concentrated|process|results|people|vision|You may be recognised for Process first|You may recognise yourself in the way you notice messy handovers, unclear steps, or avoidable rework before anything else. Others may experience more order, steadier standards, and a clearer path for others to follow, especially when the work needs someone to make the work easier to organise and repeat.|This can make leadership feel easier when Process gives others something clear to orient around. It can become harder when the structure keeps improving after the situation needs movement, direction, or a human conversation, so Results, People, or Vision may need to be invited earlier.|active|leadership_approach::process_results_people_vision::concentrated
leadership_approach|process_results_people_vision|paired|process|results|people|vision|Process and Results may work as a close pair|You may recognise yourself in the way Process and Results come together under pressure. Others may experience more order, steadier standards, and a clearer path for others to follow, with Results helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of People or Vision, which may be the range that keeps the work rounded.|active|leadership_approach::process_results_people_vision::paired
leadership_approach|process_results_people_vision|graduated|process|results|people|vision|Your leadership may move from Process towards Vision|You may recognise yourself in a stepped leadership rhythm: Process starts the work, Results gives it more range, People adds support, and Vision may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially Vision.|active|leadership_approach::process_results_people_vision::graduated
leadership_approach|process_results_people_vision|balanced|process|results|people|vision|You may move between Process, Results, People, and Vision|You may recognise yourself in moving between several leadership routes rather than relying on only one. Process may appear first, but Results, People, and Vision can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership_approach::process_results_people_vision::balanced
leadership_approach|process_vision_results_people|concentrated|process|vision|results|people|You may be recognised for Process first|You may recognise yourself in the way you notice messy handovers, unclear steps, or avoidable rework before anything else. Others may experience more order, steadier standards, and a clearer path for others to follow, especially when the work needs someone to make the work easier to organise and repeat.|This can make leadership feel easier when Process gives others something clear to orient around. It can become harder when the structure keeps improving after the situation needs movement, direction, or a human conversation, so Vision, Results, or People may need to be invited earlier.|active|leadership_approach::process_vision_results_people::concentrated
leadership_approach|process_vision_results_people|paired|process|vision|results|people|Process and Vision may work as a close pair|You may recognise yourself in the way Process and Vision come together under pressure. Others may experience more order, steadier standards, and a clearer path for others to follow, with Vision helping the approach become more usable.|This can make leadership feel easier when the pair handles both the main pressure and the practical follow-through. It can become harder if the pair runs ahead of Results or People, which may be the range that keeps the work rounded.|active|leadership_approach::process_vision_results_people::paired
leadership_approach|process_vision_results_people|graduated|process|vision|results|people|Your leadership may move from Process towards People|You may recognise yourself in a stepped leadership rhythm: Process starts the work, Vision gives it more range, Results adds support, and People may need to be brought in deliberately.|This can make leadership feel easier because the order gives you a natural sequence to follow. It can become harder if the later signals are left until the work has already narrowed, especially People.|active|leadership_approach::process_vision_results_people::graduated
leadership_approach|process_vision_results_people|balanced|process|vision|results|people|You may move between Process, Vision, Results, and People|You may recognise yourself in moving between several leadership routes rather than relying on only one. Process may appear first, but Vision, Results, and People can all become the right route when the situation changes.|This can make leadership feel easier because you have several usable routes into the work. It can become harder if you change route before others know which one matters now, so naming the current need becomes important.|active|leadership_approach::process_vision_results_people::balanced
leadership_approach|process_vision_people_results|concentrated|process|vision|people|results|You may be recognised for Process first|You may recognise yourself in the way you notice messy handovers, unclear steps, or avoidable rework before anything else. Others may experience more order, steadier standards, and a clearer path for others to follow, especially when the work needs someone to make the work easier to organise and repeat.|This can make leadership feel easier when Process gives others something clear to orient around. It can become harder when the structure keeps improving after the situation needs movement, direction, or a human conversation, so Vision, People, or Results may need to be invited earlier.|active|leadership_approach::process_vision_people_results::concentrated
