domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|application_1|1|Start by making the work discussable|Start by putting the task into words for another person. Name the question, explain the current state, and ask for the kind of response that would help.|social_exchange|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::application_1
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|application_2|2|Use focus after the exchange|Use Deep Focus to process what the conversation revealed. Then bring in Creative Movement to find a better route, example, or explanation if the first version is too narrow.|deep_focus|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::application_2
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|application_3|3|Change state before more input|When response and thought start to crowd the work, bring in Physical Rhythm. Move, change setting, or work in a short cycle before asking for more feedback.|physical_rhythm|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::application_3
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|application_1|1|Open with a clear exchange|Start by using conversation to clarify what the task needs. Ask one focused question and listen for what becomes clearer in the response.|social_exchange|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::application_1
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|application_2|2|Give the response time to settle|Use Deep Focus to work through the useful part of the exchange. Then bring in Physical Rhythm to turn the insight into a practical next step.|deep_focus|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::application_2
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|application_3|3|Invite a different option|When the discussed answer feels too fixed, bring in Creative Movement. Try a different frame, route, or explanation before you treat the response as final.|creative_movement|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::application_3
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|application_1|1|Use response to get started|Start by saying the idea aloud, asking a question, or using a quick conversation to expose what the work needs. Keep the exchange focused on the next decision.|social_exchange|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::application_1
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|application_2|2|Shape options while they are live|Bring in Creative Movement during the exchange. Try another example, route, or wording, then use Deep Focus to develop the option that still makes sense afterwards.|creative_movement|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::application_2
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|application_3|3|Use rhythm to clear the process|When conversation and ideas start to run hot, bring in Physical Rhythm. Step away, move, or change setting before you return to the strongest option.|physical_rhythm|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::application_3
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|application_1|1|Start with a live sense-check|Start by sharing the rough idea or question early enough for it to change. Ask what is clear, what is missing, and what the next step should serve.|social_exchange|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::application_1
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|application_2|2|Turn response into movement|Use Creative Movement to improve the idea from the response, then bring in Physical Rhythm to make the next action concrete. Keep one change visible.|creative_movement|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::application_2
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|application_3|3|Add depth before final decisions|When the work stays social, active, and full of options, bring in Deep Focus. Take one quiet block to decide what actually holds together.|deep_focus|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::application_3
flow_state|social_exchange_physical_rhythm_deep_focus_creative_movement|application_1|1|Begin with shared clarity|Start by talking through the work in a way that produces a clear next move. Use a short conversation, demonstration, or question to reveal what matters.|social_exchange|active|flow_state::social_exchange_physical_rhythm_deep_focus_creative_movement::application_1
flow_state|social_exchange_physical_rhythm_deep_focus_creative_movement|application_2|2|Make the exchange practical|Use Physical Rhythm to keep the conversation connected to action. Walk through the issue, mark the next step, then use Deep Focus to work through the important detail.|physical_rhythm|active|flow_state::social_exchange_physical_rhythm_deep_focus_creative_movement::application_2
flow_state|social_exchange_physical_rhythm_deep_focus_creative_movement|application_3|3|Bring in another frame|When shared momentum becomes too practical or settled, bring in Creative Movement. Try a different route or explanation before the group moves on.|creative_movement|active|flow_state::social_exchange_physical_rhythm_deep_focus_creative_movement::application_3
flow_state|social_exchange_physical_rhythm_creative_movement_deep_focus|application_1|1|Use exchange to find direction|Start by asking the question that will make the work clearer. A short discussion, spoken explanation, or live response can reveal the next move.|social_exchange|active|flow_state::social_exchange_physical_rhythm_creative_movement_deep_focus::application_1
flow_state|social_exchange_physical_rhythm_creative_movement_deep_focus|application_2|2|Keep response tied to action|Bring in Physical Rhythm so the exchange becomes practical. Then use Creative Movement to adjust the route if the first answer feels too obvious.|physical_rhythm|active|flow_state::social_exchange_physical_rhythm_creative_movement_deep_focus::application_2
flow_state|social_exchange_physical_rhythm_creative_movement_deep_focus|application_3|3|Give the final answer quiet attention|When the work keeps moving through people, action, and ideas, bring in Deep Focus. Work privately on the chosen direction until it is clear enough to stand.|deep_focus|active|flow_state::social_exchange_physical_rhythm_creative_movement_deep_focus::application_3
