domain_key|signal_key|signal_label|rank_position|rank_role|title|description|productive_expression|risk_pattern|development_note|status|lookup_key
leadership_approach|results|Results|1|dominant|Results as the starting point|Results is the leadership route you trust first when the work needs a clear outcome, decision, or next step. It gives your leadership a practical centre of gravity.|This helps people understand what matters now, who owns the next step, and how the work moves forward.|Watch for moving into action before the work has enough structure, future context, or shared confidence around it.|Name the outcome clearly, then check what needs to be organised, explained, or discussed before pace increases.|active|leadership_approach::results::1
leadership_approach|results|Results|2|secondary|Results as the strengthening route|Results strengthens your leadership by turning direction, structure, or people awareness into a clearer decision and next step.|This helps the main route become practical, owned, and easier to move forward.|Watch for using the push for progress to close down useful questions too early.|Use Results to convert the main route into action while leaving enough room for the information the decision still needs.|active|leadership_approach::results::2
leadership_approach|results|Results|3|tertiary|Results as added range|Results extends your leadership when the work needs firmer movement, clearer accountability, or a reset from too much discussion, planning, or framing.|This helps a wider leadership approach become a practical commitment people can act on.|Watch for waiting until uncertainty has already slowed confidence or ownership.|Ask what decision, owner, or next step helps the work move without losing its wider context.|active|leadership_approach::results::3
leadership_approach|results|Results|4|least_expressed|Results as deliberate range|Results gives your leadership deliberate range when trust, structure, or direction is present but the outcome and ownership still need to be named.|This helps leadership move from good intent into decisions, accountability, and follow-through.|Watch for staying with conversation, structure, or future framing after the work needs a concrete decision.|Add Results when the next useful act is to decide, assign ownership, or make progress measurable.|active|leadership_approach::results::4
leadership_approach|process|Process|1|dominant|Process as the starting point|Process is the leadership route you trust first when the work needs structure, sequence, and repeatable standards. It gives your leadership a dependable way to organise effort.|This helps people act with more confidence because the path, expectations, and handovers are easier to see.|Watch for improving the structure after the situation already needs a decision, a future frame, or direct people contact.|Set the working method early, then check when the structure is ready enough for movement.|active|leadership_approach::process::1
leadership_approach|process|Process|2|secondary|Process as the organising support|Process strengthens your leadership by giving the first route sequence, standards, and a reliable way for others to follow through.|This helps energy, direction, or trust become coordinated work instead of leaving people to interpret it differently.|Watch for adding more detail than the work needs before people can act.|Use Process to make the main route dependable, then keep only the structure that improves clarity and handover.|active|leadership_approach::process::2
leadership_approach|process|Process|3|tertiary|Process as added range|Process extends your leadership when the work needs steadier coordination, fewer gaps, or a clearer route through complexity.|This helps reduce rework and makes the next stage easier for other people to trust.|Watch for waiting until confusion, repeated questions, or uneven standards have already appeared.|Bring Process in when people need clearer steps, shared standards, or a more dependable way of working.|active|leadership_approach::process::3
leadership_approach|process|Process|4|least_expressed|Process as deliberate range|Process gives your leadership deliberate range when the main approach has energy, meaning, or trust but the work needs a clearer sequence to hold together.|This helps good leadership intent become repeatable, coordinated, and easier to hand over.|Watch for relying on momentum, future direction, or relationships after the work needs firmer method.|Add Process when the next useful act is to clarify steps, define standards, or make responsibilities easier to follow.|active|leadership_approach::process::4
leadership_approach|vision|Vision|1|dominant|Vision as the starting point|Vision is the leadership route you trust first when the work needs longer-range direction, future context, and wider meaning. It gives your leadership a clear sense of what the work is moving towards.|This helps people understand why the work matters and how immediate choices connect to a wider direction.|Watch for staying with the bigger picture after the situation needs ownership, structure, or a closer people conversation.|Frame the direction clearly, then check what decision, method, or communication will make it usable now.|active|leadership_approach::vision::1
leadership_approach|vision|Vision|2|secondary|Vision as the directional support|Vision strengthens your leadership by connecting decisions, structures, or people concerns to a wider direction.|This helps the main route avoid becoming too short-term, mechanical, or reactive.|Watch for opening new possibilities when the work already needs a simpler choice or clearer next step.|Use Vision to explain why the work matters, then return to what people need to do next.|active|leadership_approach::vision::2
leadership_approach|vision|Vision|3|tertiary|Vision as added range|Vision extends your leadership when the work needs perspective, a stronger reason, or a better frame for the choices being made.|This helps lift the conversation out of immediate pressure without losing sight of practical action.|Watch for adding future context so late that people have already settled for a narrow or short-term answer.|Bring Vision in when the work needs to ask what this decision makes possible or what consequence it creates later.|active|leadership_approach::vision::3
leadership_approach|vision|Vision|4|least_expressed|Vision as deliberate range|Vision gives your leadership deliberate range when delivery, structure, or people needs are being handled but the wider direction is not clear enough.|This helps the work feel less reactive and gives people a stronger reason for the choices being made.|Watch for staying close to the immediate task after the work needs meaning, future consequence, or a better option.|Add Vision when the next useful act is to explain why the work matters or what it is meant to lead towards.|active|leadership_approach::vision::4
leadership_approach|people|People|1|dominant|People as the starting point|People is the leadership route you trust first when the work needs trust, communication, confidence, and shared understanding. It keeps your leadership close to how people experience the work.|This helps leadership land well because people feel considered, informed, and more able to commit.|Watch for staying with consultation or accommodation after the situation needs a clearer decision, structure, or future frame.|Start with the people impact, then check what needs to be decided, organised, or explained so trust can turn into movement.|active|leadership_approach::people::1
leadership_approach|people|People|2|secondary|People as the relationship support|People strengthens your leadership by keeping trust, communication, and human impact visible around the first route.|This helps outcomes, structures, or future direction land in a way people can understand and support.|Watch for softening the message so much that the decision, standard, or direction becomes less clear.|Use People to improve communication and commitment while still naming what the work requires.|active|leadership_approach::people::2
leadership_approach|people|People|3|tertiary|People as added range|People extends your leadership when the work needs better buy-in, clearer communication, or more attention to how decisions are landing.|This helps you notice whether people understand the direction, trust the process, and know how to contribute.|Watch for checking people impact only after confidence or commitment has already dropped.|Bring People in when the work needs a conversation, a clearer explanation, or a stronger sense of shared commitment.|active|leadership_approach::people::3
leadership_approach|people|People|4|least_expressed|People as deliberate range|People gives your leadership deliberate range when direction, structure, or movement is present but people need more trust, context, or involvement to come with it.|This helps progress become more sustainable because people understand the work and their part in it.|Watch for relying on the plan, outcome, or future frame after the work needs a human check-in.|Add People when the next useful act is to communicate, listen, include, or develop commitment around the work.|active|leadership_approach::people::4
