domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|concentrated|creative_movement|deep_focus|physical_rhythm|social_exchange|Why ideas need somewhere to land|This pattern works by letting ideas open the work before narrowing them into something usable. Deep Focus gives the strongest idea substance, Physical Rhythm clears clutter, and Social Exchange tests whether the result lands.|It may show up because new angles make the work feel possible when a fixed path feels too narrow. The person may trust movement of thought before they trust a settled plan.|It protects originality, flexibility, and a lively way into stuck work. The trade-off is that choosing, testing, or finishing may come later than the work needs.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::concentrated
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|paired|creative_movement|deep_focus|physical_rhythm|social_exchange|Why ideas and focus repeat together|This pattern works through a close link between possibility and attention. Creative Movement opens routes, while Deep Focus gives the best route enough time, care, and weight.|It may show up because the person needs room to explore, but does not want the idea to stay loose. The pair makes the work feel both fresh and substantial.|It protects original work that can hold together. The trade-off is that the person may keep moving between new angles and deeper thought after the work needs a reset or response.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::paired
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|graduated|creative_movement|deep_focus|physical_rhythm|social_exchange|Why the order moves from ideas to testing|This pattern works as a sequence. Creative Movement opens possibilities, Deep Focus develops the strongest one, Physical Rhythm clears mental clutter, and Social Exchange tests the idea outside the person's own process.|It may show up because the person often trusts the work once it has first been allowed to move. Focus then gives the idea a base before reset and feedback have a clearer job.|It protects possibility that can become useful work. The trade-off is that outside testing may wait until the idea has already been developed privately.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::graduated
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|balanced|creative_movement|deep_focus|physical_rhythm|social_exchange|Why several routes can support an idea|This pattern works by offering several usable ways into flow, with Creative Movement only lightly first. Ideas, focus, movement, and conversation may each matter depending on the task.|It may show up because some work needs a fresh angle, some needs quiet attention, some needs a reset, and some needs another person to test the point.|It protects flexibility around original work. The trade-off is that the person may keep changing conditions instead of giving the right route enough time to make the idea clearer.|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::balanced
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|concentrated|creative_movement|deep_focus|social_exchange|physical_rhythm|Why ideas need depth and response|This pattern works by opening the work through possibilities, then giving the strongest idea substance and a useful test. Physical Rhythm may need deliberate use when the process becomes too mental.|It may show up because the person trusts ideas as the way in, but wants the idea to become clear enough to explain. Focus and exchange help turn possibility into something other people can understand.|It protects originality that can be translated. The trade-off is that physical reset may be delayed until the mind is already crowded or tired.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::concentrated
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|paired|creative_movement|deep_focus|social_exchange|physical_rhythm|Why ideas need a thinking base|This pattern works through a close mechanism of exploration and concentration. Creative Movement creates options, while Deep Focus helps the strongest one become more than an interesting start.|It may show up because the person trusts new angles, but also needs enough attention to choose what has real weight. Social Exchange then helps test or translate the work.|It protects fresh thinking with substance. The trade-off is that movement or a change of state may be used late, after another round of thinking or talking.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::paired
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|graduated|creative_movement|deep_focus|social_exchange|physical_rhythm|Why the work opens, deepens, then explains|This pattern works through a clear progression. Creative Movement opens the route, Deep Focus gives it weight, Social Exchange tests whether it makes sense, and Physical Rhythm offers a later reset.|It may show up because the person often needs to explore before they narrow. Once the idea has enough substance, another person's response helps show what is clear and useful.|It protects ideas that can become understandable work. The trade-off is that the body or setting may be asked to reset the process only after the mind has done too much.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::graduated
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|balanced|creative_movement|deep_focus|social_exchange|physical_rhythm|Why ideas, focus, and response stay close|This pattern works with several close routes. Creative Movement, Deep Focus, and Social Exchange may all help the work become clear, while Physical Rhythm remains useful when the process needs a change of state.|It may show up because some tasks need possibility, some need quiet development, and some need another person to test the point. The ranking should be read lightly.|It protects adaptable idea development. The trade-off is that reset may be treated as optional even when movement would reduce clutter and make the pattern easier to use.|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::balanced
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|concentrated|creative_movement|physical_rhythm|deep_focus|social_exchange|Why movement keeps ideas alive|This pattern works by using ideas and movement together to create energy. Physical Rhythm keeps possibilities active, Deep Focus gives the best idea substance, and Social Exchange tests the result.|It may show up because the person finds new angles through pace, action, walking, making, or changing state. A fixed desk-bound route may feel too narrow at the start.|It protects energy, possibility, and practical momentum. The trade-off is that careful focus or outside testing may arrive after the idea has already gathered speed.|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::concentrated
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|paired|creative_movement|physical_rhythm|deep_focus|social_exchange|Why ideas move through action|This pattern works through a close link between idea movement and physical rhythm. Creative Movement opens possibilities, while Physical Rhythm gives those possibilities pace, state change, and practical motion.|It may show up because the person often thinks better when the work is not only happening in the head. Movement can keep options from becoming tangled or static.|It protects active originality. The trade-off is that the strongest idea may need deliberate focus before it is tested or finished.|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::paired
