domain_key|pattern_key|pattern_label|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|status
decision_style|evidence_judgement_standards_practicality|Evidence > Judgement > Standards > Practicality|evidence|judgement|standards|practicality|draft
decision_style|evidence_judgement_practicality_standards|Evidence > Judgement > Practicality > Standards|evidence|judgement|practicality|standards|draft
decision_style|evidence_standards_judgement_practicality|Evidence > Standards > Judgement > Practicality|evidence|standards|judgement|practicality|draft
decision_style|evidence_standards_practicality_judgement|Evidence > Standards > Practicality > Judgement|evidence|standards|practicality|judgement|draft
decision_style|evidence_practicality_judgement_standards|Evidence > Practicality > Judgement > Standards|evidence|practicality|judgement|standards|draft
decision_style|evidence_practicality_standards_judgement|Evidence > Practicality > Standards > Judgement|evidence|practicality|standards|judgement|draft
decision_style|judgement_evidence_standards_practicality|Judgement > Evidence > Standards > Practicality|judgement|evidence|standards|practicality|draft
decision_style|judgement_evidence_practicality_standards|Judgement > Evidence > Practicality > Standards|judgement|evidence|practicality|standards|draft
decision_style|judgement_standards_evidence_practicality|Judgement > Standards > Evidence > Practicality|judgement|standards|evidence|practicality|draft
decision_style|judgement_standards_practicality_evidence|Judgement > Standards > Practicality > Evidence|judgement|standards|practicality|evidence|draft
decision_style|judgement_practicality_evidence_standards|Judgement > Practicality > Evidence > Standards|judgement|practicality|evidence|standards|draft
decision_style|judgement_practicality_standards_evidence|Judgement > Practicality > Standards > Evidence|judgement|practicality|standards|evidence|draft
decision_style|standards_evidence_judgement_practicality|Standards > Evidence > Judgement > Practicality|standards|evidence|judgement|practicality|draft
decision_style|standards_evidence_practicality_judgement|Standards > Evidence > Practicality > Judgement|standards|evidence|practicality|judgement|draft
decision_style|standards_judgement_evidence_practicality|Standards > Judgement > Evidence > Practicality|standards|judgement|evidence|practicality|draft
decision_style|standards_judgement_practicality_evidence|Standards > Judgement > Practicality > Evidence|standards|judgement|practicality|evidence|draft
decision_style|standards_practicality_evidence_judgement|Standards > Practicality > Evidence > Judgement|standards|practicality|evidence|judgement|draft
decision_style|standards_practicality_judgement_evidence|Standards > Practicality > Judgement > Evidence|standards|practicality|judgement|evidence|draft
decision_style|practicality_evidence_judgement_standards|Practicality > Evidence > Judgement > Standards|practicality|evidence|judgement|standards|draft
decision_style|practicality_evidence_standards_judgement|Practicality > Evidence > Standards > Judgement|practicality|evidence|standards|judgement|draft
decision_style|practicality_judgement_evidence_standards|Practicality > Judgement > Evidence > Standards|practicality|judgement|evidence|standards|draft
decision_style|practicality_judgement_standards_evidence|Practicality > Judgement > Standards > Evidence|practicality|judgement|standards|evidence|draft
decision_style|practicality_standards_evidence_judgement|Practicality > Standards > Evidence > Judgement|practicality|standards|evidence|judgement|draft
decision_style|practicality_standards_judgement_evidence|Practicality > Standards > Judgement > Evidence|practicality|standards|judgement|evidence|draft
