domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
leadership_approach|results_process_vision_people|application_1|1|Start with the outcome and owner|Start by naming the outcome, the decision needed, and who owns the next step. Put this into one clear sentence before the meeting or task moves on, then state what visible progress should exist by the end of the day.|results|active|leadership_approach::results_process_vision_people::application_1
leadership_approach|results_process_vision_people|application_2|2|Stabilise with Process, then add Vision|Before you move on, use Process to turn intent into steps, responsibilities, and a cleaner handover. Then bring in Vision to connect the immediate task to the reason, consequence, or better option. This gives the work a stronger middle step before you rely on the full pattern.|process|active|leadership_approach::results_process_vision_people::application_2
leadership_approach|results_process_vision_people|application_3|3|Bring in People when the work tightens|When the work starts to narrow, bring in People deliberately. In practice, speak with the people most affected and clarify what they need to know, trust, or contribute. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|people|active|leadership_approach::results_process_vision_people::application_3
leadership_approach|results_process_people_vision|application_1|1|Start with the outcome and owner|Start by naming the outcome, the decision needed, and who owns the next step. Put this into one clear sentence before the meeting or task moves on, then state what visible progress should exist by the end of the day.|results|active|leadership_approach::results_process_people_vision::application_1
leadership_approach|results_process_people_vision|application_2|2|Stabilise with Process, then add People|Before you move on, use Process to turn intent into steps, responsibilities, and a cleaner handover. Then bring in People to check how the decision is landing and what communication will support commitment. This gives the work a stronger middle step before you rely on the full pattern.|process|active|leadership_approach::results_process_people_vision::application_2
leadership_approach|results_process_people_vision|application_3|3|Bring in Vision when the work tightens|When the work starts to narrow, bring in Vision deliberately. In practice, name what the work is meant to lead towards and why that matters. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|vision|active|leadership_approach::results_process_people_vision::application_3
leadership_approach|results_vision_process_people|application_1|1|Start with the outcome and owner|Start by naming the outcome, the decision needed, and who owns the next step. Put this into one clear sentence before the meeting or task moves on, then state what visible progress should exist by the end of the day.|results|active|leadership_approach::results_vision_process_people::application_1
leadership_approach|results_vision_process_people|application_2|2|Stabilise with Vision, then add Process|Before you move on, use Vision to connect the immediate task to the reason, consequence, or better option. Then bring in Process to turn intent into steps, responsibilities, and a cleaner handover. This gives the work a stronger middle step before you rely on the full pattern.|vision|active|leadership_approach::results_vision_process_people::application_2
leadership_approach|results_vision_process_people|application_3|3|Bring in People when the work tightens|When the work starts to narrow, bring in People deliberately. In practice, speak with the people most affected and clarify what they need to know, trust, or contribute. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|people|active|leadership_approach::results_vision_process_people::application_3
leadership_approach|results_vision_people_process|application_1|1|Start with the outcome and owner|Start by naming the outcome, the decision needed, and who owns the next step. Put this into one clear sentence before the meeting or task moves on, then state what visible progress should exist by the end of the day.|results|active|leadership_approach::results_vision_people_process::application_1
leadership_approach|results_vision_people_process|application_2|2|Stabilise with Vision, then add People|Before you move on, use Vision to connect the immediate task to the reason, consequence, or better option. Then bring in People to check how the decision is landing and what communication will support commitment. This gives the work a stronger middle step before you rely on the full pattern.|vision|active|leadership_approach::results_vision_people_process::application_2
leadership_approach|results_vision_people_process|application_3|3|Bring in Process when the work tightens|When the work starts to narrow, bring in Process deliberately. In practice, write down the steps, standards, or handovers that need to be clearer. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|process|active|leadership_approach::results_vision_people_process::application_3
leadership_approach|results_people_process_vision|application_1|1|Start with the outcome and owner|Start by naming the outcome, the decision needed, and who owns the next step. Put this into one clear sentence before the meeting or task moves on, then state what visible progress should exist by the end of the day.|results|active|leadership_approach::results_people_process_vision::application_1
leadership_approach|results_people_process_vision|application_2|2|Stabilise with People, then add Process|Before you move on, use People to check how the decision is landing and what communication will support commitment. Then bring in Process to turn intent into steps, responsibilities, and a cleaner handover. This gives the work a stronger middle step before you rely on the full pattern.|people|active|leadership_approach::results_people_process_vision::application_2
leadership_approach|results_people_process_vision|application_3|3|Bring in Vision when the work tightens|When the work starts to narrow, bring in Vision deliberately. In practice, name what the work is meant to lead towards and why that matters. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|vision|active|leadership_approach::results_people_process_vision::application_3
leadership_approach|results_people_vision_process|application_1|1|Start with the outcome and owner|Start by naming the outcome, the decision needed, and who owns the next step. Put this into one clear sentence before the meeting or task moves on, then state what visible progress should exist by the end of the day.|results|active|leadership_approach::results_people_vision_process::application_1
leadership_approach|results_people_vision_process|application_2|2|Stabilise with People, then add Vision|Before you move on, use People to check how the decision is landing and what communication will support commitment. Then bring in Vision to connect the immediate task to the reason, consequence, or better option. This gives the work a stronger middle step before you rely on the full pattern.|people|active|leadership_approach::results_people_vision_process::application_2
leadership_approach|results_people_vision_process|application_3|3|Bring in Process when the work tightens|When the work starts to narrow, bring in Process deliberately. In practice, write down the steps, standards, or handovers that need to be clearer. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|process|active|leadership_approach::results_people_vision_process::application_3
