domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|application_1|1|Start by changing state|Start by using movement, pace, or environment to enter the work. Set up the physical conditions first, then begin the task while attention is easier to access.|physical_rhythm|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::application_1
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|application_2|2|Turn momentum into depth|Use Deep Focus once the work is moving. Pick the hardest part, stay with it for a short protected block, then let Creative Movement open one better route if needed.|deep_focus|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::application_2
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|application_3|3|Bring in a response point|When steady work starts to narrow, bring in Social Exchange. Show the current result and ask what is clear enough to use now.|social_exchange|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::application_3
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|application_1|1|Use rhythm as the entry point|Start by creating a physical route into the task. Walk first, change rooms, set a timer, or begin with a practical action that makes the work less static.|physical_rhythm|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::application_1
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|application_2|2|Stabilise with focus and feedback|Use Deep Focus to work through the serious part, then bring in Social Exchange to check whether the result is understandable. Keep both steps bounded.|deep_focus|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::application_2
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|application_3|3|Add a fresh route before closing|When the work becomes practical but too fixed, bring in Creative Movement. Try one alternative route or explanation before deciding the answer is finished.|creative_movement|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::application_3
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|application_1|1|Begin with action, not pressure|Start by doing something small that changes the state of the work. Move, set up materials, tidy the space, or make a quick first version.|physical_rhythm|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::application_1
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|application_2|2|Let movement open ideas|Use Creative Movement while the work has momentum. Try a different format, example, or sequence, then use Deep Focus to develop the route that holds up.|creative_movement|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::application_2
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|application_3|3|Check the result with someone else|When action and ideas start to narrow, bring in Social Exchange. Explain the current direction and ask what someone would need in order to use it.|social_exchange|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::application_3
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|application_1|1|Get the task into motion|Start by changing pace or setting so the task feels enterable. Use one practical action to create momentum before you try to solve the whole thing.|physical_rhythm|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::application_1
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|application_2|2|Use ideas and response while flexible|Bring in Creative Movement to find a workable route, then use Social Exchange to see what lands. Keep the work loose enough to change.|creative_movement|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::application_2
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|application_3|3|Make time for careful finishing|When the pattern stays active and responsive, bring in Deep Focus. Set aside one quiet block to finish the hard thinking and make the result hold together.|deep_focus|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::application_3
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|application_1|1|Start with a practical shift|Start by changing the physical conditions around the work. Move, set a work rhythm, or begin with a hands-on step that makes the next action clearer.|physical_rhythm|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::application_1
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|application_2|2|Use exchange to organise momentum|Bring in Social Exchange to turn activity into shared clarity. Talk through the next step, demonstrate the issue, then use Deep Focus to work through the important detail.|social_exchange|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::application_2
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|application_3|3|Add one different angle|When practical progress starts to narrow, bring in Creative Movement. Ask what route, example, or format would make the work clearer or less fixed.|creative_movement|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::application_3
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|application_1|1|Move into the work deliberately|Start by using body state or environment as the way in. A walk, changed setting, or timed work cycle can make the task easier to approach.|physical_rhythm|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::application_1
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|application_2|2|Make the next step shared and clear|Use Social Exchange to clarify what the practical momentum is for. Then bring in Creative Movement to improve the route before it becomes too fixed.|social_exchange|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::application_2
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|application_3|3|Hold one demanding part still|When action, response, and ideas keep moving, bring in Deep Focus. Choose one important part and give it enough quiet attention to reach a clear answer.|deep_focus|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::application_3
