domain_key|signal_key|signal_label|rank_position|rank_role|title|description|productive_expression|risk_pattern|development_note|status|lookup_key
flow-state|deep_focus|Deep Focus|1|dominant|Deep Focus as the starting point|Deep Focus is where this pattern usually begins. Flow is most likely when you have protected time for one demanding problem.|This can help you give the work attention, care, judgement, and enough substance to finish well.|The risk is trying to solve everything by thinking harder after the work needs feedback, movement, or a decision.|Protect a focused block, then set a clear point to test or decide.|active|flow-state::deep_focus::1
flow-state|deep_focus|Deep Focus|2|secondary|Deep Focus as the source of depth|Deep Focus helps the first signal become more useful by adding attention, care, and patience with complexity.|This can help you slow the work enough to notice what matters and improve the strongest direction.|The risk is delaying input because the work still feels unfinished in your own mind.|Use focus to strengthen the work, then share it before it becomes too fixed.|active|flow-state::deep_focus::2
flow-state|deep_focus|Deep Focus|3|tertiary|Deep Focus as useful support|Deep Focus can support the pattern when the work needs more care, review, or time with one important problem.|This can help you move from activity, ideas, or conversation into a more considered next step.|The risk is bringing focus in so late that the work has already become scattered or reactive.|Choose one part of the work that needs full attention and stay with it for a short, protected stretch.|active|flow-state::deep_focus::3
flow-state|deep_focus|Deep Focus|4|least_expressed|Deep Focus as deliberate range|Deep Focus may not be your first way into flow, but it can add useful range when the work needs depth, finishing, or careful judgement.|This can help you stay with complexity instead of moving on before the work is clear enough.|The risk is relying on motion, ideas, or exchange after the work needs quiet attention.|Add a small focused block when the work needs review, completion, or a harder question answered.|active|flow-state::deep_focus::4
flow-state|creative_movement|Creative Movement|1|dominant|Creative Movement as the starting point|Creative Movement is where this pattern usually begins. Flow is most likely when ideas can move, connect, and find a less obvious route.|This can help you reframe stuck work, generate original options, and bring life to something too fixed.|The risk is opening more possibilities after the work needs a clearer choice or finished version.|Give ideas room early, then choose the direction worth developing.|active|flow-state::creative_movement::1
flow-state|creative_movement|Creative Movement|2|secondary|Creative Movement as the source of range|Creative Movement helps the first signal become more useful by adding new angles, expression, and flexibility.|This can help the work avoid becoming narrow, flat, or over-controlled.|The risk is adding novelty after clarity is already needed.|Use new angles to improve the work, then return to the clearest next decision.|active|flow-state::creative_movement::2
flow-state|creative_movement|Creative Movement|3|tertiary|Creative Movement as useful support|Creative Movement can support the pattern when the work feels stuck, too rigid, or short of a better angle.|This can help you refresh progress without abandoning the main route.|The risk is using another idea to avoid choosing, simplifying, or finishing.|Open one new angle, then decide whether it genuinely improves the work.|active|flow-state::creative_movement::3
flow-state|creative_movement|Creative Movement|4|least_expressed|Creative Movement as deliberate range|Creative Movement may not be your first way into flow, but it can add useful range when the work needs originality or a different route.|This can help you loosen a fixed plan, test a fresh angle, or make the work more personal and usable.|The risk is staying with the obvious route after the work needs more possibility.|Invite one alternative before you settle the plan, especially when the work feels flat.|active|flow-state::creative_movement::4
flow-state|physical_rhythm|Physical Rhythm|1|dominant|Physical Rhythm as the starting point|Physical Rhythm is where this pattern usually begins. Flow is most likely when movement, pace, routine, or physical action helps attention switch on.|This can help you access energy, reset pressure, and build practical momentum.|The risk is staying in motion after the work needs stillness, review, feedback, or a decision.|Use movement to enter the work, then pause long enough to choose what matters next.|active|flow-state::physical_rhythm::1
flow-state|physical_rhythm|Physical Rhythm|2|secondary|Physical Rhythm as the source of momentum|Physical Rhythm helps the first signal become more useful by adding pace, state change, and practical movement.|This can help you keep attention available when the work would otherwise feel heavy or stuck.|The risk is using activity to avoid the pause where progress needs to be checked.|Build in a pause point so movement can turn into clearer action.|active|flow-state::physical_rhythm::2
flow-state|physical_rhythm|Physical Rhythm|3|tertiary|Physical Rhythm as useful support|Physical Rhythm can support the pattern when attention becomes static, crowded, or too mental.|This can help you reset your state and return to the work without forcing it.|The risk is missing physical cues until the work has already become tense or circular.|Use movement, pace, or a change of setting as soon as stuckness starts to build.|active|flow-state::physical_rhythm::3
flow-state|physical_rhythm|Physical Rhythm|4|least_expressed|Physical Rhythm as deliberate range|Physical Rhythm may not be your first way into flow, but it can add useful range when the work needs energy, reset, or practical re-entry.|This can help you change state instead of trying to solve everything in your head or through discussion.|The risk is waiting too long to move, rest, or adjust the conditions around the work.|Add a short physical reset when attention feels heavy, tense, or blocked.|active|flow-state::physical_rhythm::4
flow-state|social_exchange|Social Exchange|1|dominant|Social Exchange as the starting point|Social Exchange is where this pattern usually begins. Flow is most likely when conversation, feedback, teaching, or shared problem-solving gives the work live contact.|This can help you test clarity, create shared meaning, and build momentum through response.|The risk is continuing to talk or respond after the work needs quiet focus, recovery, or a decision.|Use exchange to open the work, then step back to capture what matters.|active|flow-state::social_exchange::1
flow-state|social_exchange|Social Exchange|2|secondary|Social Exchange as the source of testing|Social Exchange helps the first signal become more useful by adding response, feedback, and another view.|This can help you check whether the work is clear, relevant, and understandable beyond your own process.|The risk is keeping the exchange going after it has already given you enough information to choose.|Ask for the response you need, then use it to make the next decision.|active|flow-state::social_exchange::2
flow-state|social_exchange|Social Exchange|3|tertiary|Social Exchange as useful support|Social Exchange can support the pattern when the work needs outside testing, translation, or shared sense-making.|This can help you find gaps that private work, motion, or idea generation may miss.|The risk is bringing people in only after the work has become harder to change.|Invite one useful response while the work is still flexible.|active|flow-state::social_exchange::3
flow-state|social_exchange|Social Exchange|4|least_expressed|Social Exchange as deliberate range|Social Exchange may not be your first way into flow, but it can add useful range when the work needs feedback, challenge, or translation to others.|This can help you check whether the result lands outside your own view.|The risk is relying on your own process after the work needs another person to test it.|Bring in one well-chosen person when the work needs clarity, relevance, or a reality check.|active|flow-state::social_exchange::4
