domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
leadership-approach|results_process_vision_people|concentrated|results|process|vision|people|Results at the centre|This pattern can make leadership feel clear because Results gives the response a strong centre: turning pressure into visible progress and accountable next steps. Process and Vision add range without removing that first point of focus.|It can become too narrow when progress is pushed before enough context, trust, or structure is in place. People is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that movement needs a clear outcome and a named next step, but it still needs clearer communication, inclusion, and shared commitment when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting outcomes, decisions, ownership, and follow-through. At its best, it gives people a clear way into the work while still leaving room for Process, Vision, and People to complete the picture.|active|leadership-approach::results_process_vision_people::concentrated
leadership-approach|results_process_vision_people|paired|results|process|vision|people|Results and Process in close partnership|This pattern can make leadership feel credible because Results and Process work as a close pair. Together they connect outcomes, decisions, ownership, and follow-through with clarity, sequencing, standards, and dependable structure.|It can become too narrow when the top pair takes most of the attention and Vision or People arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Results and Process are most useful when they leave space for clearer communication, inclusion, and shared commitment.|The overall pattern is a two-signal leadership centre with Results and Process doing much of the early interpretive work. Vision can broaden the response, while People may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::results_process_vision_people::paired
leadership-approach|results_process_vision_people|graduated|results|process|vision|people|Results through to People|This pattern can make leadership feel coherent because the order gives a clear sequence: Results first, then Process, then Vision, with People added deliberately when needed.|It can become too narrow when the early signals settle the work before People has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; clearer communication, inclusion, and shared commitment may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from outcomes, decisions, ownership, and follow-through towards direction, framing, possibility, meaning, and future consequence, while People gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::results_process_vision_people::graduated
leadership-approach|results_process_vision_people|balanced|results|process|vision|people|A flexible Results, Process, Vision, and People pattern|This pattern can make leadership feel adaptable because several routes are available: Results, Process, Vision, and People. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs outcomes, decisions, ownership, and follow-through, clarity, sequencing, standards, and dependable structure, direction, framing, possibility, meaning, and future consequence, or trust, communication, inclusion, development, and relational judgement.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::results_process_vision_people::balanced
leadership-approach|results_process_people_vision|concentrated|results|process|people|vision|Results at the centre|This pattern can make leadership feel clear because Results gives the response a strong centre: turning pressure into visible progress and accountable next steps. Process and People add range without removing that first point of focus.|It can become too narrow when progress is pushed before enough context, trust, or structure is in place. Vision is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that movement needs a clear outcome and a named next step, but it still needs stronger direction, meaning, and future context when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting outcomes, decisions, ownership, and follow-through. At its best, it gives people a clear way into the work while still leaving room for Process, People, and Vision to complete the picture.|active|leadership-approach::results_process_people_vision::concentrated
leadership-approach|results_process_people_vision|paired|results|process|people|vision|Results and Process in close partnership|This pattern can make leadership feel credible because Results and Process work as a close pair. Together they connect outcomes, decisions, ownership, and follow-through with clarity, sequencing, standards, and dependable structure.|It can become too narrow when the top pair takes most of the attention and People or Vision arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Results and Process are most useful when they leave space for stronger direction, meaning, and future context.|The overall pattern is a two-signal leadership centre with Results and Process doing much of the early interpretive work. People can broaden the response, while Vision may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::results_process_people_vision::paired
leadership-approach|results_process_people_vision|graduated|results|process|people|vision|Results through to Vision|This pattern can make leadership feel coherent because the order gives a clear sequence: Results first, then Process, then People, with Vision added deliberately when needed.|It can become too narrow when the early signals settle the work before Vision has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; stronger direction, meaning, and future context may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from outcomes, decisions, ownership, and follow-through towards trust, communication, inclusion, development, and relational judgement, while Vision gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::results_process_people_vision::graduated
leadership-approach|results_process_people_vision|balanced|results|process|people|vision|A flexible Results, Process, People, and Vision pattern|This pattern can make leadership feel adaptable because several routes are available: Results, Process, People, and Vision. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs outcomes, decisions, ownership, and follow-through, clarity, sequencing, standards, and dependable structure, trust, communication, inclusion, development, and relational judgement, or direction, framing, possibility, meaning, and future consequence.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::results_process_people_vision::balanced
leadership-approach|results_vision_process_people|concentrated|results|vision|process|people|Results at the centre|This pattern can make leadership feel clear because Results gives the response a strong centre: turning pressure into visible progress and accountable next steps. Vision and Process add range without removing that first point of focus.|It can become too narrow when progress is pushed before enough context, trust, or structure is in place. People is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that movement needs a clear outcome and a named next step, but it still needs clearer communication, inclusion, and shared commitment when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting outcomes, decisions, ownership, and follow-through. At its best, it gives people a clear way into the work while still leaving room for Vision, Process, and People to complete the picture.|active|leadership-approach::results_vision_process_people::concentrated
leadership-approach|results_vision_process_people|paired|results|vision|process|people|Results and Vision in close partnership|This pattern can make leadership feel credible because Results and Vision work as a close pair. Together they connect outcomes, decisions, ownership, and follow-through with direction, framing, possibility, meaning, and future consequence.|It can become too narrow when the top pair takes most of the attention and Process or People arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Results and Vision are most useful when they leave space for clearer communication, inclusion, and shared commitment.|The overall pattern is a two-signal leadership centre with Results and Vision doing much of the early interpretive work. Process can broaden the response, while People may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::results_vision_process_people::paired
