domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
leadership-approach|process_results_vision_people|narrowing_1|1|When the method keeps absorbing attention|Process can narrow when the way of working keeps being refined after there is enough clarity to act. The work may feel orderly, but the next decision, future reason, or people conversation can wait too long.|people|active|leadership-approach::process_results_vision_people::narrowing_1
leadership-approach|process_results_vision_people|narrowing_2|2|When Process and Results take most of the space|Process and Results can narrow together when the combination of sequence, standards, and dependable handover with decision, ownership, and follow-through answers the first questions too quickly. The pattern may look productive, but it can leave less room for a stronger future frame and reason for the work or clearer communication, inclusion, and relational judgement until the work is harder to adjust.|vision|active|leadership-approach::process_results_vision_people::narrowing_2
leadership-approach|process_results_vision_people|narrowing_3|3|Before People is added|Vision can add range before People is brought in deliberately, but the pattern may still narrow if People is left until later. The likely miss is progress that looks organised from the outside while commitment, confidence, or shared understanding needs more attention, especially when Process and Results already feel convincing.|people|active|leadership-approach::process_results_vision_people::narrowing_3
leadership-approach|process_results_people_vision|narrowing_1|1|When the method keeps absorbing attention|Process can narrow when the way of working keeps being refined after there is enough clarity to act. The work may feel orderly, but the next decision, future reason, or people conversation can wait too long.|vision|active|leadership-approach::process_results_people_vision::narrowing_1
leadership-approach|process_results_people_vision|narrowing_2|2|When Process and Results take most of the space|Process and Results can narrow together when the combination of sequence, standards, and dependable handover with decision, ownership, and follow-through answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer communication, inclusion, and relational judgement or a stronger future frame and reason for the work until the work is harder to adjust.|people|active|leadership-approach::process_results_people_vision::narrowing_2
leadership-approach|process_results_people_vision|narrowing_3|3|Before Vision is added|People can add range before Vision is brought in deliberately, but the pattern may still narrow if Vision is left until later. The likely miss is decisions that solve the immediate pressure but do not explain what the work is meant to lead towards, especially when Process and Results already feel convincing.|vision|active|leadership-approach::process_results_people_vision::narrowing_3
leadership-approach|process_vision_results_people|narrowing_1|1|When the method keeps absorbing attention|Process can narrow when the way of working keeps being refined after there is enough clarity to act. The work may feel orderly, but the next decision, future reason, or people conversation can wait too long.|people|active|leadership-approach::process_vision_results_people::narrowing_1
leadership-approach|process_vision_results_people|narrowing_2|2|When Process and Vision take most of the space|Process and Vision can narrow together when the combination of sequence, standards, and dependable handover with direction, meaning, and future consequence answers the first questions too quickly. The pattern may look productive, but it can leave less room for a firmer outcome, owner, or next decision or clearer communication, inclusion, and relational judgement until the work is harder to adjust.|results|active|leadership-approach::process_vision_results_people::narrowing_2
leadership-approach|process_vision_results_people|narrowing_3|3|Before People is added|Results can add range before People is brought in deliberately, but the pattern may still narrow if People is left until later. The likely miss is progress that looks organised from the outside while commitment, confidence, or shared understanding needs more attention, especially when Process and Vision already feel convincing.|people|active|leadership-approach::process_vision_results_people::narrowing_3
leadership-approach|process_vision_people_results|narrowing_1|1|When the method keeps absorbing attention|Process can narrow when the way of working keeps being refined after there is enough clarity to act. The work may feel orderly, but the next decision, future reason, or people conversation can wait too long.|results|active|leadership-approach::process_vision_people_results::narrowing_1
leadership-approach|process_vision_people_results|narrowing_2|2|When Process and Vision take most of the space|Process and Vision can narrow together when the combination of sequence, standards, and dependable handover with direction, meaning, and future consequence answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer communication, inclusion, and relational judgement or a firmer outcome, owner, or next decision until the work is harder to adjust.|people|active|leadership-approach::process_vision_people_results::narrowing_2
leadership-approach|process_vision_people_results|narrowing_3|3|Before Results is added|People can add range before Results is brought in deliberately, but the pattern may still narrow if Results is left until later. The likely miss is work that feels well discussed but does not yet have a named owner, outcome, or next move, especially when Process and Vision already feel convincing.|results|active|leadership-approach::process_vision_people_results::narrowing_3
leadership-approach|process_people_results_vision|narrowing_1|1|When the method keeps absorbing attention|Process can narrow when the way of working keeps being refined after there is enough clarity to act. The work may feel orderly, but the next decision, future reason, or people conversation can wait too long.|vision|active|leadership-approach::process_people_results_vision::narrowing_1
leadership-approach|process_people_results_vision|narrowing_2|2|When Process and People take most of the space|Process and People can narrow together when the combination of sequence, standards, and dependable handover with trust, communication, and shared commitment answers the first questions too quickly. The pattern may look productive, but it can leave less room for a firmer outcome, owner, or next decision or a stronger future frame and reason for the work until the work is harder to adjust.|results|active|leadership-approach::process_people_results_vision::narrowing_2
leadership-approach|process_people_results_vision|narrowing_3|3|Before Vision is added|Results can add range before Vision is brought in deliberately, but the pattern may still narrow if Vision is left until later. The likely miss is decisions that solve the immediate pressure but do not explain what the work is meant to lead towards, especially when Process and People already feel convincing.|vision|active|leadership-approach::process_people_results_vision::narrowing_3
leadership-approach|process_people_vision_results|narrowing_1|1|When the method keeps absorbing attention|Process can narrow when the way of working keeps being refined after there is enough clarity to act. The work may feel orderly, but the next decision, future reason, or people conversation can wait too long.|results|active|leadership-approach::process_people_vision_results::narrowing_1
leadership-approach|process_people_vision_results|narrowing_2|2|When Process and People take most of the space|Process and People can narrow together when the combination of sequence, standards, and dependable handover with trust, communication, and shared commitment answers the first questions too quickly. The pattern may look productive, but it can leave less room for a stronger future frame and reason for the work or a firmer outcome, owner, or next decision until the work is harder to adjust.|vision|active|leadership-approach::process_people_vision_results::narrowing_2
leadership-approach|process_people_vision_results|narrowing_3|3|Before Results is added|Vision can add range before Results is brought in deliberately, but the pattern may still narrow if Results is left until later. The likely miss is work that feels well discussed but does not yet have a named owner, outcome, or next move, especially when Process and People already feel convincing.|results|active|leadership-approach::process_people_vision_results::narrowing_3
