domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|concentrated|creative_movement|deep_focus|physical_rhythm|social_exchange|Possibility that becomes substantial|You can find fresh ways into work and give the strongest idea enough depth to matter.|You may keep opening angles after the work needs a choice or an outside test.|Choose the strongest idea sooner, then focus it before expanding again.|This result starts with idea movement. Deep Focus helps the best direction become more than an interesting start. Physical Rhythm clears clutter when too many options are active. Social Exchange checks whether the idea lands beyond your own view.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::concentrated
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|paired|creative_movement|deep_focus|physical_rhythm|social_exchange|Ideas with focused weight|You can create original work that has enough thought behind it to hold together.|You may keep moving between new angles and deeper thought after the work needs a decision.|Let the idea open, give it focus, then set a point to test or finish.|Creative Movement and Deep Focus are best read together here. Ideas give the work a way in, and focus gives the strongest one substance. Physical Rhythm helps clear the mental load when the pair starts to circle. Social Exchange tests whether the result is clear to another person.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::paired
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|graduated|creative_movement|deep_focus|physical_rhythm|social_exchange|Ideas, focus, reset, then response|You can move from possibility into depth, recovery, and external testing.|You may wait until the idea has travelled too far privately before finding out whether it lands.|Follow the sequence, but test the idea while it is still easy to improve.|This result works as an ordered chain. Creative Movement opens the work first. Deep Focus develops the strongest direction. Physical Rhythm clears clutter before the work gets crowded, and Social Exchange checks whether the idea makes sense outside your own process.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::graduated
flow_state|creative_movement_deep_focus_physical_rhythm_social_exchange|balanced|creative_movement|deep_focus|physical_rhythm|social_exchange|Flexible originality with depth available|You can choose between ideas, focus, movement, and response depending on what the work needs.|You may keep changing conditions before one direction has had enough time to become clear.|Pick the condition that helps the idea become clearer now, then stay with it long enough to learn.|Creative Movement appears first, but only lightly. Some tasks may need a fresh angle, some need quiet attention, some need a reset, and some need another person. The strength is flexible originality with depth available. The risk is variety without enough commitment to one next step.|active|flow_state::creative_movement_deep_focus_physical_rhythm_social_exchange::balanced
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|concentrated|creative_movement|deep_focus|social_exchange|physical_rhythm|Ideas that gain depth and response|You can open new possibilities and turn the best one into something others can understand.|You may stay in an idea-and-conversation loop after your state needs a reset.|Focus the best idea, test it clearly, then change state before the next round.|This result begins with a fresh angle. Deep Focus gives the idea weight and follow-through. Social Exchange tests or translates the work once it has enough substance. Physical Rhythm may need deliberate use when thinking and response become too mental.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::concentrated
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|paired|creative_movement|deep_focus|social_exchange|physical_rhythm|Fresh ideas with a thinking base|You can turn possibility into work with substance, care, and a clearer point.|You may refine and discuss the idea after the body or setting already needs a shift.|Give the strongest idea focused time, then test and reset before reopening it.|Creative Movement and Deep Focus form the close pair in this result. Ideas open the work, and focus helps choose what has real weight. Social Exchange shows what is clear or missing. Physical Rhythm is the reset that stops the work staying only in thought and talk.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::paired
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|graduated|creative_movement|deep_focus|social_exchange|physical_rhythm|Open, deepen, test, then reset|You can move an idea from possibility into substance and external clarity.|You may use ideas, focus, and exchange before noticing that a physical reset would help.|Let each step do its job, then reset before adding more thought or talk.|This result has a clear order. Creative Movement opens the work. Deep Focus gives the strongest idea enough attention. Social Exchange tests whether it can be explained or used by someone else. Physical Rhythm helps the work recover when it has become too mental or verbal.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::graduated
flow_state|creative_movement_deep_focus_social_exchange_physical_rhythm|balanced|creative_movement|deep_focus|social_exchange|physical_rhythm|Flexible ideas with clear checks|You can move between possibility, depth, response, and reset as the work changes.|You may treat physical reset as later support even when it would make the idea clearer now.|Ask whether the next step needs a new angle, focus, response, or a change of state.|Creative Movement is lightly first here, with Deep Focus and Social Exchange close enough to matter. Some work needs room for ideas. Some needs quiet development or a useful conversation. Physical Rhythm remains part of the set when the work needs space, pace, or recovery. The value is choosing the condition the idea needs now.|active|flow_state::creative_movement_deep_focus_social_exchange_physical_rhythm::balanced
flow_state|creative_movement_physical_rhythm_deep_focus_social_exchange|concentrated|creative_movement|physical_rhythm|deep_focus|social_exchange|Ideas with active energy|You can create momentum by letting ideas move through pace, action, or a change of state.|You may keep moving through options before giving the strongest idea enough focus or feedback.|Use movement to start, then slow down enough to choose and test.|This result starts through possibility and energy. Physical Rhythm keeps ideas from staying crowded in the head. Deep Focus gives the strongest direction substance once momentum is there. Social Exchange checks whether the result is clear beyond your own process.|active|flow_state::creative_movement_physical_rhythm_deep_focus_social_exchange::concentrated
flow_state|creative_movement_physical_rhythm_deep_focus_social_exchange|paired|creative_movement|physical_rhythm|deep_focus|social_exchange|Ideas that move through action|You can find fresh directions through movement, making, pacing, or practical engagement.|You may mistake active idea movement for progress after the work needs focus or testing.|Let action open the idea, then give one direction enough attention to hold.|Creative Movement and Physical Rhythm sit close together in this result. Ideas become easier when the work has motion, pace, or a rough version. Deep Focus helps the best idea become substantial. Social Exchange tests whether it makes sense to someone else.|active|flow_state::creative_movement_physical_rhythm_deep_focus_social_exchange::paired
