domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
leadership_approach|vision_results_process_people|concentrated|vision|results|process|people|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. Results and Process add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has a clear outcome and a decision people can act on, usable structure and a sequence people can trust, and communication, confidence, and shared commitment.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership_approach::vision_results_process_people::concentrated
leadership_approach|vision_results_process_people|paired|vision|results|process|people|How Vision and Results work together|Vision and Results tend to operate as a close working pair. Vision gives the first entry point, while Results quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and a clear outcome and a decision people can act on. Process can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and outcome and follow-through. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership_approach::vision_results_process_people::paired
leadership_approach|vision_results_process_people|graduated|vision|results|process|people|How the pattern moves from Vision to People|The pattern tends to move in steps: Vision starts the response, Results gives the next influence, Process adds support, and People may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from direction and future consequence towards structure and standards. The main watch point is leaving clearer communication, inclusion, and relational judgement until the work has already narrowed.|active|leadership_approach::vision_results_process_people::graduated
leadership_approach|vision_results_process_people|balanced|vision|results|process|people|How the pattern moves between Vision, Results, Process, and People|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for Results, Process, or People without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, outcome and follow-through, structure and standards, and trust and shared commitment. It needs a clear current priority so others can follow the shift.|active|leadership_approach::vision_results_process_people::balanced
leadership_approach|vision_results_people_process|concentrated|vision|results|people|process|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. Results and People add useful checks, while Process may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has a clear outcome and a decision people can act on, communication, confidence, and shared commitment, and usable structure and a sequence people can trust.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is clearer steps, standards, and handover, especially when the first response has already created movement.|active|leadership_approach::vision_results_people_process::concentrated
leadership_approach|vision_results_people_process|paired|vision|results|people|process|How Vision and Results work together|Vision and Results tend to operate as a close working pair. Vision gives the first entry point, while Results quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and a clear outcome and a decision people can act on. People can steady the pair, and Process is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and outcome and follow-through. It also needs enough room for clearer steps, standards, and handover when the top pair starts to take most of the attention.|active|leadership_approach::vision_results_people_process::paired
leadership_approach|vision_results_people_process|graduated|vision|results|people|process|How the pattern moves from Vision to Process|The pattern tends to move in steps: Vision starts the response, Results gives the next influence, People adds support, and Process may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from direction and future consequence towards trust and shared commitment. The main watch point is leaving clearer steps, standards, and handover until the work has already narrowed.|active|leadership_approach::vision_results_people_process::graduated
leadership_approach|vision_results_people_process|balanced|vision|results|people|process|How the pattern moves between Vision, Results, People, and Process|The pattern may have several usable entry points. Vision may appear first, but context can quickly call for Results, People, or Process without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across direction and future consequence, outcome and follow-through, trust and shared commitment, and structure and standards. It needs a clear current priority so others can follow the shift.|active|leadership_approach::vision_results_people_process::balanced
leadership_approach|vision_process_results_people|concentrated|vision|process|results|people|How Vision organises the response|Vision is likely to organise the first response by framing why the work matters, what it could become, and what future consequence is at stake. Process and Results add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes direction, meaning, and a better future frame feel like the clearest way to begin. The next signals test whether the work also has usable structure and a sequence people can trust, a clear outcome and a decision people can act on, and communication, confidence, and shared commitment.|It protects the work from short-term reactions, flat plans, and decisions with no clear reason. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership_approach::vision_process_results_people::concentrated
leadership_approach|vision_process_results_people|paired|vision|process|results|people|How Vision and Process work together|Vision and Process tend to operate as a close working pair. Vision gives the first entry point, while Process quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both a wider direction and a reason for the choice being made and usable structure and a sequence people can trust. Results can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between direction and future consequence and structure and standards. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership_approach::vision_process_results_people::paired
