domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
leadership-approach|vision_results_process_people|application_1|1|Start with the reason and direction|Start by giving the work a clear reason and direction. Name what the current decision is meant to make possible, then connect that future frame to one practical action people can take now.|vision|active|leadership-approach::vision_results_process_people::application_1
leadership-approach|vision_results_process_people|application_2|2|Stabilise with Results, then add Process|Before you move on, use Results to turn the conversation into a named decision, owner, and follow-up point. Then bring in Process to turn intent into steps, responsibilities, and a cleaner handover. This gives the work a stronger middle step before you rely on the full pattern.|results|active|leadership-approach::vision_results_process_people::application_2
leadership-approach|vision_results_process_people|application_3|3|Bring in People when the work tightens|When the work starts to narrow, bring in People deliberately. In practice, speak with the people most affected and clarify what they need to know, trust, or contribute. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|people|active|leadership-approach::vision_results_process_people::application_3
leadership-approach|vision_results_people_process|application_1|1|Start with the reason and direction|Start by giving the work a clear reason and direction. Name what the current decision is meant to make possible, then connect that future frame to one practical action people can take now.|vision|active|leadership-approach::vision_results_people_process::application_1
leadership-approach|vision_results_people_process|application_2|2|Stabilise with Results, then add People|Before you move on, use Results to turn the conversation into a named decision, owner, and follow-up point. Then bring in People to check how the decision is landing and what communication will support commitment. This gives the work a stronger middle step before you rely on the full pattern.|results|active|leadership-approach::vision_results_people_process::application_2
leadership-approach|vision_results_people_process|application_3|3|Bring in Process when the work tightens|When the work starts to narrow, bring in Process deliberately. In practice, write down the steps, standards, or handovers that need to be clearer. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|process|active|leadership-approach::vision_results_people_process::application_3
leadership-approach|vision_process_results_people|application_1|1|Start with the reason and direction|Start by giving the work a clear reason and direction. Name what the current decision is meant to make possible, then connect that future frame to one practical action people can take now.|vision|active|leadership-approach::vision_process_results_people::application_1
leadership-approach|vision_process_results_people|application_2|2|Stabilise with Process, then add Results|Before you move on, use Process to turn intent into steps, responsibilities, and a cleaner handover. Then bring in Results to turn the conversation into a named decision, owner, and follow-up point. This gives the work a stronger middle step before you rely on the full pattern.|process|active|leadership-approach::vision_process_results_people::application_2
leadership-approach|vision_process_results_people|application_3|3|Bring in People when the work tightens|When the work starts to narrow, bring in People deliberately. In practice, speak with the people most affected and clarify what they need to know, trust, or contribute. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|people|active|leadership-approach::vision_process_results_people::application_3
leadership-approach|vision_process_people_results|application_1|1|Start with the reason and direction|Start by giving the work a clear reason and direction. Name what the current decision is meant to make possible, then connect that future frame to one practical action people can take now.|vision|active|leadership-approach::vision_process_people_results::application_1
leadership-approach|vision_process_people_results|application_2|2|Stabilise with Process, then add People|Before you move on, use Process to turn intent into steps, responsibilities, and a cleaner handover. Then bring in People to check how the decision is landing and what communication will support commitment. This gives the work a stronger middle step before you rely on the full pattern.|process|active|leadership-approach::vision_process_people_results::application_2
leadership-approach|vision_process_people_results|application_3|3|Bring in Results when the work tightens|When the work starts to narrow, bring in Results deliberately. In practice, ask what now needs a decision, an owner, or a visible next move. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|results|active|leadership-approach::vision_process_people_results::application_3
leadership-approach|vision_people_results_process|application_1|1|Start with the reason and direction|Start by giving the work a clear reason and direction. Name what the current decision is meant to make possible, then connect that future frame to one practical action people can take now.|vision|active|leadership-approach::vision_people_results_process::application_1
leadership-approach|vision_people_results_process|application_2|2|Stabilise with People, then add Results|Before you move on, use People to check how the decision is landing and what communication will support commitment. Then bring in Results to turn the conversation into a named decision, owner, and follow-up point. This gives the work a stronger middle step before you rely on the full pattern.|people|active|leadership-approach::vision_people_results_process::application_2
leadership-approach|vision_people_results_process|application_3|3|Bring in Process when the work tightens|When the work starts to narrow, bring in Process deliberately. In practice, write down the steps, standards, or handovers that need to be clearer. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|process|active|leadership-approach::vision_people_results_process::application_3
leadership-approach|vision_people_process_results|application_1|1|Start with the reason and direction|Start by giving the work a clear reason and direction. Name what the current decision is meant to make possible, then connect that future frame to one practical action people can take now.|vision|active|leadership-approach::vision_people_process_results::application_1
leadership-approach|vision_people_process_results|application_2|2|Stabilise with People, then add Process|Before you move on, use People to check how the decision is landing and what communication will support commitment. Then bring in Process to turn intent into steps, responsibilities, and a cleaner handover. This gives the work a stronger middle step before you rely on the full pattern.|people|active|leadership-approach::vision_people_process_results::application_2
leadership-approach|vision_people_process_results|application_3|3|Bring in Results when the work tightens|When the work starts to narrow, bring in Results deliberately. In practice, ask what now needs a decision, an owner, or a visible next move. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|results|active|leadership-approach::vision_people_process_results::application_3
