domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
leadership-approach|process_results_vision_people|concentrated|process|results|vision|people|Process at the centre|This pattern can make leadership feel clear because Process gives the response a strong centre: making work easier to coordinate, repeat, and hand over without avoidable confusion. Results and Vision add range without removing that first point of focus.|It can become too narrow when the method keeps being refined after the situation needs movement, meaning, or direct conversation. People is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that good intent needs a dependable way of working, but it still needs clearer communication, inclusion, and shared commitment when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting clarity, sequencing, standards, and dependable structure. At its best, it gives people a clear way into the work while still leaving room for Results, Vision, and People to complete the picture.|active|leadership-approach::process_results_vision_people::concentrated
leadership-approach|process_results_vision_people|paired|process|results|vision|people|Process and Results in close partnership|This pattern can make leadership feel credible because Process and Results work as a close pair. Together they connect clarity, sequencing, standards, and dependable structure with outcomes, decisions, ownership, and follow-through.|It can become too narrow when the top pair takes most of the attention and Vision or People arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Process and Results are most useful when they leave space for clearer communication, inclusion, and shared commitment.|The overall pattern is a two-signal leadership centre with Process and Results doing much of the early interpretive work. Vision can broaden the response, while People may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::process_results_vision_people::paired
leadership-approach|process_results_vision_people|graduated|process|results|vision|people|Process through to People|This pattern can make leadership feel coherent because the order gives a clear sequence: Process first, then Results, then Vision, with People added deliberately when needed.|It can become too narrow when the early signals settle the work before People has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; clearer communication, inclusion, and shared commitment may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from clarity, sequencing, standards, and dependable structure towards direction, framing, possibility, meaning, and future consequence, while People gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::process_results_vision_people::graduated
leadership-approach|process_results_vision_people|balanced|process|results|vision|people|A flexible Process, Results, Vision, and People pattern|This pattern can make leadership feel adaptable because several routes are available: Process, Results, Vision, and People. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs clarity, sequencing, standards, and dependable structure, outcomes, decisions, ownership, and follow-through, direction, framing, possibility, meaning, and future consequence, or trust, communication, inclusion, development, and relational judgement.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::process_results_vision_people::balanced
leadership-approach|process_results_people_vision|concentrated|process|results|people|vision|Process at the centre|This pattern can make leadership feel clear because Process gives the response a strong centre: making work easier to coordinate, repeat, and hand over without avoidable confusion. Results and People add range without removing that first point of focus.|It can become too narrow when the method keeps being refined after the situation needs movement, meaning, or direct conversation. Vision is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that good intent needs a dependable way of working, but it still needs stronger direction, meaning, and future context when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting clarity, sequencing, standards, and dependable structure. At its best, it gives people a clear way into the work while still leaving room for Results, People, and Vision to complete the picture.|active|leadership-approach::process_results_people_vision::concentrated
leadership-approach|process_results_people_vision|paired|process|results|people|vision|Process and Results in close partnership|This pattern can make leadership feel credible because Process and Results work as a close pair. Together they connect clarity, sequencing, standards, and dependable structure with outcomes, decisions, ownership, and follow-through.|It can become too narrow when the top pair takes most of the attention and People or Vision arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Process and Results are most useful when they leave space for stronger direction, meaning, and future context.|The overall pattern is a two-signal leadership centre with Process and Results doing much of the early interpretive work. People can broaden the response, while Vision may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::process_results_people_vision::paired
leadership-approach|process_results_people_vision|graduated|process|results|people|vision|Process through to Vision|This pattern can make leadership feel coherent because the order gives a clear sequence: Process first, then Results, then People, with Vision added deliberately when needed.|It can become too narrow when the early signals settle the work before Vision has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; stronger direction, meaning, and future context may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from clarity, sequencing, standards, and dependable structure towards trust, communication, inclusion, development, and relational judgement, while Vision gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::process_results_people_vision::graduated
leadership-approach|process_results_people_vision|balanced|process|results|people|vision|A flexible Process, Results, People, and Vision pattern|This pattern can make leadership feel adaptable because several routes are available: Process, Results, People, and Vision. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs clarity, sequencing, standards, and dependable structure, outcomes, decisions, ownership, and follow-through, trust, communication, inclusion, development, and relational judgement, or direction, framing, possibility, meaning, and future consequence.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::process_results_people_vision::balanced
leadership-approach|process_vision_results_people|concentrated|process|vision|results|people|Process at the centre|This pattern can make leadership feel clear because Process gives the response a strong centre: making work easier to coordinate, repeat, and hand over without avoidable confusion. Vision and Results add range without removing that first point of focus.|It can become too narrow when the method keeps being refined after the situation needs movement, meaning, or direct conversation. People is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that good intent needs a dependable way of working, but it still needs clearer communication, inclusion, and shared commitment when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting clarity, sequencing, standards, and dependable structure. At its best, it gives people a clear way into the work while still leaving room for Vision, Results, and People to complete the picture.|active|leadership-approach::process_vision_results_people::concentrated
leadership-approach|process_vision_results_people|paired|process|vision|results|people|Process and Vision in close partnership|This pattern can make leadership feel credible because Process and Vision work as a close pair. Together they connect clarity, sequencing, standards, and dependable structure with direction, framing, possibility, meaning, and future consequence.|It can become too narrow when the top pair takes most of the attention and Results or People arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Process and Vision are most useful when they leave space for clearer communication, inclusion, and shared commitment.|The overall pattern is a two-signal leadership centre with Process and Vision doing much of the early interpretive work. Results can broaden the response, while People may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::process_vision_results_people::paired
leadership-approach|process_vision_results_people|graduated|process|vision|results|people|Process through to People|This pattern can make leadership feel coherent because the order gives a clear sequence: Process first, then Vision, then Results, with People added deliberately when needed.|It can become too narrow when the early signals settle the work before People has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; clearer communication, inclusion, and shared commitment may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from clarity, sequencing, standards, and dependable structure towards outcomes, decisions, ownership, and follow-through, while People gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::process_vision_results_people::graduated
leadership-approach|process_vision_results_people|balanced|process|vision|results|people|A flexible Process, Vision, Results, and People pattern|This pattern can make leadership feel adaptable because several routes are available: Process, Vision, Results, and People. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs clarity, sequencing, standards, and dependable structure, direction, framing, possibility, meaning, and future consequence, outcomes, decisions, ownership, and follow-through, or trust, communication, inclusion, development, and relational judgement.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::process_vision_results_people::balanced
leadership-approach|process_vision_people_results|concentrated|process|vision|people|results|Process at the centre|This pattern can make leadership feel clear because Process gives the response a strong centre: making work easier to coordinate, repeat, and hand over without avoidable confusion. Vision and People add range without removing that first point of focus.|It can become too narrow when the method keeps being refined after the situation needs movement, meaning, or direct conversation. Results is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that good intent needs a dependable way of working, but it still needs firmer decision, ownership, and follow-through when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting clarity, sequencing, standards, and dependable structure. At its best, it gives people a clear way into the work while still leaving room for Vision, People, and Results to complete the picture.|active|leadership-approach::process_vision_people_results::concentrated
leadership-approach|process_vision_people_results|paired|process|vision|people|results|Process and Vision in close partnership|This pattern can make leadership feel credible because Process and Vision work as a close pair. Together they connect clarity, sequencing, standards, and dependable structure with direction, framing, possibility, meaning, and future consequence.|It can become too narrow when the top pair takes most of the attention and People or Results arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Process and Vision are most useful when they leave space for firmer decision, ownership, and follow-through.|The overall pattern is a two-signal leadership centre with Process and Vision doing much of the early interpretive work. People can broaden the response, while Results may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::process_vision_people_results::paired
leadership-approach|process_vision_people_results|graduated|process|vision|people|results|Process through to Results|This pattern can make leadership feel coherent because the order gives a clear sequence: Process first, then Vision, then People, with Results added deliberately when needed.|It can become too narrow when the early signals settle the work before Results has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; firmer decision, ownership, and follow-through may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from clarity, sequencing, standards, and dependable structure towards trust, communication, inclusion, development, and relational judgement, while Results gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::process_vision_people_results::graduated
leadership-approach|process_vision_people_results|balanced|process|vision|people|results|A flexible Process, Vision, People, and Results pattern|This pattern can make leadership feel adaptable because several routes are available: Process, Vision, People, and Results. The value lies in matching the response to the situation rather than proving one route is always right.|It can become too narrow when the leader moves between routes without making the current priority clear. Others may then struggle to tell whether the work now needs clarity, sequencing, standards, and dependable structure, direction, framing, possibility, meaning, and future consequence, trust, communication, inclusion, development, and relational judgement, or outcomes, decisions, ownership, and follow-through.|Remember that flexibility still needs clarity; name the leadership need that matters most in the moment.|The overall pattern is a balanced leadership approach with several usable ways into the work. Context matters: different moments may call for progress, structure, direction, or trust, and the pattern works best when that choice is made visible.|active|leadership-approach::process_vision_people_results::balanced
leadership-approach|process_people_results_vision|concentrated|process|people|results|vision|Process at the centre|This pattern can make leadership feel clear because Process gives the response a strong centre: making work easier to coordinate, repeat, and hand over without avoidable confusion. People and Results add range without removing that first point of focus.|It can become too narrow when the method keeps being refined after the situation needs movement, meaning, or direct conversation. Vision is the deliberate range that keeps the pattern rounded when the first response has done its job.|Remember that good intent needs a dependable way of working, but it still needs stronger direction, meaning, and future context when the situation asks for more range.|The overall pattern is a leadership approach that starts by trusting clarity, sequencing, standards, and dependable structure. At its best, it gives people a clear way into the work while still leaving room for People, Results, and Vision to complete the picture.|active|leadership-approach::process_people_results_vision::concentrated
leadership-approach|process_people_results_vision|paired|process|people|results|vision|Process and People in close partnership|This pattern can make leadership feel credible because Process and People work as a close pair. Together they connect clarity, sequencing, standards, and dependable structure with trust, communication, inclusion, development, and relational judgement.|It can become too narrow when the top pair takes most of the attention and Results or Vision arrives too late. The pattern does not need less of the pair; it needs enough range around it.|Remember that Process and People are most useful when they leave space for stronger direction, meaning, and future context.|The overall pattern is a two-signal leadership centre with Process and People doing much of the early interpretive work. Results can broaden the response, while Vision may need deliberate attention so the pair does not answer every problem in the same way.|active|leadership-approach::process_people_results_vision::paired
leadership-approach|process_people_results_vision|graduated|process|people|results|vision|Process through to Vision|This pattern can make leadership feel coherent because the order gives a clear sequence: Process first, then People, then Results, with Vision added deliberately when needed.|It can become too narrow when the early signals settle the work before Vision has been considered. The later signal is range that may change what the pattern notices.|Remember the sequence, but do not let it become a fixed rule; stronger direction, meaning, and future context may be the missing piece in some situations.|The overall pattern is a stepped leadership approach. It tends to move from clarity, sequencing, standards, and dependable structure towards outcomes, decisions, ownership, and follow-through, while Vision gives the pattern a further check when the situation needs a fuller response.|active|leadership-approach::process_people_results_vision::graduated
