domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|strength_1|1|Thinking clearly with response|You may find flow when an idea can meet a real question, reaction, or explanation. This helps you see what is clear, useful, or worth developing next.|social_exchange|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::strength_1
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|strength_2|2|Giving exchange a strong base|Deep Focus helps your conversations stay grounded in careful thought. You can respond live without losing the value of depth and considered judgement.|deep_focus|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::strength_2
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|strength_3|3|Opening and resetting the work|Creative Movement helps you reframe what the exchange reveals. Physical Rhythm can give you a practical reset before the next round of discussion or thinking.|creative_movement|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::strength_3
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|strength_1|1|Making sense with others|You can often find flow by explaining, questioning, or testing a point with another person. The work becomes easier when response helps organise it.|social_exchange|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::strength_1
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|strength_2|2|Keeping shared thinking considered|Deep Focus helps you avoid shallow agreement or quick reactions. The combination supports conversations where the point is tested carefully and improved.|deep_focus|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::strength_2
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|strength_3|3|Using reset to make room for range|Physical Rhythm can help after intense thought or exchange. Creative Movement then adds a deliberate way to find a different option when the discussion has become too settled.|physical_rhythm|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::strength_3
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|strength_1|1|Improving ideas through live response|You may find flow when ideas can be spoken, challenged, taught, or tested. This helps you notice what lands and what needs a different frame.|social_exchange|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::strength_1
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|strength_2|2|Letting response create options|Creative Movement helps you use feedback as material for better ideas. A conversation can open new examples, routes, or explanations while the work is still alive.|creative_movement|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::strength_2
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|strength_3|3|Adding depth and recovery|Deep Focus helps you choose the strongest idea and work it through. Physical Rhythm can reset your state when live thinking and idea movement have used a lot of energy.|deep_focus|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::strength_3
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|strength_1|1|Testing ideas while they form|You can often make progress by putting a thought into shared space early enough to improve it. This helps when the task needs quick sense-making and adjustment.|social_exchange|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::strength_1
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|strength_2|2|Reframing through conversation|Creative Movement helps you turn questions and reactions into better options. The exchange can create a new route rather than only confirm the first one.|creative_movement|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::strength_2
flow_state|social_exchange_creative_movement_physical_rhythm_deep_focus|strength_3|3|Grounding and finishing the idea|Physical Rhythm can turn a live idea into a practical next move. Deep Focus becomes useful when the chosen direction needs careful development after the exchange.|physical_rhythm|active|flow_state::social_exchange_creative_movement_physical_rhythm_deep_focus::strength_3
flow_state|social_exchange_physical_rhythm_deep_focus_creative_movement|strength_1|1|Finding clarity in shared action|You may find flow when discussion, demonstration, or a quick check makes the task clearer. This helps when thinking improves through response rather than silence alone.|social_exchange|active|flow_state::social_exchange_physical_rhythm_deep_focus_creative_movement::strength_1
flow_state|social_exchange_physical_rhythm_deep_focus_creative_movement|strength_2|2|Keeping exchange practical|Physical Rhythm helps shared thinking stay connected to pace, action, and the next step. This can stop a conversation becoming too abstract or circular.|physical_rhythm|active|flow_state::social_exchange_physical_rhythm_deep_focus_creative_movement::strength_2
flow_state|social_exchange_physical_rhythm_deep_focus_creative_movement|strength_3|3|Adding depth and later range|Deep Focus helps you work through the important point after the exchange. Creative Movement adds deliberate range when the practical answer needs another angle.|deep_focus|active|flow_state::social_exchange_physical_rhythm_deep_focus_creative_movement::strength_3
flow_state|social_exchange_physical_rhythm_creative_movement_deep_focus|strength_1|1|Using response to move the work|You can often get into flow when a task can be discussed, demonstrated, or tested in real time. This makes the next step easier to see.|social_exchange|active|flow_state::social_exchange_physical_rhythm_creative_movement_deep_focus::strength_1
flow_state|social_exchange_physical_rhythm_creative_movement_deep_focus|strength_2|2|Turning shared thinking into action|Physical Rhythm helps conversations become concrete. A change of pace, a quick trial, or a practical example can make the shared work more usable.|physical_rhythm|active|flow_state::social_exchange_physical_rhythm_creative_movement_deep_focus::strength_2
flow_state|social_exchange_physical_rhythm_creative_movement_deep_focus|strength_3|3|Adding options before deepening|Creative Movement helps you find another route when the first shared answer is not enough. Deep Focus then supports careful follow-through once the direction is chosen.|creative_movement|active|flow_state::social_exchange_physical_rhythm_creative_movement_deep_focus::strength_3
