domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|concentrated|social_exchange|deep_focus|creative_movement|physical_rhythm|Why exchange helps the work become clear|This pattern works by bringing the work into live contact early. Social Exchange gives the person something to respond to, Deep Focus gives the useful point substance, Creative Movement adds range, and Physical Rhythm helps reset the process.|It may show up because conversation, feedback, teaching, facilitation, or shared problem-solving makes the work easier to see. The person may trust response before they trust a fully formed private view.|It protects shared clarity, relevance, and momentum through response. The trade-off is that quiet focus or physical reset may arrive later than the work needs.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::concentrated
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|paired|social_exchange|deep_focus|creative_movement|physical_rhythm|Why exchange needs focused follow-through|This pattern works through a close link between live response and careful attention. Social Exchange opens the work, while Deep Focus gives the useful part enough time to become substantial.|It may show up because the person often finds the point through another person, then trusts it more once it has been thought through. The pair can make the work feel both responsive and solid.|It protects clarity that can survive beyond the conversation. The trade-off is that ideas or reset may be delayed if the exchange and focus keep feeding each other.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::paired
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|graduated|social_exchange|deep_focus|creative_movement|physical_rhythm|Why the sequence moves from response to reset|This pattern works as a sequence. Social Exchange opens the work, Deep Focus develops the important part, Creative Movement adds a better angle, and Physical Rhythm resets the system.|It may show up because live contact helps attention find the issue before the person settles into deeper work. Each later signal then has a clearer job to do.|It protects a move from shared clarity into substance and range. The trade-off is that the body or setting may be asked to reset only after the process has become busy.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::graduated
flow_state|social_exchange_deep_focus_creative_movement_physical_rhythm|balanced|social_exchange|deep_focus|creative_movement|physical_rhythm|Why several routes can still start with exchange|This pattern works with several usable conditions, with Social Exchange only lightly first. Conversation, focus, ideas, and movement may each help depending on what the work needs.|It may show up because some tasks need response, some need quiet attention, some need a fresh angle, and some need a physical reset. The ranking should be read lightly.|It protects flexible clarity through more than one route. The trade-off is that the person may keep changing conditions instead of giving the right one enough time to work.|active|flow_state::social_exchange_deep_focus_creative_movement_physical_rhythm::balanced
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|concentrated|social_exchange|deep_focus|physical_rhythm|creative_movement|Why exchange needs depth and reset|This pattern works by using live exchange to make the work real, then using focus and physical reset to keep it usable. Creative Movement adds range when the route needs a less obvious angle.|It may show up because another person, group, client, or audience gives the work a useful point of contact. Focus and movement then help the person hold the useful part without staying in response mode.|It protects shared meaning with enough substance to last. The trade-off is that new angles may be invited late, after the route already feels clear.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::concentrated
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|paired|social_exchange|deep_focus|physical_rhythm|creative_movement|Why response and focus repeat together|This pattern works through a close mechanism of exchange and concentration. Social Exchange reveals what matters, while Deep Focus keeps the important point from being lost in the next interaction.|It may show up because the person may need to speak, teach, explain, debate, or test the work before they know where to place their attention. The pair makes response feel useful rather than scattered.|It protects live clarity with a thinking base. The trade-off is that movement or ideas may be used only after the main route has already become settled.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::paired
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|graduated|social_exchange|deep_focus|physical_rhythm|creative_movement|Why the route tests, deepens, then resets|This pattern works through a clear order. Social Exchange opens the work, Deep Focus develops the useful point, Physical Rhythm lowers the noise, and Creative Movement adds later range.|It may show up because shared response helps the person find the issue, but the work still needs substance and state change before a new angle is useful.|It protects clarity that can become steady and practical. The trade-off is that possibility may need deliberate room so the result does not become too fixed too early.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::graduated
flow_state|social_exchange_deep_focus_physical_rhythm_creative_movement|balanced|social_exchange|deep_focus|physical_rhythm|creative_movement|Why response, focus, and movement stay close|This pattern works with exchange, focus, movement, and ideas all close enough to matter. Social Exchange appears first, but the route may change with the task.|It may show up because some work needs a useful conversation, some needs quiet development, some needs a physical reset, and some needs a fresh angle.|It protects adaptable shared clarity. The trade-off is that the familiar route of response and focus may crowd out new angles unless Creative Movement is treated as a real option.|active|flow_state::social_exchange_deep_focus_physical_rhythm_creative_movement::balanced
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|concentrated|social_exchange|creative_movement|deep_focus|physical_rhythm|Why exchange opens new angles|This pattern works by using live response to open the work and make ideas easier to find. Creative Movement gives the exchange range, Deep Focus gives the strongest idea substance, and Physical Rhythm helps reset the process.|It may show up because conversation, feedback, facilitation, debate, presenting, or shared problem-solving can make possibilities appear quickly. The person may trust ideas more when they have been tested in contact with others.|It protects responsive originality and shared sense-making. The trade-off is that focused development or physical reset may arrive after the exchange has already become crowded.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::concentrated
flow_state|social_exchange_creative_movement_deep_focus_physical_rhythm|paired|social_exchange|creative_movement|deep_focus|physical_rhythm|Why exchange and ideas build together|This pattern works through a close link between live response and idea movement. Social Exchange gives the work contact, while Creative Movement keeps the conversation from becoming only reaction.|It may show up because the person often finds better routes while explaining, co-creating, questioning, or responding in real time. The pair can make work feel alive and useful.|It protects shared imagination with practical relevance. The trade-off is that the strongest idea may need more focus and reset before it becomes finished work.|active|flow_state::social_exchange_creative_movement_deep_focus_physical_rhythm::paired
