domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|concentrated|deep_focus|creative_movement|physical_rhythm|social_exchange|Better ideas after focused work|You are most likely to find flow when you have time to stay with one demanding thing before opening it up.|This pattern often shows up when you need quiet time to understand the work properly. You may reread the brief, sit with the problem, or build a first version alone before you want input. Creative Movement then helps the work loosen and develop. Physical Rhythm helps when concentration starts to feel heavy. Social Exchange becomes useful when the idea needs to make sense to someone else.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::concentrated
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|paired|deep_focus|creative_movement|physical_rhythm|social_exchange|Considered ideas with room to move|You are most likely to find flow when focused thinking and idea movement can work together.|This pattern often shows up when you need enough quiet to understand the problem, but not so much structure that the work becomes fixed too early. You may move between careful attention and fresh angles until the work starts to feel both solid and alive. Physical Rhythm can help when attention gets heavy or static. Social Exchange becomes useful when the work needs to be tested outside your own process.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::paired
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|graduated|deep_focus|creative_movement|physical_rhythm|social_exchange|Focus, then ideas, then reset|You are likely to find flow through a clear sequence: settle into the work, let ideas develop, then use movement and feedback when the pattern needs range.|This result may feel recognisable if you prefer to understand the problem before trying different angles. Creative Movement gives the work freshness once Deep Focus has found the substance. Physical Rhythm can help when attention becomes heavy. Social Exchange is useful when the work needs checking outside your own process.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::graduated
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|balanced|deep_focus|creative_movement|physical_rhythm|social_exchange|Several ways into flow|You are likely to find flow through different conditions depending on the work in front of you.|Deep Focus appears first, but not by enough to make the result one-sided. You may use quiet concentration, fresh ideas, movement, or conversation at different points. The useful question is not which signal defines you. It is which condition the work needs now.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::balanced
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|concentrated|deep_focus|creative_movement|social_exchange|physical_rhythm|Focused work that needs a response|You are most likely to find flow when you can think deeply first, then open the work through ideas and useful feedback.|This pattern often shows up when you want time to understand the work before anyone else gets involved. Once the thinking has substance, Creative Movement can help the work become more original, and Social Exchange can test whether it lands. Physical Rhythm may need to be added deliberately when the work starts to feel stuck in your head.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::concentrated
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|paired|deep_focus|creative_movement|social_exchange|physical_rhythm|Focused thinking with live testing|You are likely to find flow when careful attention and idea movement work closely together, then conversation helps test what the work has become.|This result may feel familiar if your best thinking needs both quiet and range. You may sit with the problem, find a better angle, then want to explain or test it with someone useful. Physical Rhythm sits later in the order, so movement or a change of state may need to be brought in before the work becomes too mental.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::paired
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|graduated|deep_focus|creative_movement|social_exchange|physical_rhythm|Think, reframe, then test|You are likely to reach flow through a stepped pattern: focus first, ideas second, conversation third, and physical reset when the work needs deliberate range.|This pattern may show up when you want the work to make sense privately before it becomes more expressive or shareable. Creative Movement opens better angles after Deep Focus has done the early work. Social Exchange helps translate the result for another person. Physical Rhythm can help when the process needs a reset rather than more thinking or more talk.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::graduated
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|balanced|deep_focus|creative_movement|social_exchange|physical_rhythm|Depth, ideas, and response|You may find flow through several routes, with focus first but ideas and conversation close enough to matter.|This result should be read lightly. You may sometimes need quiet concentration, sometimes a fresh angle, and sometimes a useful conversation to make the work clearer. Physical Rhythm is still part of the profile, especially when the work needs a change of state rather than another round of thinking.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::balanced
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|concentrated|deep_focus|physical_rhythm|creative_movement|social_exchange|Deep work with a practical rhythm|You are most likely to find flow when focused attention is supported by movement, pace, or a steady physical state.|This pattern often shows up when serious thinking works better with a rhythm around it. You may need quiet time with the task, but also a walk, routine, practical action, or change of setting to keep attention from becoming forced. Creative Movement adds fresh angles once the work has traction. Social Exchange helps test the result when it needs to make sense to someone else.|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::concentrated
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|paired|deep_focus|physical_rhythm|creative_movement|social_exchange|Focused attention with movement beside it|You are likely to find flow when concentration and physical rhythm work together.|This result may feel recognisable if sitting still and thinking harder is not always the best route into deep work. You may need a practical rhythm, a change of pace, or movement around the task so attention can settle. Creative Movement can add range once the work is underway. Social Exchange may be useful when the result needs outside response.|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::paired
