domain_key|pattern_key|score_shape|closing_summary|core_gift|core_trap|development_edge|memorable_line|status|lookup_key
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|concentrated|Your clearest route into flow is focused attention that gives the work depth before it opens out. Ideas, movement, and response matter most when they help that careful work become usable.|You can stay with demanding work long enough for the real point to become clear.|You may keep improving the work privately after it needs movement or response.|Let focus build substance, then bring in one fresh angle, one change of state, or one clear response at the right moment.|Depth works best when it still has somewhere to go.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::concentrated
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|paired|Flow is likely to come from the close link between focused attention and idea movement. The work is strongest when depth and originality keep each other practical.|You can produce work that is both considered and fresh.|You may keep moving between focus and ideas after the work needs recovery or response.|Use focus and ideas together, then bring in rhythm or conversation before the loop gets too private.|Let the idea move, but keep the work clear.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::paired
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|graduated|This pattern works as an ordered route: focus first, ideas next, physical rhythm for recovery, and social exchange to check the result. The full sequence matters because each signal gives the work a different kind of range.|You can move from careful thought into original work without losing steadiness.|You may wait too long before the work meets another person or a practical change of state.|Follow the order, but do not wait until the work is finished before using rhythm or response.|Start deep, then widen before the work closes in.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::graduated
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|balanced|Read this result as a flexible flow profile with focus slightly first. Different tasks may need quiet thought, a fresh angle, movement, or conversation, and the value is knowing which condition the work needs now.|You can move between several routes without losing the value of depth.|You may switch routes before one condition has had enough time to help.|Start with the condition that fits the task, then add the signal the work is missing.|Your flow is strongest when the next condition is chosen, not automatic.|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::balanced
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|concentrated|Your clearest route into flow is focused thought that becomes more original and then easier to explain. Physical rhythm is the range to add when the process becomes too mental.|You can build a strong idea before asking it to make sense to someone else.|You may stay with thinking, ideas, and response after your state needs to change.|Use depth to form the work, then add movement or a change of setting before another round of thinking or talk.|Good thinking also needs a change of state.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::concentrated
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|paired|Flow is likely to come from Deep Focus and Creative Movement working closely together. Social Exchange helps the idea become clearer to others, while Physical Rhythm keeps the process from staying only in the head.|You can turn careful thinking into original work that can be explained.|You may keep improving and discussing the idea after it needs a physical shift.|Use the focus-and-ideas pair, then deliberately change state when the work starts to feel crowded.|A better idea lands when the process stays workable.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::paired
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|graduated|This pattern moves from depth into ideas, then into response, with physical rhythm as deliberate range. The result is strongest when private work becomes clear without staying trapped in thought and talk.|You can develop work privately and then make it clearer through response.|You may leave movement or recovery until the mind has already done too much.|Use the sequence, then bring in pace, movement, or setting before continuing.|Think, open, explain, then change state.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::graduated
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|balanced|Read this as flexible depth with ideas and response close by. Physical Rhythm may not be the first route, but it is important when the work needs recovery rather than another mental pass.|You can use focus, ideas, or conversation depending on the task.|You may treat movement as optional even when it would make the work easier.|Ask whether the work now needs thought, a fresh angle, response, or a physical shift.|The right condition is the one that makes progress easier now.|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::balanced
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|concentrated|Your clearest route into flow is deep attention supported by rhythm, pace, or environment. Ideas and response matter when the steady route needs more range and a clearer check.|You can make demanding work feel steady enough to continue.|You may rely on focus and rhythm after the work needs a new angle or response.|Use rhythm to support focus, then invite possibility and feedback before the result becomes too self-contained.|Steady work still needs a point of contact.|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::concentrated
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|paired|Flow is likely to come from the close link between concentration and physical rhythm. The work is strongest when pace, setting, or movement helps serious attention stay available.|You can keep deep work practical rather than forced.|You may stay with the reliable route when the work needs originality or response.|Let focus and rhythm do the early work, then add ideas or conversation while the result can still change.|Depth lasts longer when the conditions support it.|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::paired
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|graduated|This pattern moves from focus into rhythm, then into ideas and response. The sequence works well when serious work needs practical steadiness before it opens to range and feedback.|You can build steady progress before widening the work.|You may delay feedback until the answer has already become too settled.|Use focus and rhythm to begin, then bring in a fresh angle and one response before the work closes.|Begin steady, then let the work meet the world.|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::graduated
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|balanced|Read this as flexible steadiness with focus lightly first. Some tasks may need quiet depth, some need movement, some need ideas, and some need response from another person.|You can choose from several conditions while keeping attention available.|You may default to the condition that feels steady rather than the one the task needs.|Use the route that helps now, then add the missing signal before progress becomes narrow.|Flow improves when steadiness stays adaptable.|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::balanced
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|concentrated|Your clearest route into flow is careful attention supported by practical rhythm and checked through response. Creative Movement is the deliberate range that keeps the answer from becoming too fixed.|You can create work that is careful, steady, and understandable.|You may make the practical answer too final before a better angle appears.|Use focus and rhythm to build the base, then invite one new option before closing the work.|Reliable work can still make room for possibility.|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::concentrated
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|paired|Flow is likely to come from Deep Focus and Physical Rhythm as a close pair. Social Exchange checks whether the steady work lands, while Creative Movement keeps it from becoming only practical.|You can turn demanding work into steady progress others can understand.|You may trust the careful route so much that originality arrives late.|Use the steady pair, then ask where the work needs response or a fresher angle.|Careful work stays stronger when it can still change.|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::paired
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|graduated|This pattern moves from focus into rhythm, then response, then creative range. The order can produce grounded work, as long as possibility is not left until the answer is already fixed.|You can build work that is careful, steady, and clear to others.|You may delay a fresh angle until change becomes harder.|Use the sequence, then invite Creative Movement while the work still has room to improve.|Finish strongly, but leave space for a better route.|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::graduated
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|balanced|Read this as flexible focus with practical checks close by. Deep Focus, Physical Rhythm, and Social Exchange all matter, and Creative Movement adds range when the answer needs more possibility.|You can use thought, rhythm, and response as different ways to keep work clear.|You may stay with the tested route before exploring a better option.|Treat the familiar route as useful, then add one fresh angle when the work feels too settled.|A clear answer can still be improved.|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::balanced
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|concentrated|Your clearest route into flow is focused thought that becomes sharper through response. Creative Movement adds range, and Physical Rhythm is the deliberate condition to add when the process becomes too mental or verbal.|You can form a considered view and make it clearer through another person.|You may keep thinking and talking after the work needs a change of state.|Use response to sharpen the work, then move, change setting, or shift pace before continuing.|Clear thought still needs recovery.|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::concentrated
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|paired|Flow is likely to come from Deep Focus and Social Exchange working closely together. The pattern is strongest when independent judgement and response improve each other without becoming a long loop.|You can combine private thought with feedback that makes the work clearer.|You may keep alternating between thought and conversation after the work needs movement or a decision.|Use the thought-and-response pair, then bring in ideas or physical rhythm to keep the work from circling.|Think clearly, hear clearly, then move the work on.|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::paired
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|graduated|This pattern moves from focused thought into response, then ideas, then physical rhythm. The full order matters because each step helps the work move from private judgement into wider use.|You can form a clear view, test it, and then open it further.|You may leave physical rhythm until after the process has become tired or crowded.|Follow the order, then add movement or a changed setting before another mental pass.|A clear view works best when the process keeps moving.|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::graduated
