domain_key|pattern_key|application_key|priority|application_title|application_text|linked_signal_key|status|lookup_key
leadership_approach|process_results_vision_people|application_1|1|Start with the working path|Start by setting the next three steps, the standard that matters, and the point where handover could fail. Make the route clear enough that another person could follow it without needing to guess.|process|active|leadership_approach::process_results_vision_people::application_1
leadership_approach|process_results_vision_people|application_2|2|Stabilise with Results, then add Vision|Before you move on, use Results to turn the conversation into a named decision, owner, and follow-up point. Then bring in Vision to connect the immediate task to the reason, consequence, or better option. This gives the work a stronger middle step before you rely on the full pattern.|results|active|leadership_approach::process_results_vision_people::application_2
leadership_approach|process_results_vision_people|application_3|3|Bring in People when the work tightens|When the work starts to narrow, bring in People deliberately. In practice, speak with the people most affected and clarify what they need to know, trust, or contribute. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|people|active|leadership_approach::process_results_vision_people::application_3
leadership_approach|process_results_people_vision|application_1|1|Start with the working path|Start by setting the next three steps, the standard that matters, and the point where handover could fail. Make the route clear enough that another person could follow it without needing to guess.|process|active|leadership_approach::process_results_people_vision::application_1
leadership_approach|process_results_people_vision|application_2|2|Stabilise with Results, then add People|Before you move on, use Results to turn the conversation into a named decision, owner, and follow-up point. Then bring in People to check how the decision is landing and what communication will support commitment. This gives the work a stronger middle step before you rely on the full pattern.|results|active|leadership_approach::process_results_people_vision::application_2
leadership_approach|process_results_people_vision|application_3|3|Bring in Vision when the work tightens|When the work starts to narrow, bring in Vision deliberately. In practice, name what the work is meant to lead towards and why that matters. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|vision|active|leadership_approach::process_results_people_vision::application_3
leadership_approach|process_vision_results_people|application_1|1|Start with the working path|Start by setting the next three steps, the standard that matters, and the point where handover could fail. Make the route clear enough that another person could follow it without needing to guess.|process|active|leadership_approach::process_vision_results_people::application_1
leadership_approach|process_vision_results_people|application_2|2|Stabilise with Vision, then add Results|Before you move on, use Vision to connect the immediate task to the reason, consequence, or better option. Then bring in Results to turn the conversation into a named decision, owner, and follow-up point. This gives the work a stronger middle step before you rely on the full pattern.|vision|active|leadership_approach::process_vision_results_people::application_2
leadership_approach|process_vision_results_people|application_3|3|Bring in People when the work tightens|When the work starts to narrow, bring in People deliberately. In practice, speak with the people most affected and clarify what they need to know, trust, or contribute. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|people|active|leadership_approach::process_vision_results_people::application_3
leadership_approach|process_vision_people_results|application_1|1|Start with the working path|Start by setting the next three steps, the standard that matters, and the point where handover could fail. Make the route clear enough that another person could follow it without needing to guess.|process|active|leadership_approach::process_vision_people_results::application_1
leadership_approach|process_vision_people_results|application_2|2|Stabilise with Vision, then add People|Before you move on, use Vision to connect the immediate task to the reason, consequence, or better option. Then bring in People to check how the decision is landing and what communication will support commitment. This gives the work a stronger middle step before you rely on the full pattern.|vision|active|leadership_approach::process_vision_people_results::application_2
leadership_approach|process_vision_people_results|application_3|3|Bring in Results when the work tightens|When the work starts to narrow, bring in Results deliberately. In practice, ask what now needs a decision, an owner, or a visible next move. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|results|active|leadership_approach::process_vision_people_results::application_3
leadership_approach|process_people_results_vision|application_1|1|Start with the working path|Start by setting the next three steps, the standard that matters, and the point where handover could fail. Make the route clear enough that another person could follow it without needing to guess.|process|active|leadership_approach::process_people_results_vision::application_1
leadership_approach|process_people_results_vision|application_2|2|Stabilise with People, then add Results|Before you move on, use People to check how the decision is landing and what communication will support commitment. Then bring in Results to turn the conversation into a named decision, owner, and follow-up point. This gives the work a stronger middle step before you rely on the full pattern.|people|active|leadership_approach::process_people_results_vision::application_2
leadership_approach|process_people_results_vision|application_3|3|Bring in Vision when the work tightens|When the work starts to narrow, bring in Vision deliberately. In practice, name what the work is meant to lead towards and why that matters. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|vision|active|leadership_approach::process_people_results_vision::application_3
leadership_approach|process_people_vision_results|application_1|1|Start with the working path|Start by setting the next three steps, the standard that matters, and the point where handover could fail. Make the route clear enough that another person could follow it without needing to guess.|process|active|leadership_approach::process_people_vision_results::application_1
leadership_approach|process_people_vision_results|application_2|2|Stabilise with People, then add Vision|Before you move on, use People to check how the decision is landing and what communication will support commitment. Then bring in Vision to connect the immediate task to the reason, consequence, or better option. This gives the work a stronger middle step before you rely on the full pattern.|people|active|leadership_approach::process_people_vision_results::application_2
leadership_approach|process_people_vision_results|application_3|3|Bring in Results when the work tightens|When the work starts to narrow, bring in Results deliberately. In practice, ask what now needs a decision, an owner, or a visible next move. Do this before the first two signals have answered the problem so completely that the wider need is harder to see.|results|active|leadership_approach::process_people_vision_results::application_3
