domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|narrowing_1|1|Looking for response too soon|Social Exchange can narrow when a live check arrives before the work has enough shape. Feedback may then create noise instead of clarity.|deep_focus|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::narrowing_1
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|narrowing_2|2|Turning discussion into detailed review|Social Exchange and Deep Focus can make a topic feel worth sustained examination. Watch for the point where conversation is making the work heavier rather than clearer.|physical_rhythm|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::narrowing_2
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|narrowing_3|3|Reframing without a reset|Creative Movement can help after feedback, but Physical Rhythm may be needed to clear the state first. Without that reset, the pattern may keep adding ideas to a tired process.|physical_rhythm|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::narrowing_3
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|narrowing_1|1|Letting response set the frame|Social Exchange can narrow when another person's reaction becomes the main guide too early. The work may need private thought before feedback can be used well.|deep_focus|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::narrowing_1
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|narrowing_2|2|Analysing the exchange too much|Social Exchange and Deep Focus can turn feedback into a long thinking task. Watch for reviewing the response after it has already given you the useful information.|physical_rhythm|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::narrowing_2
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|narrowing_3|3|Resetting without another angle|Physical Rhythm can help the work recover, but Creative Movement may be needed if the current answer is too fixed. One new option can widen what the exchange made visible.|creative_movement|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::narrowing_3
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|narrowing_1|1|Keeping the idea in public too long|Social Exchange can narrow when the work needs quiet development but stays in response mode. Too much live input can make it harder to hear the main point.|deep_focus|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::narrowing_1
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|narrowing_2|2|Changing direction with every reaction|Social Exchange and Creative Movement can make feedback quickly become new options. Watch for the work adapting so often that it loses a stable centre.|deep_focus|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::narrowing_2
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|narrowing_3|3|Deepening without recovery|Deep Focus can settle the strongest option, but Physical Rhythm may be needed when live thinking has run hot. Without a reset, the pattern may become mentally crowded.|physical_rhythm|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::narrowing_3
flow-state|social_exchange_creative_movement_physical_rhythm_deep_focus|narrowing_1|1|Testing before the point exists|Social Exchange can narrow when the work is put into conversation before there is enough to test. The response may be real, but it may be responding to an unfinished centre.|deep_focus|active|flow-state::social_exchange_creative_movement_physical_rhythm_deep_focus::narrowing_1
flow-state|social_exchange_creative_movement_physical_rhythm_deep_focus|narrowing_2|2|Letting conversation keep opening the work|Social Exchange and Creative Movement can make every response a source of another angle. Watch for the point where a clearer choice would help more than another option.|deep_focus|active|flow-state::social_exchange_creative_movement_physical_rhythm_deep_focus::narrowing_2
flow-state|social_exchange_creative_movement_physical_rhythm_deep_focus|narrowing_3|3|Acting before deepening|Physical Rhythm can make the next move concrete, but Deep Focus may be needed to make the decision hold. Without it, action may arrive before the important thinking is finished.|deep_focus|active|flow-state::social_exchange_creative_movement_physical_rhythm_deep_focus::narrowing_3
flow-state|social_exchange_physical_rhythm_deep_focus_creative_movement|narrowing_1|1|Solving through interaction by default|Social Exchange can narrow when every block is taken into discussion, demonstration, or feedback. Some tasks may need private thought before shared sense-making helps.|deep_focus|active|flow-state::social_exchange_physical_rhythm_deep_focus_creative_movement::narrowing_1
flow-state|social_exchange_physical_rhythm_deep_focus_creative_movement|narrowing_2|2|Moving quickly with the room|Social Exchange and Physical Rhythm can make the work feel clear because it has energy and response. Watch for group momentum replacing careful understanding.|deep_focus|active|flow-state::social_exchange_physical_rhythm_deep_focus_creative_movement::narrowing_2
flow-state|social_exchange_physical_rhythm_deep_focus_creative_movement|narrowing_3|3|Settling before opening options|Deep Focus can strengthen the answer after exchange, but Creative Movement may be needed if the practical route is too narrow. One different frame can widen what gets taken forward.|creative_movement|active|flow-state::social_exchange_physical_rhythm_deep_focus_creative_movement::narrowing_3
flow-state|social_exchange_physical_rhythm_creative_movement_deep_focus|narrowing_1|1|Letting live feedback outrun judgement|Social Exchange can narrow when response arrives faster than the work can be understood. A pause for independent judgement may make the feedback more useful.|deep_focus|active|flow-state::social_exchange_physical_rhythm_creative_movement_deep_focus::narrowing_1
flow-state|social_exchange_physical_rhythm_creative_movement_deep_focus|narrowing_2|2|Turning shared momentum into the answer|Social Exchange and Physical Rhythm can make progress feel obvious in the moment. The risk is that the work follows pace and reaction before the deeper point is clear.|deep_focus|active|flow-state::social_exchange_physical_rhythm_creative_movement_deep_focus::narrowing_2
flow-state|social_exchange_physical_rhythm_creative_movement_deep_focus|narrowing_3|3|Opening without finishing|Creative Movement can add another route, but Deep Focus may be needed to complete the chosen one. Without it, the pattern may stay responsive, active, and unfinished.|deep_focus|active|flow-state::social_exchange_physical_rhythm_creative_movement_deep_focus::narrowing_3
