domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|concentrated|physical_rhythm|deep_focus|creative_movement|social_exchange|Why movement helps attention start|This pattern works by giving attention something physical or practical to organise around. Deep Focus gives the work substance, Creative Movement adds variation, and Social Exchange tests whether the result is clear to someone else.|It may show up because movement, pace, making, sorting, or a steady routine makes the work easier to enter than sitting still and forcing attention.|It protects energy, practical momentum, and a reliable way to begin. The trade-off is that motion can continue after the work needs stillness, feedback, or a clear decision.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::concentrated
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|paired|physical_rhythm|deep_focus|creative_movement|social_exchange|Why rhythm and focus repeat together|This pattern works through a close link between movement and attention. Physical Rhythm helps the mind switch on, while Deep Focus gives the active start depth, care, and follow-through.|It may show up because the person trusts focus more once the body, setting, or pace has helped attention arrive. The pair can make demanding work feel more workable.|It protects active concentration. The trade-off is that ideas and outside response may arrive after rhythm and focus have already set the route.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::paired
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|graduated|physical_rhythm|deep_focus|creative_movement|social_exchange|Why the order moves from action to testing|This pattern works as a sequence. Physical Rhythm starts attention, Deep Focus gives the work substance, Creative Movement adds variation, and Social Exchange checks whether the result lands outside the person's own process.|It may show up because action gives the mind a practical place to begin. Each later signal then helps the work become deeper, less repetitive, and easier to test.|It protects steady progress from entry to usefulness. The trade-off is that feedback may wait until the work has already moved through several private stages.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::graduated
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|balanced|physical_rhythm|deep_focus|creative_movement|social_exchange|Why several routes can start the work|This pattern works with several usable conditions, with Physical Rhythm only lightly first. Movement, focus, ideas, and conversation may each help depending on what the task needs.|It may show up because some work needs pace or practical action, some needs quiet attention, some needs a fresh angle, and some needs another person to test it.|It protects flexible entry into work. The trade-off is that the person may switch conditions too quickly instead of giving the right route enough time to work.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::balanced
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|concentrated|physical_rhythm|deep_focus|social_exchange|creative_movement|Why rhythm needs a clear test|This pattern works by using movement or practical rhythm to make attention available, then giving the work substance and an outside check. Creative Movement may need deliberate room when the work becomes too fixed.|It may show up because the person trusts a route that feels active, steady, and understandable before it becomes more exploratory. Conversation can make the result clearer once focus has done its work.|It protects practical depth and clear translation. The trade-off is that new angles may be invited late, after the route already feels settled.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::concentrated
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|paired|physical_rhythm|deep_focus|social_exchange|creative_movement|Why action needs focus|This pattern works through a close link between practical movement and careful attention. Physical Rhythm helps the work start, while Deep Focus keeps that action from becoming only activity.|It may show up because the person often needs pace, setup, or physical engagement before concentration feels available. Once attention arrives, the work can become more substantial.|It protects steady progress with depth. The trade-off is that Social Exchange and Creative Movement may need to be brought in deliberately so the work is tested and kept open enough.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::paired
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|graduated|physical_rhythm|deep_focus|social_exchange|creative_movement|Why the sequence tests before it opens|This pattern works through a clear order. Physical Rhythm starts momentum, Deep Focus deepens the work, Social Exchange tests or translates it, and Creative Movement adds later range.|It may show up because the person trusts work that has become active, careful, and understandable before it becomes more experimental. The sequence makes the result feel reliable.|It protects grounded clarity. The trade-off is that a fresher angle may be delayed until the work already has a strong practical shape.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::graduated
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|balanced|physical_rhythm|deep_focus|social_exchange|creative_movement|Why practical routes stay flexible|This pattern works with movement, focus, exchange, and ideas all close enough to matter. Physical Rhythm appears first, but the route may change with the work.|It may show up because some tasks need a practical start, some need careful thought, some need a useful response, and some need a different angle.|It protects flexible steadiness. The trade-off is that the familiar practical route may crowd out possibility unless Creative Movement is treated as a real option.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::balanced
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|concentrated|physical_rhythm|creative_movement|deep_focus|social_exchange|Why movement opens the next idea|This pattern works by using movement, pace, or practical engagement to help ideas start moving. Creative Movement adds range, Deep Focus gives the strongest idea substance, and Social Exchange tests the result.|It may show up because the person finds fresh angles through walking, making, changing setting, handling materials, or working with a rhythm. Action gives possibility somewhere to begin.|It protects energy, variation, and a way out of stuckness. The trade-off is that focus or external testing may arrive after momentum has already built.|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::concentrated
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|paired|physical_rhythm|creative_movement|deep_focus|social_exchange|Why movement and ideas keep each other alive|This pattern works through a close link between state change and possibility. Physical Rhythm starts the system moving, while Creative Movement keeps that movement from becoming repetitive or too narrow.|It may show up because the person often thinks better while moving, making, pacing, changing location, or working with practical materials. Ideas can arrive because the work is already in motion.|It protects active originality. The trade-off is that Deep Focus may need deliberate use so the best idea gains care, detail, and completion.|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::paired
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|graduated|physical_rhythm|creative_movement|deep_focus|social_exchange|Why the sequence moves before it settles|This pattern works in a stepped order. Physical Rhythm starts attention, Creative Movement opens options, Deep Focus develops the strongest direction, and Social Exchange checks whether the result is clear.|It may show up because action and possibility help each other early. The person may trust momentum first, then use focus once there is an idea worth developing.|It protects ideas that gain traction through practical engagement. The trade-off is that feedback may wait until the work has already moved, opened, and gained a stronger base.|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::graduated
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|balanced|physical_rhythm|creative_movement|deep_focus|social_exchange|Why pace, ideas, and focus all matter|This pattern works as a flexible set of conditions, with Physical Rhythm lightly first. Creative Movement may open the route, Deep Focus may give it weight, and Social Exchange may test it.|It may show up because different tasks ask for different entries. Some need movement, some need a fresh angle, some need quiet attention, and some need a response from another person.|It protects adaptable progress. The trade-off is that conversation may be treated as a later check even when earlier response would make the work clearer.|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::balanced
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|concentrated|physical_rhythm|creative_movement|social_exchange|deep_focus|Why active ideas need a finish point|This pattern works by using movement and ideas to create early energy, then using exchange to test what is emerging. Deep Focus may need deliberate use when the result needs care, finish, or refinement.|It may show up because the person trusts work that becomes clearer through action, variation, and response. A static start may feel less reliable than doing a rough version and seeing what changes.|It protects momentum, range, and quick testing. The trade-off is that careful focus can arrive late if the work keeps moving before it settles.|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::concentrated
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|paired|physical_rhythm|creative_movement|social_exchange|deep_focus|Why rhythm needs variation|This pattern works through a close link between practical rhythm and fresh angles. Physical Rhythm gives the work momentum, while Creative Movement keeps that momentum responsive and less automatic.|It may show up because the person often finds a better route by doing, adjusting, making, moving, or changing pace. Ideas help the action stay flexible rather than repetitive.|It protects active range. The trade-off is that Social Exchange and Deep Focus may need deliberate space so the idea is tested, refined, and completed.|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::paired
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|graduated|physical_rhythm|creative_movement|social_exchange|deep_focus|Why the route tests before it refines|This pattern works through a clear order. Physical Rhythm starts momentum, Creative Movement adds variation, Social Exchange tests the idea, and Deep Focus gives the final work substance.|It may show up because practical activity and fresh angles help each other before heavy analysis is useful. Response then shows what is clear before focus is needed to finish.|It protects active experimentation that can become visible quickly. The trade-off is that careful refinement may be delayed until the work already has social or practical momentum.|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::graduated
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|balanced|physical_rhythm|creative_movement|social_exchange|deep_focus|Why several active routes stay available|This pattern works with movement, ideas, exchange, and focus all close enough to matter. Physical Rhythm appears first, but the route may change with the task.|It may show up because some work needs practical motion, some needs a fresh angle, some needs live response, and some needs quiet attention before it is complete.|It protects adaptable momentum. The trade-off is that the familiar active route may crowd out careful focus unless Deep Focus is treated as a real option.|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::balanced
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|concentrated|physical_rhythm|social_exchange|deep_focus|creative_movement|Why movement and exchange create clarity|This pattern works by using movement or practical rhythm with live response. Social Exchange gives the rhythm a feedback loop, Deep Focus adds substance, and Creative Movement may need deliberate room when the work becomes too fixed.|It may show up because talking while doing, demonstrating, walking through an issue, or working alongside someone helps attention and meaning come into the open.|It protects shared momentum and practical clarity. The trade-off is that ideas may need to be invited deliberately when the route becomes too settled or only practical.|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::concentrated
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|paired|physical_rhythm|social_exchange|deep_focus|creative_movement|Why doing and talking repeat together|This pattern works through a close link between practical engagement and live response. Physical Rhythm keeps the work active, while Social Exchange tests and clarifies it in real time.|It may show up because the person often thinks better while demonstrating, walking through a problem, making something visible, or working in response to another person.|It protects shared clarity through action. The trade-off is that Deep Focus and Creative Movement may need deliberate room so the result gains substance and range.|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::paired
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|graduated|physical_rhythm|social_exchange|deep_focus|creative_movement|Why the sequence moves from contact to depth|This pattern works in a clear order. Physical Rhythm starts momentum, Social Exchange tests it, Deep Focus deepens it, and Creative Movement adds a less obvious route when needed.|It may show up because doing and talking help each other early. The exchange shows what is clear, then focus gives the useful part more care and weight.|It protects practical work that can become clear to others. The trade-off is that possibility may be delayed until the work has already been acted, tested, and deepened.|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::graduated
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|balanced|physical_rhythm|social_exchange|deep_focus|creative_movement|Why action, response, and focus stay flexible|This pattern works with several close routes. Physical Rhythm starts lightly first, while Social Exchange, Deep Focus, and Creative Movement each offer a meaningful way to keep the work useful.|It may show up because the task may need movement, a useful conversation, quiet attention, or a fresh angle at different moments. The ranking should be read lightly.|It protects flexible practical clarity. The trade-off is that the person may default to doing and testing before giving possibility enough room.|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::balanced
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|concentrated|physical_rhythm|social_exchange|creative_movement|deep_focus|Why shared momentum needs finishing|This pattern works by using movement and exchange to create early momentum. Social Exchange tests what is happening, Creative Movement adds range, and Deep Focus may need deliberate use for finish and refinement.|It may show up because the person trusts work that develops through pace, activity, feedback, and visible movement. A quiet start may feel less reliable than getting the work into motion with someone or something to respond to.|It protects relevance, energy, and shared progress. The trade-off is that careful focus can arrive late, after the work has already gathered speed.|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::concentrated
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|paired|physical_rhythm|social_exchange|creative_movement|deep_focus|Why movement needs a response loop|This pattern works through a close mechanism of practical rhythm and exchange. Physical Rhythm gives the work pace, while Social Exchange tests it through reaction, questions, demonstration, or shared problem-solving.|It may show up because the person often understands the work better once it is active and in contact with another person. Creative Movement then adds new angles when the route needs range.|It protects momentum that can become shared clarity. The trade-off is that Deep Focus may need to be added deliberately so the result gains detail, care, and completion.|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::paired
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|graduated|physical_rhythm|social_exchange|creative_movement|deep_focus|Why momentum comes before refinement|This pattern works in a stepped order. Physical Rhythm starts the process, Social Exchange tests it, Creative Movement widens it, and Deep Focus gives the final work substance.|It may show up because shared response helps the work find direction quickly. Ideas then add range before focus is needed to finish the best direction well.|It protects lively progress that can stay responsive. The trade-off is that careful refinement may be delayed until the work has already moved through several active stages.|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::graduated
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|balanced|physical_rhythm|social_exchange|creative_movement|deep_focus|Why several routes keep momentum useful|This pattern works with movement, exchange, ideas, and focus all available. Physical Rhythm is only lightly first, while the other routes can each help momentum become clearer or more usable.|It may show up because the best route changes with the task. Some work needs shared pace, some needs live response, some needs a new angle, and some needs quiet attention before it is ready.|It protects flexible momentum. The trade-off is that the person may rely on energy and response before giving the best direction enough focused care.|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::balanced
