domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
leadership-approach|people_results_process_vision|narrowing_1|1|When consideration delays the call|People can narrow when keeping confidence and inclusion intact delays a call that now needs to be made. The work may feel considered, but standards, direction, or ownership can remain unclear for longer than the situation allows.|vision|active|leadership-approach::people_results_process_vision::narrowing_1
leadership-approach|people_results_process_vision|narrowing_2|2|When People and Results take most of the space|People and Results can narrow together when the combination of trust, communication, and shared commitment with decision, ownership, and follow-through answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer sequence, standards, or handover or a stronger future frame and reason for the work until the work is harder to adjust.|process|active|leadership-approach::people_results_process_vision::narrowing_2
leadership-approach|people_results_process_vision|narrowing_3|3|Before Vision is added|Process can add range before Vision is brought in deliberately, but the pattern may still narrow if Vision is left until later. The likely miss is decisions that solve the immediate pressure but do not explain what the work is meant to lead towards, especially when People and Results already feel convincing.|vision|active|leadership-approach::people_results_process_vision::narrowing_3
leadership-approach|people_results_vision_process|narrowing_1|1|When consideration delays the call|People can narrow when keeping confidence and inclusion intact delays a call that now needs to be made. The work may feel considered, but standards, direction, or ownership can remain unclear for longer than the situation allows.|process|active|leadership-approach::people_results_vision_process::narrowing_1
leadership-approach|people_results_vision_process|narrowing_2|2|When People and Results take most of the space|People and Results can narrow together when the combination of trust, communication, and shared commitment with decision, ownership, and follow-through answers the first questions too quickly. The pattern may look productive, but it can leave less room for a stronger future frame and reason for the work or clearer sequence, standards, or handover until the work is harder to adjust.|vision|active|leadership-approach::people_results_vision_process::narrowing_2
leadership-approach|people_results_vision_process|narrowing_3|3|Before Process is added|Vision can add range before Process is brought in deliberately, but the pattern may still narrow if Process is left until later. The likely miss is energy that depends on individual effort because the method is not yet clear enough to repeat, especially when People and Results already feel convincing.|process|active|leadership-approach::people_results_vision_process::narrowing_3
leadership-approach|people_process_results_vision|narrowing_1|1|When consideration delays the call|People can narrow when keeping confidence and inclusion intact delays a call that now needs to be made. The work may feel considered, but standards, direction, or ownership can remain unclear for longer than the situation allows.|vision|active|leadership-approach::people_process_results_vision::narrowing_1
leadership-approach|people_process_results_vision|narrowing_2|2|When People and Process take most of the space|People and Process can narrow together when the combination of trust, communication, and shared commitment with sequence, standards, and dependable handover answers the first questions too quickly. The pattern may look productive, but it can leave less room for a firmer outcome, owner, or next decision or a stronger future frame and reason for the work until the work is harder to adjust.|results|active|leadership-approach::people_process_results_vision::narrowing_2
leadership-approach|people_process_results_vision|narrowing_3|3|Before Vision is added|Results can add range before Vision is brought in deliberately, but the pattern may still narrow if Vision is left until later. The likely miss is decisions that solve the immediate pressure but do not explain what the work is meant to lead towards, especially when People and Process already feel convincing.|vision|active|leadership-approach::people_process_results_vision::narrowing_3
leadership-approach|people_process_vision_results|narrowing_1|1|When consideration delays the call|People can narrow when keeping confidence and inclusion intact delays a call that now needs to be made. The work may feel considered, but standards, direction, or ownership can remain unclear for longer than the situation allows.|results|active|leadership-approach::people_process_vision_results::narrowing_1
leadership-approach|people_process_vision_results|narrowing_2|2|When People and Process take most of the space|People and Process can narrow together when the combination of trust, communication, and shared commitment with sequence, standards, and dependable handover answers the first questions too quickly. The pattern may look productive, but it can leave less room for a stronger future frame and reason for the work or a firmer outcome, owner, or next decision until the work is harder to adjust.|vision|active|leadership-approach::people_process_vision_results::narrowing_2
leadership-approach|people_process_vision_results|narrowing_3|3|Before Results is added|Vision can add range before Results is brought in deliberately, but the pattern may still narrow if Results is left until later. The likely miss is work that feels well discussed but does not yet have a named owner, outcome, or next move, especially when People and Process already feel convincing.|results|active|leadership-approach::people_process_vision_results::narrowing_3
leadership-approach|people_vision_results_process|narrowing_1|1|When consideration delays the call|People can narrow when keeping confidence and inclusion intact delays a call that now needs to be made. The work may feel considered, but standards, direction, or ownership can remain unclear for longer than the situation allows.|process|active|leadership-approach::people_vision_results_process::narrowing_1
leadership-approach|people_vision_results_process|narrowing_2|2|When People and Vision take most of the space|People and Vision can narrow together when the combination of trust, communication, and shared commitment with direction, meaning, and future consequence answers the first questions too quickly. The pattern may look productive, but it can leave less room for a firmer outcome, owner, or next decision or clearer sequence, standards, or handover until the work is harder to adjust.|results|active|leadership-approach::people_vision_results_process::narrowing_2
leadership-approach|people_vision_results_process|narrowing_3|3|Before Process is added|Results can add range before Process is brought in deliberately, but the pattern may still narrow if Process is left until later. The likely miss is energy that depends on individual effort because the method is not yet clear enough to repeat, especially when People and Vision already feel convincing.|process|active|leadership-approach::people_vision_results_process::narrowing_3
leadership-approach|people_vision_process_results|narrowing_1|1|When consideration delays the call|People can narrow when keeping confidence and inclusion intact delays a call that now needs to be made. The work may feel considered, but standards, direction, or ownership can remain unclear for longer than the situation allows.|results|active|leadership-approach::people_vision_process_results::narrowing_1
leadership-approach|people_vision_process_results|narrowing_2|2|When People and Vision take most of the space|People and Vision can narrow together when the combination of trust, communication, and shared commitment with direction, meaning, and future consequence answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer sequence, standards, or handover or a firmer outcome, owner, or next decision until the work is harder to adjust.|process|active|leadership-approach::people_vision_process_results::narrowing_2
leadership-approach|people_vision_process_results|narrowing_3|3|Before Results is added|Process can add range before Results is brought in deliberately, but the pattern may still narrow if Results is left until later. The likely miss is work that feels well discussed but does not yet have a named owner, outcome, or next move, especially when People and Vision already feel convincing.|results|active|leadership-approach::people_vision_process_results::narrowing_3
