domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|headline|recognition_statement|recognition_expansion|status|lookup_key
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|concentrated|physical_rhythm|deep_focus|creative_movement|social_exchange|Flow starts when your body gets involved|You are most likely to find flow when movement, pace, or physical engagement helps attention switch on.|This pattern often shows up when sitting still makes the work feel harder than it needs to. You may think better while walking, pacing, making, training, sorting, practising, or working with a steady rhythm. Deep Focus then helps you stay with what matters once your energy is engaged. Creative Movement can bring in new angles when action starts to become repetitive. Social Exchange becomes useful when the work needs to make sense to someone else.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::concentrated
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|paired|physical_rhythm|deep_focus|creative_movement|social_exchange|Movement that turns into depth|You are likely to find flow when physical rhythm and focused attention work closely together.|This result may feel familiar if movement, pace, or practical action helps you enter the work, but the work then needs quiet attention to become substantial. You may start by doing, walking, sorting, practising, or changing state, then settle into the part that needs care. Creative Movement adds variation when the route becomes too repetitive. Social Exchange helps test whether the result is clear to someone else.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::paired
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|graduated|physical_rhythm|deep_focus|creative_movement|social_exchange|Move first, then focus|You are likely to reach flow through a clear order: movement starts attention, focus gives the work substance, ideas add range, and conversation tests the result.|This pattern may show up when action gives the mind a practical place to begin. Deep Focus helps you stay with the important part once attention has switched on. Creative Movement can refresh the work when rhythm becomes too narrow. Social Exchange is useful when the result needs to be checked beyond your own momentum.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::graduated
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|balanced|physical_rhythm|deep_focus|creative_movement|social_exchange|Several ways to enter the work|You may find flow through movement, focus, ideas, or conversation depending on what the task needs.|Physical Rhythm appears first, but not by enough to make the result one-sided. Some work may need pace or practical action. Some may need quiet attention, a fresh angle, or another person to test the result. The useful question is which condition helps attention become available now.|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::balanced
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|concentrated|physical_rhythm|deep_focus|social_exchange|creative_movement|Movement before shared clarity|You are most likely to find flow when movement or rhythm helps attention start, then focus and conversation make the work clearer.|This pattern often shows up when pace, environment, routine, or practical action gives you a way into the task. Deep Focus helps the work gain substance once attention is engaged. Social Exchange can test or translate the result for someone else. Creative Movement may need deliberate room when the work becomes too fixed or practical too soon.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::concentrated
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|paired|physical_rhythm|deep_focus|social_exchange|creative_movement|Steady action with careful attention|You are likely to find flow when physical rhythm and deep focus sit close together.|This result may feel recognisable if you need movement, pace, or practical setup before concentration becomes easier. Once the body or environment helps attention arrive, Deep Focus gives the work care and depth. Social Exchange can check whether the result makes sense beyond your own process. Creative Movement is useful range when the work needs a less obvious angle.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::paired
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|graduated|physical_rhythm|deep_focus|social_exchange|creative_movement|Action, focus, then response|You are likely to reach flow through a sequence where movement starts the work, focus deepens it, conversation tests it, and ideas add range when needed.|This pattern may show up when a steady rhythm helps you begin before the work asks for careful thought. Deep Focus helps you stay with what matters. Social Exchange can reveal whether the work is clear to another person. Creative Movement may need to be invited when the result starts to feel too settled or purely practical.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::graduated
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|balanced|physical_rhythm|deep_focus|social_exchange|creative_movement|Flexible flow with a practical start|You may find flow through several close conditions, with movement first but focus, exchange, and ideas all meaningful.|This balanced result should be read lightly. A demanding task may need rhythm and quiet attention. A shared task may need conversation. A stuck task may need a fresh angle. Physical Rhythm is the first place to look, but the pattern works best when you choose the condition that fits the work now.|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::balanced
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|concentrated|physical_rhythm|creative_movement|deep_focus|social_exchange|Movement opens the next idea|You are most likely to find flow when movement, pace, or practical action helps ideas start moving.|This pattern often shows up when thinking loosens through walking, making, changing setting, handling materials, or working with a rhythm. Creative Movement gives the activity more range and possibility. Deep Focus helps the strongest idea become substantial once it appears. Social Exchange becomes useful when the work needs to be tested outside your own view.|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::concentrated
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|paired|physical_rhythm|creative_movement|deep_focus|social_exchange|Ideas that move with the work|You are likely to find flow when physical rhythm and idea movement work closely together.|This result may feel familiar if your best ideas often appear while you are moving, making, pacing, changing state, or working with your hands. Creative Movement keeps the rhythm from becoming only repetition. Deep Focus gives the best idea enough attention to become useful. Social Exchange helps test whether the result makes sense to someone else.|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::paired
