domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
leadership_approach|process_results_vision_people|strength_1|1|Dependable coordination|When this pattern is working well, Process gives leadership a steadier way to organise work. Steps, standards, and responsibilities become clearer, so people can act with less confusion and less rework.|process|active|leadership_approach::process_results_vision_people::strength_1
leadership_approach|process_results_vision_people|strength_2|2|Structure that turns into action|Process and Results together can make structure practical rather than heavy. The strength is that standards, steps, and responsibilities are connected to decisions and visible progress.|results|active|leadership_approach::process_results_vision_people::strength_2
leadership_approach|process_results_vision_people|strength_3|3|Range through stronger trust after Vision|Vision can broaden the first two signals before People is brought in deliberately. People adds range when the pattern has movement, structure, or direction and now needs better communication around the human impact. It can make progress more sustainable because people understand their part in the work.|people|active|leadership_approach::process_results_vision_people::strength_3
leadership_approach|process_results_people_vision|strength_1|1|Dependable coordination|When this pattern is working well, Process gives leadership a steadier way to organise work. Steps, standards, and responsibilities become clearer, so people can act with less confusion and less rework.|process|active|leadership_approach::process_results_people_vision::strength_1
leadership_approach|process_results_people_vision|strength_2|2|Structure that turns into action|Process and Results together can make structure practical rather than heavy. The strength is that standards, steps, and responsibilities are connected to decisions and visible progress.|results|active|leadership_approach::process_results_people_vision::strength_2
leadership_approach|process_results_people_vision|strength_3|3|Range through wider direction after People|People can broaden the first two signals before Vision is brought in deliberately. Vision adds range when the pattern is handling people, structure, or delivery and now needs a stronger reason for the work. It can lift the decision from the immediate task to meaning and future consequence.|vision|active|leadership_approach::process_results_people_vision::strength_3
leadership_approach|process_vision_results_people|strength_1|1|Dependable coordination|When this pattern is working well, Process gives leadership a steadier way to organise work. Steps, standards, and responsibilities become clearer, so people can act with less confusion and less rework.|process|active|leadership_approach::process_vision_results_people::strength_1
leadership_approach|process_vision_results_people|strength_2|2|Structure with a reason|Process and Vision together can make change feel more coherent. The strength is that future direction is given a working path, so the bigger frame can be translated into organised action.|vision|active|leadership_approach::process_vision_results_people::strength_2
leadership_approach|process_vision_results_people|strength_3|3|Range through stronger trust after Results|Results can broaden the first two signals before People is brought in deliberately. People adds range when the pattern has movement, structure, or direction and now needs better communication around the human impact. It can make progress more sustainable because people understand their part in the work.|people|active|leadership_approach::process_vision_results_people::strength_3
leadership_approach|process_vision_people_results|strength_1|1|Dependable coordination|When this pattern is working well, Process gives leadership a steadier way to organise work. Steps, standards, and responsibilities become clearer, so people can act with less confusion and less rework.|process|active|leadership_approach::process_vision_people_results::strength_1
leadership_approach|process_vision_people_results|strength_2|2|Structure with a reason|Process and Vision together can make change feel more coherent. The strength is that future direction is given a working path, so the bigger frame can be translated into organised action.|vision|active|leadership_approach::process_vision_people_results::strength_2
leadership_approach|process_vision_people_results|strength_3|3|Range through firmer ownership after People|People can broaden the first two signals before Results is brought in deliberately. Results adds range when the pattern has already created trust, structure, or direction and now needs a clearer decision. It can turn good leadership intent into ownership, visible movement, and follow-through.|results|active|leadership_approach::process_vision_people_results::strength_3
leadership_approach|process_people_results_vision|strength_1|1|Dependable coordination|When this pattern is working well, Process gives leadership a steadier way to organise work. Steps, standards, and responsibilities become clearer, so people can act with less confusion and less rework.|process|active|leadership_approach::process_people_results_vision::strength_1
leadership_approach|process_people_results_vision|strength_2|2|Structure people can trust|Process and People together can make the way of working feel clear and considered. The strength is that people are not left guessing about standards, roles, communication, or how to contribute.|people|active|leadership_approach::process_people_results_vision::strength_2
leadership_approach|process_people_results_vision|strength_3|3|Range through wider direction after Results|Results can broaden the first two signals before Vision is brought in deliberately. Vision adds range when the pattern is handling people, structure, or delivery and now needs a stronger reason for the work. It can lift the decision from the immediate task to meaning and future consequence.|vision|active|leadership_approach::process_people_results_vision::strength_3
leadership_approach|process_people_vision_results|strength_1|1|Dependable coordination|When this pattern is working well, Process gives leadership a steadier way to organise work. Steps, standards, and responsibilities become clearer, so people can act with less confusion and less rework.|process|active|leadership_approach::process_people_vision_results::strength_1
leadership_approach|process_people_vision_results|strength_2|2|Structure people can trust|Process and People together can make the way of working feel clear and considered. The strength is that people are not left guessing about standards, roles, communication, or how to contribute.|people|active|leadership_approach::process_people_vision_results::strength_2
leadership_approach|process_people_vision_results|strength_3|3|Range through firmer ownership after Vision|Vision can broaden the first two signals before Results is brought in deliberately. Results adds range when the pattern has already created trust, structure, or direction and now needs a clearer decision. It can turn good leadership intent into ownership, visible movement, and follow-through.|results|active|leadership_approach::process_people_vision_results::strength_3
