domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
leadership_approach|process_results_vision_people|concentrated|process|results|vision|people|How Process organises the response|Process is likely to organise the first response by setting a clear sequence, standards, responsibilities, and a dependable way of working. Results and Vision add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes order, repeatability, and reduced rework feel like the clearest way to begin. The next signals test whether the work also has a clear outcome and a decision people can act on, a wider direction and a reason for the choice being made, and communication, confidence, and shared commitment.|It protects the work from confusion, uneven standards, avoidable rework, and messy handovers. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership_approach::process_results_vision_people::concentrated
leadership_approach|process_results_vision_people|paired|process|results|vision|people|How Process and Results work together|Process and Results tend to operate as a close working pair. Process gives the first entry point, while Results quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both usable structure and a sequence people can trust and a clear outcome and a decision people can act on. Vision can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between structure and standards and outcome and follow-through. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership_approach::process_results_vision_people::paired
leadership_approach|process_results_vision_people|graduated|process|results|vision|people|How the pattern moves from Process to People|The pattern tends to move in steps: Process starts the response, Results gives the next influence, Vision adds support, and People may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from structure and standards towards direction and future consequence. The main watch point is leaving clearer communication, inclusion, and relational judgement until the work has already narrowed.|active|leadership_approach::process_results_vision_people::graduated
leadership_approach|process_results_vision_people|balanced|process|results|vision|people|How the pattern moves between Process, Results, Vision, and People|The pattern may have several usable entry points. Process may appear first, but context can quickly call for Results, Vision, or People without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across structure and standards, outcome and follow-through, direction and future consequence, and trust and shared commitment. It needs a clear current priority so others can follow the shift.|active|leadership_approach::process_results_vision_people::balanced
leadership_approach|process_results_people_vision|concentrated|process|results|people|vision|How Process organises the response|Process is likely to organise the first response by setting a clear sequence, standards, responsibilities, and a dependable way of working. Results and People add useful checks, while Vision may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes order, repeatability, and reduced rework feel like the clearest way to begin. The next signals test whether the work also has a clear outcome and a decision people can act on, communication, confidence, and shared commitment, and a wider direction and a reason for the choice being made.|It protects the work from confusion, uneven standards, avoidable rework, and messy handovers. The main range to add is a stronger future frame, meaning, and possibility, especially when the first response has already created movement.|active|leadership_approach::process_results_people_vision::concentrated
leadership_approach|process_results_people_vision|paired|process|results|people|vision|How Process and Results work together|Process and Results tend to operate as a close working pair. Process gives the first entry point, while Results quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both usable structure and a sequence people can trust and a clear outcome and a decision people can act on. People can steady the pair, and Vision is the range to bring in before the pair becomes too narrow.|It protects the link between structure and standards and outcome and follow-through. It also needs enough room for a stronger future frame, meaning, and possibility when the top pair starts to take most of the attention.|active|leadership_approach::process_results_people_vision::paired
leadership_approach|process_results_people_vision|graduated|process|results|people|vision|How the pattern moves from Process to Vision|The pattern tends to move in steps: Process starts the response, Results gives the next influence, People adds support, and Vision may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from structure and standards towards trust and shared commitment. The main watch point is leaving a stronger future frame, meaning, and possibility until the work has already narrowed.|active|leadership_approach::process_results_people_vision::graduated
leadership_approach|process_results_people_vision|balanced|process|results|people|vision|How the pattern moves between Process, Results, People, and Vision|The pattern may have several usable entry points. Process may appear first, but context can quickly call for Results, People, or Vision without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across structure and standards, outcome and follow-through, trust and shared commitment, and direction and future consequence. It needs a clear current priority so others can follow the shift.|active|leadership_approach::process_results_people_vision::balanced
leadership_approach|process_vision_results_people|concentrated|process|vision|results|people|How Process organises the response|Process is likely to organise the first response by setting a clear sequence, standards, responsibilities, and a dependable way of working. Vision and Results add useful checks, while People may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes order, repeatability, and reduced rework feel like the clearest way to begin. The next signals test whether the work also has a wider direction and a reason for the choice being made, a clear outcome and a decision people can act on, and communication, confidence, and shared commitment.|It protects the work from confusion, uneven standards, avoidable rework, and messy handovers. The main range to add is clearer communication, inclusion, and relational judgement, especially when the first response has already created movement.|active|leadership_approach::process_vision_results_people::concentrated
leadership_approach|process_vision_results_people|paired|process|vision|results|people|How Process and Vision work together|Process and Vision tend to operate as a close working pair. Process gives the first entry point, while Vision quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both usable structure and a sequence people can trust and a wider direction and a reason for the choice being made. Results can steady the pair, and People is the range to bring in before the pair becomes too narrow.|It protects the link between structure and standards and direction and future consequence. It also needs enough room for clearer communication, inclusion, and relational judgement when the top pair starts to take most of the attention.|active|leadership_approach::process_vision_results_people::paired
leadership_approach|process_vision_results_people|graduated|process|vision|results|people|How the pattern moves from Process to People|The pattern tends to move in steps: Process starts the response, Vision gives the next influence, Results adds support, and People may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from structure and standards towards outcome and follow-through. The main watch point is leaving clearer communication, inclusion, and relational judgement until the work has already narrowed.|active|leadership_approach::process_vision_results_people::graduated
leadership_approach|process_vision_results_people|balanced|process|vision|results|people|How the pattern moves between Process, Vision, Results, and People|The pattern may have several usable entry points. Process may appear first, but context can quickly call for Vision, Results, or People without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across structure and standards, direction and future consequence, outcome and follow-through, and trust and shared commitment. It needs a clear current priority so others can follow the shift.|active|leadership_approach::process_vision_results_people::balanced
leadership_approach|process_vision_people_results|concentrated|process|vision|people|results|How Process organises the response|Process is likely to organise the first response by setting a clear sequence, standards, responsibilities, and a dependable way of working. Vision and People add useful checks, while Results may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes order, repeatability, and reduced rework feel like the clearest way to begin. The next signals test whether the work also has a wider direction and a reason for the choice being made, communication, confidence, and shared commitment, and a clear outcome and a decision people can act on.|It protects the work from confusion, uneven standards, avoidable rework, and messy handovers. The main range to add is firmer outcome, ownership, and follow-through, especially when the first response has already created movement.|active|leadership_approach::process_vision_people_results::concentrated
leadership_approach|process_vision_people_results|paired|process|vision|people|results|How Process and Vision work together|Process and Vision tend to operate as a close working pair. Process gives the first entry point, while Vision quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both usable structure and a sequence people can trust and a wider direction and a reason for the choice being made. People can steady the pair, and Results is the range to bring in before the pair becomes too narrow.|It protects the link between structure and standards and direction and future consequence. It also needs enough room for firmer outcome, ownership, and follow-through when the top pair starts to take most of the attention.|active|leadership_approach::process_vision_people_results::paired
leadership_approach|process_vision_people_results|graduated|process|vision|people|results|How the pattern moves from Process to Results|The pattern tends to move in steps: Process starts the response, Vision gives the next influence, People adds support, and Results may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from structure and standards towards trust and shared commitment. The main watch point is leaving firmer outcome, ownership, and follow-through until the work has already narrowed.|active|leadership_approach::process_vision_people_results::graduated
leadership_approach|process_vision_people_results|balanced|process|vision|people|results|How the pattern moves between Process, Vision, People, and Results|The pattern may have several usable entry points. Process may appear first, but context can quickly call for Vision, People, or Results without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across structure and standards, direction and future consequence, trust and shared commitment, and outcome and follow-through. It needs a clear current priority so others can follow the shift.|active|leadership_approach::process_vision_people_results::balanced
leadership_approach|process_people_results_vision|concentrated|process|people|results|vision|How Process organises the response|Process is likely to organise the first response by setting a clear sequence, standards, responsibilities, and a dependable way of working. People and Results add useful checks, while Vision may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes order, repeatability, and reduced rework feel like the clearest way to begin. The next signals test whether the work also has communication, confidence, and shared commitment, a clear outcome and a decision people can act on, and a wider direction and a reason for the choice being made.|It protects the work from confusion, uneven standards, avoidable rework, and messy handovers. The main range to add is a stronger future frame, meaning, and possibility, especially when the first response has already created movement.|active|leadership_approach::process_people_results_vision::concentrated
leadership_approach|process_people_results_vision|paired|process|people|results|vision|How Process and People work together|Process and People tend to operate as a close working pair. Process gives the first entry point, while People quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both usable structure and a sequence people can trust and communication, confidence, and shared commitment. Results can steady the pair, and Vision is the range to bring in before the pair becomes too narrow.|It protects the link between structure and standards and trust and shared commitment. It also needs enough room for a stronger future frame, meaning, and possibility when the top pair starts to take most of the attention.|active|leadership_approach::process_people_results_vision::paired
leadership_approach|process_people_results_vision|graduated|process|people|results|vision|How the pattern moves from Process to Vision|The pattern tends to move in steps: Process starts the response, People gives the next influence, Results adds support, and Vision may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from structure and standards towards outcome and follow-through. The main watch point is leaving a stronger future frame, meaning, and possibility until the work has already narrowed.|active|leadership_approach::process_people_results_vision::graduated
leadership_approach|process_people_results_vision|balanced|process|people|results|vision|How the pattern moves between Process, People, Results, and Vision|The pattern may have several usable entry points. Process may appear first, but context can quickly call for People, Results, or Vision without making the response inconsistent.|This shows up when the situation contains several kinds of leadership demand at once. The useful skill is naming which need is current rather than moving between them silently.|It protects flexibility across structure and standards, trust and shared commitment, outcome and follow-through, and direction and future consequence. It needs a clear current priority so others can follow the shift.|active|leadership_approach::process_people_results_vision::balanced
leadership_approach|process_people_vision_results|concentrated|process|people|vision|results|How Process organises the response|Process is likely to organise the first response by setting a clear sequence, standards, responsibilities, and a dependable way of working. People and Vision add useful checks, while Results may need deliberate attention before the response becomes too narrow.|This shows up when pressure makes order, repeatability, and reduced rework feel like the clearest way to begin. The next signals test whether the work also has communication, confidence, and shared commitment, a wider direction and a reason for the choice being made, and a clear outcome and a decision people can act on.|It protects the work from confusion, uneven standards, avoidable rework, and messy handovers. The main range to add is firmer outcome, ownership, and follow-through, especially when the first response has already created movement.|active|leadership_approach::process_people_vision_results::concentrated
leadership_approach|process_people_vision_results|paired|process|people|vision|results|How Process and People work together|Process and People tend to operate as a close working pair. Process gives the first entry point, while People quickly changes how the response is explained, organised, or carried into action.|This shows up when the situation seems to need both usable structure and a sequence people can trust and communication, confidence, and shared commitment. Vision can steady the pair, and Results is the range to bring in before the pair becomes too narrow.|It protects the link between structure and standards and trust and shared commitment. It also needs enough room for firmer outcome, ownership, and follow-through when the top pair starts to take most of the attention.|active|leadership_approach::process_people_vision_results::paired
leadership_approach|process_people_vision_results|graduated|process|people|vision|results|How the pattern moves from Process to Results|The pattern tends to move in steps: Process starts the response, People gives the next influence, Vision adds support, and Results may need to be brought in deliberately.|This shows up when leadership attention follows a clear order rather than moving evenly between several options. Each step adds a different check on what the work now needs.|It protects a coherent sequence from structure and standards towards direction and future consequence. The main watch point is leaving firmer outcome, ownership, and follow-through until the work has already narrowed.|active|leadership_approach::process_people_vision_results::graduated
