question_number,option_label,signal_key,weight
1,A,driver,3
1,A,influencer,0
1,A,implementer,0
1,A,analyst,0
1,B,driver,0
1,B,influencer,0
1,B,implementer,3
1,B,analyst,0
1,C,driver,0
1,C,influencer,3
1,C,implementer,0
1,C,analyst,0
1,D,driver,0
1,D,influencer,0
1,D,implementer,0
1,D,analyst,3
2,A,driver,3
2,A,influencer,0
2,A,implementer,0
2,A,analyst,0
2,B,driver,0
2,B,influencer,0
2,B,implementer,3
2,B,analyst,0
2,C,driver,0
2,C,influencer,0
2,C,implementer,0
2,C,analyst,3
2,D,driver,1
2,D,influencer,0
2,D,implementer,3
2,D,analyst,0
3,A,driver,3
3,A,influencer,0
3,A,implementer,0
3,A,analyst,0
3,B,driver,0
3,B,influencer,0
3,B,implementer,0
3,B,analyst,3
3,C,driver,0
3,C,influencer,3
3,C,implementer,0
3,C,analyst,0
3,D,driver,3
3,D,influencer,0
3,D,implementer,0
3,D,analyst,0
4,A,driver,3
4,A,influencer,0
4,A,implementer,0
4,A,analyst,0
4,B,driver,0
4,B,influencer,0
4,B,implementer,3
4,B,analyst,0
4,C,driver,0
4,C,influencer,3
4,C,implementer,0
4,C,analyst,0
4,D,driver,0
4,D,influencer,0
4,D,implementer,0
4,D,analyst,3
5,A,driver,3
5,A,influencer,0
5,A,implementer,0
5,A,analyst,0
5,B,driver,0
5,B,influencer,0
5,B,implementer,0
5,B,analyst,3
5,C,driver,0
5,C,influencer,3
5,C,implementer,0
5,C,analyst,0
5,D,driver,0
5,D,influencer,0
5,D,implementer,3
5,D,analyst,0
6,A,driver,3
6,A,influencer,0
6,A,implementer,0
6,A,analyst,0
6,B,driver,0
6,B,influencer,0
6,B,implementer,3
6,B,analyst,0
6,C,driver,0
6,C,influencer,0
6,C,implementer,0
6,C,analyst,3
6,D,driver,0
6,D,influencer,0
6,D,implementer,0
6,D,analyst,3
7,A,driver,3
7,A,influencer,0
7,A,implementer,0
7,A,analyst,0
7,B,driver,0
7,B,influencer,0
7,B,implementer,3
7,B,analyst,0
7,C,driver,0
7,C,influencer,3
7,C,implementer,0
7,C,analyst,0
7,D,driver,0
7,D,influencer,0
7,D,implementer,0
7,D,analyst,3
8,A,driver,3
8,A,influencer,0
8,A,implementer,0
8,A,analyst,0
8,B,driver,0
8,B,influencer,0
8,B,implementer,3
8,B,analyst,0
8,C,driver,0
8,C,influencer,0
8,C,implementer,0
8,C,analyst,3
8,D,driver,0
8,D,influencer,0
8,D,implementer,0
8,D,analyst,3
9,A,driver,3
9,A,influencer,0
9,A,implementer,0
9,A,analyst,0
9,B,driver,0
9,B,influencer,3
9,B,implementer,0
9,B,analyst,0
9,C,driver,0
9,C,influencer,3
9,C,implementer,0
9,C,analyst,0
9,D,driver,0
9,D,influencer,0
9,D,implementer,0
9,D,analyst,3
10,A,driver,3
