domain_key|pattern_key|narrowing_key|priority|narrowing_title|narrowing_text|missing_range_signal_key|status|lookup_key
leadership-approach|results_process_vision_people|narrowing_1|1|When movement gets ahead of the whole picture|Results can narrow when urgency pulls attention towards the next decision before the wider conditions are clear. The work may gain movement, but it can also skip the structure, future reason, or trust needed for follow-through to hold.|people|active|leadership-approach::results_process_vision_people::narrowing_1
leadership-approach|results_process_vision_people|narrowing_2|2|When Results and Process take most of the space|Results and Process can narrow together when the combination of decision, ownership, and follow-through with sequence, standards, and dependable handover answers the first questions too quickly. The pattern may look productive, but it can leave less room for a stronger future frame and reason for the work or clearer communication, inclusion, and relational judgement until the work is harder to adjust.|vision|active|leadership-approach::results_process_vision_people::narrowing_2
leadership-approach|results_process_vision_people|narrowing_3|3|Before People is added|Vision can add range before People is brought in deliberately, but the pattern may still narrow if People is left until later. The likely miss is progress that looks organised from the outside while commitment, confidence, or shared understanding needs more attention, especially when Results and Process already feel convincing.|people|active|leadership-approach::results_process_vision_people::narrowing_3
leadership-approach|results_process_people_vision|narrowing_1|1|When movement gets ahead of the whole picture|Results can narrow when urgency pulls attention towards the next decision before the wider conditions are clear. The work may gain movement, but it can also skip the structure, future reason, or trust needed for follow-through to hold.|vision|active|leadership-approach::results_process_people_vision::narrowing_1
leadership-approach|results_process_people_vision|narrowing_2|2|When Results and Process take most of the space|Results and Process can narrow together when the combination of decision, ownership, and follow-through with sequence, standards, and dependable handover answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer communication, inclusion, and relational judgement or a stronger future frame and reason for the work until the work is harder to adjust.|people|active|leadership-approach::results_process_people_vision::narrowing_2
leadership-approach|results_process_people_vision|narrowing_3|3|Before Vision is added|People can add range before Vision is brought in deliberately, but the pattern may still narrow if Vision is left until later. The likely miss is decisions that solve the immediate pressure but do not explain what the work is meant to lead towards, especially when Results and Process already feel convincing.|vision|active|leadership-approach::results_process_people_vision::narrowing_3
leadership-approach|results_vision_process_people|narrowing_1|1|When movement gets ahead of the whole picture|Results can narrow when urgency pulls attention towards the next decision before the wider conditions are clear. The work may gain movement, but it can also skip the structure, future reason, or trust needed for follow-through to hold.|people|active|leadership-approach::results_vision_process_people::narrowing_1
leadership-approach|results_vision_process_people|narrowing_2|2|When Results and Vision take most of the space|Results and Vision can narrow together when the combination of decision, ownership, and follow-through with direction, meaning, and future consequence answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer sequence, standards, or handover or clearer communication, inclusion, and relational judgement until the work is harder to adjust.|process|active|leadership-approach::results_vision_process_people::narrowing_2
leadership-approach|results_vision_process_people|narrowing_3|3|Before People is added|Process can add range before People is brought in deliberately, but the pattern may still narrow if People is left until later. The likely miss is progress that looks organised from the outside while commitment, confidence, or shared understanding needs more attention, especially when Results and Vision already feel convincing.|people|active|leadership-approach::results_vision_process_people::narrowing_3
leadership-approach|results_vision_people_process|narrowing_1|1|When movement gets ahead of the whole picture|Results can narrow when urgency pulls attention towards the next decision before the wider conditions are clear. The work may gain movement, but it can also skip the structure, future reason, or trust needed for follow-through to hold.|process|active|leadership-approach::results_vision_people_process::narrowing_1
leadership-approach|results_vision_people_process|narrowing_2|2|When Results and Vision take most of the space|Results and Vision can narrow together when the combination of decision, ownership, and follow-through with direction, meaning, and future consequence answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer communication, inclusion, and relational judgement or clearer sequence, standards, or handover until the work is harder to adjust.|people|active|leadership-approach::results_vision_people_process::narrowing_2
leadership-approach|results_vision_people_process|narrowing_3|3|Before Process is added|People can add range before Process is brought in deliberately, but the pattern may still narrow if Process is left until later. The likely miss is energy that depends on individual effort because the method is not yet clear enough to repeat, especially when Results and Vision already feel convincing.|process|active|leadership-approach::results_vision_people_process::narrowing_3
leadership-approach|results_people_process_vision|narrowing_1|1|When movement gets ahead of the whole picture|Results can narrow when urgency pulls attention towards the next decision before the wider conditions are clear. The work may gain movement, but it can also skip the structure, future reason, or trust needed for follow-through to hold.|vision|active|leadership-approach::results_people_process_vision::narrowing_1
leadership-approach|results_people_process_vision|narrowing_2|2|When Results and People take most of the space|Results and People can narrow together when the combination of decision, ownership, and follow-through with trust, communication, and shared commitment answers the first questions too quickly. The pattern may look productive, but it can leave less room for clearer sequence, standards, or handover or a stronger future frame and reason for the work until the work is harder to adjust.|process|active|leadership-approach::results_people_process_vision::narrowing_2
leadership-approach|results_people_process_vision|narrowing_3|3|Before Vision is added|Process can add range before Vision is brought in deliberately, but the pattern may still narrow if Vision is left until later. The likely miss is decisions that solve the immediate pressure but do not explain what the work is meant to lead towards, especially when Results and People already feel convincing.|vision|active|leadership-approach::results_people_process_vision::narrowing_3
leadership-approach|results_people_vision_process|narrowing_1|1|When movement gets ahead of the whole picture|Results can narrow when urgency pulls attention towards the next decision before the wider conditions are clear. The work may gain movement, but it can also skip the structure, future reason, or trust needed for follow-through to hold.|process|active|leadership-approach::results_people_vision_process::narrowing_1
leadership-approach|results_people_vision_process|narrowing_2|2|When Results and People take most of the space|Results and People can narrow together when the combination of decision, ownership, and follow-through with trust, communication, and shared commitment answers the first questions too quickly. The pattern may look productive, but it can leave less room for a stronger future frame and reason for the work or clearer sequence, standards, or handover until the work is harder to adjust.|vision|active|leadership-approach::results_people_vision_process::narrowing_2
leadership-approach|results_people_vision_process|narrowing_3|3|Before Process is added|Vision can add range before Process is brought in deliberately, but the pattern may still narrow if Process is left until later. The likely miss is energy that depends on individual effort because the method is not yet clear enough to repeat, especially when Results and People already feel convincing.|process|active|leadership-approach::results_people_vision_process::narrowing_3
