domain_key|question_key|option_key|option_order|option_label|option_text|status|option_intent|authoring_notes
decision_style|q01|A|1|A|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q01|B|2|B|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q01|C|3|C|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q01|D|4|D|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q02|A|1|A|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q02|B|2|B|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q02|C|3|C|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q02|D|4|D|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q03|A|1|A|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q03|B|2|B|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q03|C|3|C|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q03|D|4|D|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q04|A|1|A|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q04|B|2|B|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q04|C|3|C|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q04|D|4|D|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q05|A|1|A|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q05|B|2|B|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q05|C|3|C|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q05|D|4|D|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q06|A|1|A|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q06|B|2|B|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q06|C|3|C|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q06|D|4|D|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q07|A|1|A|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q07|B|2|B|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q07|C|3|C|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q07|D|4|D|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q08|A|1|A|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q08|B|2|B|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q08|C|3|C|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q08|D|4|D|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q09|A|1|A|Run a quick evidence check against prior results before choosing.|draft|Primary evidence behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q09|B|2|B|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q09|C|3|C|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q09|D|4|D|Choose the path with the clearest execution route and fastest workable progress.|draft|Primary pragmatism behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q10|A|1|A|Trust pattern-recognition from earlier decisions in similar conditions.|draft|Primary instinct behavioural choice in context.|Option set calibrated to keep all four signals credible.
decision_style|q10|B|2|B|Prioritise the path that maintains fairness, accountability, and policy integrity.|draft|Primary principle behavioural choice in context.|Option set calibrated to keep all four signals credible.
