domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|synthesis_title|gift|trap|takeaway|synthesis_text|status|lookup_key
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|concentrated|social_exchange|deep_focus|creative_movement|physical_rhythm|Exchange that becomes focused clarity|You can use conversation, feedback, or shared problem-solving to make unclear work easier to see.|You may keep responding after the work needs quiet attention or a reset.|Let exchange open the work, then step back to focus and recover.|This result starts through live contact. Deep Focus gives the useful point substance after the exchange has revealed it. Creative Movement adds range when the conversation becomes too narrow. Physical Rhythm helps clear the system when response has become busy.|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::concentrated
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|paired|social_exchange|deep_focus|creative_movement|physical_rhythm|Response with focused follow-through|You can turn live exchange into careful work with substance behind it.|You may move between talking and thinking after the work needs a new angle or a pause.|Use the exchange to find the point, then give it focus before opening another round.|Social Exchange and Deep Focus sit close together here. Exchange helps the work become visible, and focus keeps the important part from being lost in the next response. Creative Movement adds a less obvious angle when needed. Physical Rhythm resets energy before the exchange becomes too extended.|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::paired
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|graduated|social_exchange|deep_focus|creative_movement|physical_rhythm|Exchange, focus, ideas, then reset|You can move from live clarity into substance, range, and recovery.|You may wait until the exchange has become crowded before changing state.|Follow the sequence, then reset before more talking or thinking.|This result works in a clear order. Social Exchange opens the work. Deep Focus develops the useful point. Creative Movement widens the next step, and Physical Rhythm helps attention recover. The strength is shared clarity that can become stronger work.|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::graduated
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|balanced|social_exchange|deep_focus|creative_movement|physical_rhythm|Flexible clarity through several conditions|You can use exchange, focus, ideas, or movement depending on what makes the work clearer.|You may change conditions before one route has had enough time to produce a clear result.|Choose the condition the work needs now, then give it a fair chance.|Social Exchange appears first, but only lightly. Some tasks may need conversation, some need quiet attention, some need a fresh angle, and some need a physical reset. The value is flexible clarity across different conditions. The risk is moving between them before the work has settled.|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::balanced
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|concentrated|social_exchange|deep_focus|physical_rhythm|creative_movement|Exchange with depth and reset|You can use live response to find the point, then develop it with care.|You may make the work too settled before a fresh angle has had enough room.|Use response to open the work, then focus, reset, and invite one alternative.|This result begins with exchange. Deep Focus gives the useful part substance once the conversation has revealed it. Physical Rhythm helps reset when the work becomes too verbal or busy. Creative Movement may need deliberate space when the answer has become too fixed.|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::concentrated
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|paired|social_exchange|deep_focus|physical_rhythm|creative_movement|Live exchange with a thinking base|You can combine responsive clarity with careful follow-through.|You may rely on exchange and focus before giving the work enough reset or possibility.|Let the conversation find the point, then check whether the next step needs movement or a new angle.|Social Exchange and Deep Focus form the close pair here. Exchange reveals what matters, and focus develops it after the interaction. Physical Rhythm helps lower the noise before the next pass. Creative Movement adds range when the work needs a less obvious route.|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::paired
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|graduated|social_exchange|deep_focus|physical_rhythm|creative_movement|Exchange, focus, reset, then open|You can move from shared clarity into substance, steadiness, and later range.|You may invite new options only after the work already feels defined.|Use the reset to make room for a better angle, not only for more of the same.|This result follows a grounded order. Social Exchange opens the work. Deep Focus develops the important point. Physical Rhythm resets attention and energy. Creative Movement adds possibility when the result needs more range or originality.|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::graduated
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|balanced|social_exchange|deep_focus|physical_rhythm|creative_movement|Flexible response with depth and reset|You can use conversation, focus, movement, or ideas as the work changes.|You may stay with response and focus before noticing that a fresh angle would help.|Check whether the work needs attention, reset, or possibility before continuing.|Social Exchange is lightly first, with Deep Focus and Physical Rhythm close enough to matter. Some work needs a useful conversation, some needs quiet development, and some needs a change of state. Creative Movement remains meaningful when the work needs a less fixed direction. The strength is adaptable clarity.|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::balanced
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|concentrated|social_exchange|creative_movement|deep_focus|physical_rhythm|Shared ideas that gain substance|You can use live exchange to make ideas appear, sharpen, and develop.|You may stay in live idea momentum after the strongest direction needs focus or reset.|Let the exchange open possibilities, then choose one to deepen and recover from.|This result starts through response and possibility. Creative Movement gives the exchange range and keeps it from becoming only reaction. Deep Focus gives the strongest idea substance. Physical Rhythm helps reset when the work becomes too social, verbal, or crowded.|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::concentrated
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|paired|social_exchange|creative_movement|deep_focus|physical_rhythm|Exchange and ideas in close contact|You can create fresh direction through conversation, feedback, teaching, or shared sense-making.|You may keep reframing with others after the work needs follow-through or a pause.|Use the live idea energy, then choose what deserves attention.|Social Exchange and Creative Movement are best read together here. Exchange gives the work contact, and ideas give that contact range. Deep Focus develops the strongest direction after the live work. Physical Rhythm helps clear the load before the next response.|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::paired
