domain_key|pattern_key|score_shape|rank_1_signal_key|rank_2_signal_key|rank_3_signal_key|rank_4_signal_key|mechanics_title|core_mechanism|why_it_shows_up|what_it_protects|status|lookup_key
leadership_approach|results_process_vision_people|concentrated|results|process|vision|people|How Results-first leadership responds under pressure|This leadership pattern starts with Results: deciding what needs to happen and turning uncertainty into a next step people can follow. Process and Vision add range, while People keeps the response from narrowing too quickly.|This leadership pattern shows up when pressure makes clear outcomes and ownership feel like the clearest way to begin. The next signals test whether the response also needs stronger structure, coordination, and repeatable standards, longer-range direction, future context, and wider meaning, or deeper trust, communication, and shared confidence.|This leadership pattern protects the work from drift, unclear ownership, and decisions that do not become action. It narrows when pace outruns coordination, direction, or trust, so strengthen Process, Vision, and People before the response closes around Results alone.|active|leadership_approach::results_process_vision_people::concentrated
leadership_approach|results_process_vision_people|paired|results|process|vision|people|How Results-and-Process leadership responds under pressure|This leadership pattern organises the response through Results and Process together: combining clear outcomes and next steps with structure, sequence, and repeatable standards. Vision and People keep the pair from becoming too narrow.|This leadership pattern shows up when pressure makes both clear outcomes and next steps and structure, sequence, and repeatable standards feel necessary to stabilise the work. The later signals test whether the response also needs longer-range direction, future context, and wider meaning or deeper trust, communication, and shared confidence.|This leadership pattern protects the work from drift, unclear ownership, and decisions that do not become action while adding structure, sequence, and repeatable standards. It narrows when the pair runs ahead of Vision and People, so strengthen them before the response closes around the top two routes.|active|leadership_approach::results_process_vision_people::paired
leadership_approach|results_process_vision_people|graduated|results|process|vision|people|How a Results-led leadership sequence responds under pressure|This leadership pattern follows a clear sequence: Results starts the response, Process strengthens it, then Vision and People add range as the work broadens.|This leadership pattern shows up when pressure rewards a clear order of attention, starting with clear outcomes and ownership. Each later signal tests whether the response also needs stronger structure, coordination, and repeatable standards, longer-range direction, future context, and wider meaning, or deeper trust, communication, and shared confidence.|This leadership pattern protects the work by giving leadership attention a sequence from clear outcomes and next steps toward trust, communication, and shared confidence. It narrows when Vision or People arrive too late, so bring them in before the first routes settle the response too early.|active|leadership_approach::results_process_vision_people::graduated
leadership_approach|results_process_vision_people|balanced|results|process|vision|people|How flexible Results-led leadership responds under pressure|This leadership pattern can enter through several routes. Results gives the first route, while Process, Vision, and People help the response fit the situation.|This leadership pattern shows up when pressure contains several leadership demands at once. Results gives the first route, then Process, Vision, and People test what the situation needs next.|This leadership pattern protects the work from over-relying on one leadership route. It narrows when switching routes creates confusion, so name the current priority before moving from Results toward Process, Vision, and People.|active|leadership_approach::results_process_vision_people::balanced
leadership_approach|results_process_people_vision|concentrated|results|process|people|vision|How Results-first leadership responds under pressure|This leadership pattern starts with Results: deciding what needs to happen and turning uncertainty into a next step people can follow. Process and People add range, while Vision keeps the response from narrowing too quickly.|This leadership pattern shows up when pressure makes clear outcomes and ownership feel like the clearest way to begin. The next signals test whether the response also needs stronger structure, coordination, and repeatable standards, deeper trust, communication, and shared confidence, or longer-range direction, future context, and wider meaning.|This leadership pattern protects the work from drift, unclear ownership, and decisions that do not become action. It narrows when pace outruns coordination, direction, or trust, so strengthen Process, People, and Vision before the response closes around Results alone.|active|leadership_approach::results_process_people_vision::concentrated
leadership_approach|results_process_people_vision|paired|results|process|people|vision|How Results-and-Process leadership responds under pressure|This leadership pattern organises the response through Results and Process together: combining clear outcomes and next steps with structure, sequence, and repeatable standards. People and Vision keep the pair from becoming too narrow.|This leadership pattern shows up when pressure makes both clear outcomes and next steps and structure, sequence, and repeatable standards feel necessary to stabilise the work. The later signals test whether the response also needs deeper trust, communication, and shared confidence or longer-range direction, future context, and wider meaning.|This leadership pattern protects the work from drift, unclear ownership, and decisions that do not become action while adding structure, sequence, and repeatable standards. It narrows when the pair runs ahead of People and Vision, so strengthen them before the response closes around the top two routes.|active|leadership_approach::results_process_people_vision::paired
leadership_approach|results_process_people_vision|graduated|results|process|people|vision|How a Results-led leadership sequence responds under pressure|This leadership pattern follows a clear sequence: Results starts the response, Process strengthens it, then People and Vision add range as the work broadens.|This leadership pattern shows up when pressure rewards a clear order of attention, starting with clear outcomes and ownership. Each later signal tests whether the response also needs stronger structure, coordination, and repeatable standards, deeper trust, communication, and shared confidence, or longer-range direction, future context, and wider meaning.|This leadership pattern protects the work by giving leadership attention a sequence from clear outcomes and next steps toward longer-range direction and future context. It narrows when People or Vision arrive too late, so bring them in before the first routes settle the response too early.|active|leadership_approach::results_process_people_vision::graduated
leadership_approach|results_process_people_vision|balanced|results|process|people|vision|How flexible Results-led leadership responds under pressure|This leadership pattern can enter through several routes. Results gives the first route, while Process, People, and Vision help the response fit the situation.|This leadership pattern shows up when pressure contains several leadership demands at once. Results gives the first route, then Process, People, and Vision test what the situation needs next.|This leadership pattern protects the work from over-relying on one leadership route. It narrows when switching routes creates confusion, so name the current priority before moving from Results toward Process, People, and Vision.|active|leadership_approach::results_process_people_vision::balanced
leadership_approach|results_vision_process_people|concentrated|results|vision|process|people|How Results-first leadership responds under pressure|This leadership pattern starts with Results: deciding what needs to happen and turning uncertainty into a next step people can follow. Vision and Process add range, while People keeps the response from narrowing too quickly.|This leadership pattern shows up when pressure makes clear outcomes and ownership feel like the clearest way to begin. The next signals test whether the response also needs longer-range direction, future context, and wider meaning, stronger structure, coordination, and repeatable standards, or deeper trust, communication, and shared confidence.|This leadership pattern protects the work from drift, unclear ownership, and decisions that do not become action. It narrows when pace outruns coordination, direction, or trust, so strengthen Vision, Process, and People before the response closes around Results alone.|active|leadership_approach::results_vision_process_people::concentrated
leadership_approach|results_vision_process_people|paired|results|vision|process|people|How Results-and-Vision leadership responds under pressure|This leadership pattern organises the response through Results and Vision together: combining clear outcomes and next steps with longer-range direction and future context. Process and People keep the pair from becoming too narrow.|This leadership pattern shows up when pressure makes both clear outcomes and next steps and longer-range direction and future context feel necessary to stabilise the work. The later signals test whether the response also needs stronger structure, coordination, and repeatable standards or deeper trust, communication, and shared confidence.|This leadership pattern protects the work from drift, unclear ownership, and decisions that do not become action while adding longer-range direction and future context. It narrows when the pair runs ahead of Process and People, so strengthen them before the response closes around the top two routes.|active|leadership_approach::results_vision_process_people::paired
