domain_key|question_key|option_key|signal_key|weight|status|lookup_key
flow_state|q01|q01_A|deep_focus|3|active|q01::q01_A::deep_focus
flow_state|q01|q01_B|creative_movement|3|active|q01::q01_B::creative_movement
flow_state|q01|q01_C|physical_rhythm|3|active|q01::q01_C::physical_rhythm
flow_state|q01|q01_D|social_exchange|3|active|q01::q01_D::social_exchange
flow_state|q02|q02_A|deep_focus|3|active|q02::q02_A::deep_focus
flow_state|q02|q02_B|creative_movement|3|active|q02::q02_B::creative_movement
flow_state|q02|q02_C|physical_rhythm|3|active|q02::q02_C::physical_rhythm
flow_state|q02|q02_D|social_exchange|3|active|q02::q02_D::social_exchange
flow_state|q03|q03_A|deep_focus|3|active|q03::q03_A::deep_focus
flow_state|q03|q03_B|creative_movement|3|active|q03::q03_B::creative_movement
flow_state|q03|q03_C|physical_rhythm|3|active|q03::q03_C::physical_rhythm
flow_state|q03|q03_D|social_exchange|3|active|q03::q03_D::social_exchange
flow_state|q04|q04_A|deep_focus|3|active|q04::q04_A::deep_focus
flow_state|q04|q04_B|creative_movement|3|active|q04::q04_B::creative_movement
flow_state|q04|q04_C|physical_rhythm|3|active|q04::q04_C::physical_rhythm
flow_state|q04|q04_D|social_exchange|3|active|q04::q04_D::social_exchange
flow_state|q05|q05_A|deep_focus|3|active|q05::q05_A::deep_focus
flow_state|q05|q05_B|creative_movement|3|active|q05::q05_B::creative_movement
flow_state|q05|q05_C|physical_rhythm|3|active|q05::q05_C::physical_rhythm
flow_state|q05|q05_D|social_exchange|3|active|q05::q05_D::social_exchange
flow_state|q06|q06_A|deep_focus|3|active|q06::q06_A::deep_focus
flow_state|q06|q06_B|creative_movement|3|active|q06::q06_B::creative_movement
flow_state|q06|q06_C|physical_rhythm|3|active|q06::q06_C::physical_rhythm
flow_state|q06|q06_D|social_exchange|3|active|q06::q06_D::social_exchange
flow_state|q07|q07_A|deep_focus|3|active|q07::q07_A::deep_focus
flow_state|q07|q07_B|creative_movement|3|active|q07::q07_B::creative_movement
flow_state|q07|q07_C|physical_rhythm|3|active|q07::q07_C::physical_rhythm
flow_state|q07|q07_D|social_exchange|3|active|q07::q07_D::social_exchange
flow_state|q08|q08_A|deep_focus|3|active|q08::q08_A::deep_focus
flow_state|q08|q08_B|creative_movement|3|active|q08::q08_B::creative_movement
flow_state|q08|q08_C|physical_rhythm|3|active|q08::q08_C::physical_rhythm
flow_state|q08|q08_D|social_exchange|3|active|q08::q08_D::social_exchange
flow_state|q09|q09_A|deep_focus|3|active|q09::q09_A::deep_focus
flow_state|q09|q09_B|creative_movement|3|active|q09::q09_B::creative_movement
flow_state|q09|q09_C|physical_rhythm|3|active|q09::q09_C::physical_rhythm
flow_state|q09|q09_D|social_exchange|3|active|q09::q09_D::social_exchange
