domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|strength_1|1|Getting work moving|You may find flow when your body, setting, or pace helps the task start. This is useful when thinking improves after there is movement or practical contact with the work.|physical_rhythm|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::strength_1
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|strength_2|2|Making focus easier to sustain|Deep Focus gives your momentum a clear target. The combination can turn movement or routine into careful progress on work that needs attention.|deep_focus|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::strength_2
flow_state|physical_rhythm_deep_focus_creative_movement_social_exchange|strength_3|3|Opening and checking the result|Creative Movement adds range when steady progress needs a better angle. Social Exchange helps you test whether the finished thought is clear to someone else.|creative_movement|active|flow_state::physical_rhythm_deep_focus_creative_movement_social_exchange::strength_3
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|strength_1|1|Using rhythm as a way in|You can often make progress by changing pace, place, posture, or routine. This helps when the task feels clearer once you are physically engaged with it.|physical_rhythm|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::strength_1
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|strength_2|2|Turning movement into careful work|Deep Focus helps the practical start become sustained attention. You can use rhythm to settle into the task, then stay with the demanding part.|deep_focus|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::strength_2
flow_state|physical_rhythm_deep_focus_social_exchange_creative_movement|strength_3|3|Testing before changing angle|Social Exchange helps you find out whether the work is clear and usable. Creative Movement then adds deliberate range when the careful answer needs another option.|social_exchange|active|flow_state::physical_rhythm_deep_focus_social_exchange_creative_movement::strength_3
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|strength_1|1|Finding flow through action|You may think better when there is movement, pace, or hands-on contact. This can help you start before the whole answer is fully formed.|physical_rhythm|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::strength_1
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|strength_2|2|Letting movement create options|Creative Movement works well here because ideas can appear through doing, trying, or changing the setup. The work can become more flexible without losing momentum.|creative_movement|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::strength_2
flow_state|physical_rhythm_creative_movement_deep_focus_social_exchange|strength_3|3|Adding care and response|Deep Focus helps you develop the best option properly. Social Exchange can then check whether the result is clear, especially after a fast or active start.|deep_focus|active|flow_state::physical_rhythm_creative_movement_deep_focus_social_exchange::strength_3
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|strength_1|1|Keeping momentum available|You can often get unstuck by shifting state rather than forcing more thought. This helps when the work needs energy, pace, or a practical route back in.|physical_rhythm|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::strength_1
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|strength_2|2|Making ideas through movement|Creative Movement adds flexibility to your rhythm. A change of order, example, tool, or setting can help an idea appear while the work is in motion.|creative_movement|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::strength_2
flow_state|physical_rhythm_creative_movement_social_exchange_deep_focus|strength_3|3|Checking before settling deeply|Social Exchange helps you test ideas while they are still easy to adjust. Deep Focus is a deliberate strength when one option needs careful thought and completion.|social_exchange|active|flow_state::physical_rhythm_creative_movement_social_exchange_deep_focus::strength_3
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|strength_1|1|Resetting the work through pace|You may find flow by changing the rhythm around the task. Movement, timing, environment, or hands-on action can make the next step more available.|physical_rhythm|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::strength_1
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|strength_2|2|Thinking better in exchange|Social Exchange helps your rhythm turn into shared progress. Talking, teaching, or testing an idea with someone can make the work easier to organise.|social_exchange|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::strength_2
flow_state|physical_rhythm_social_exchange_deep_focus_creative_movement|strength_3|3|Adding depth and options|Deep Focus helps you stay with the point that matters after the exchange. Creative Movement then gives deliberate range when the answer needs a fresher route.|deep_focus|active|flow_state::physical_rhythm_social_exchange_deep_focus_creative_movement::strength_3
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|strength_1|1|Creating a practical way back in|You can often return to flow through pace, movement, or a change in setting. This helps when the task feels clearer after your state has shifted.|physical_rhythm|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::strength_1
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|strength_2|2|Using response to organise momentum|Social Exchange can turn movement into clearer direction. A live question, quick explanation, or shared check can show what the next action should be.|social_exchange|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::strength_2
flow_state|physical_rhythm_social_exchange_creative_movement_deep_focus|strength_3|3|Keeping the work flexible and finished|Creative Movement adds new options when the practical route needs more range. Deep Focus then helps you develop the chosen option with care.|creative_movement|active|flow_state::physical_rhythm_social_exchange_creative_movement_deep_focus::strength_3
