domain_key|pattern_key|strength_key|priority|strength_title|strength_text|linked_signal_key|status|lookup_key
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|strength_1|1|Staying with demanding work|You can give hard thinking enough time to become clear. This helps when the task needs care, accuracy, or a decision that should not be rushed.|deep_focus|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::strength_1
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|strength_2|2|Turning depth into better options|Your best ideas may appear after you have understood the problem properly. Focus gives the work weight, and Creative Movement helps you find a less obvious angle without losing the main thread.|creative_movement|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::strength_2
flow-state|deep_focus_creative_movement_physical_rhythm_social_exchange|strength_3|3|Keeping the work usable|Physical Rhythm can help you notice when attention needs a change of pace. Social Exchange then gives you a clear way to check whether the work makes sense to someone else.|physical_rhythm|active|flow-state::deep_focus_creative_movement_physical_rhythm_social_exchange::strength_3
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|strength_1|1|Building a solid view|You may find flow when you can stay with one difficult point until it becomes easier to explain. This makes your work feel considered rather than improvised.|deep_focus|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::strength_1
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|strength_2|2|Finding original clarity|Deep Focus helps you hold the problem still, while Creative Movement lets the answer shift. This can produce ideas that are both careful and fresh.|creative_movement|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::strength_2
flow-state|deep_focus_creative_movement_social_exchange_physical_rhythm|strength_3|3|Making the idea easier to use|Social Exchange helps you hear what is clear, confusing, or missing. Physical Rhythm can then give you a practical reset before the next round of thinking.|social_exchange|active|flow-state::deep_focus_creative_movement_social_exchange_physical_rhythm::strength_3
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|strength_1|1|Holding attention steadily|You can often stay with demanding work without needing constant change. This helps when progress depends on concentration, patience, and finishing the hard part.|deep_focus|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::strength_1
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|strength_2|2|Using pace to support focus|Physical Rhythm gives your concentration a practical base. A walk, routine, change of setting, or steady work cycle can make careful thinking easier to sustain.|physical_rhythm|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::strength_2
flow-state|deep_focus_physical_rhythm_creative_movement_social_exchange|strength_3|3|Opening the work at the right time|Creative Movement adds range once the work has traction. Social Exchange can help you test the result before it becomes too closed or too personal to the task.|creative_movement|active|flow-state::deep_focus_physical_rhythm_creative_movement_social_exchange::strength_3
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|strength_1|1|Doing careful work that holds up|You can give important work enough attention to make it reliable. This is a strength when mistakes would be costly or when the answer needs to be well founded.|deep_focus|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::strength_1
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|strength_2|2|Making concentration workable|Physical Rhythm helps you keep attention available through pace, movement, routine, or environment. This can make deep work feel less forced and more repeatable.|physical_rhythm|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::strength_2
flow-state|deep_focus_physical_rhythm_social_exchange_creative_movement|strength_3|3|Checking before adding range|Social Exchange helps you test whether the careful work lands. Creative Movement is then a deliberate way to add a better angle when the first answer feels too fixed.|social_exchange|active|flow-state::deep_focus_physical_rhythm_social_exchange_creative_movement::strength_3
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|strength_1|1|Forming a clear judgement|You may work best when you can think something through before responding. This gives your contribution a stronger base when the issue is complex or sensitive.|deep_focus|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::strength_1
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|strength_2|2|Sharpening thought through response|Social Exchange helps you turn a private view into something clearer. A good question or live reaction can show what your thinking has actually become.|social_exchange|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::strength_2
flow-state|deep_focus_social_exchange_creative_movement_physical_rhythm|strength_3|3|Adding options and recovery|Creative Movement gives you room to reframe after the main point is visible. Physical Rhythm can help you step out of repeated thinking or repeated conversation.|creative_movement|active|flow-state::deep_focus_social_exchange_creative_movement_physical_rhythm::strength_3
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|strength_1|1|Thinking before the work is shared|You can often make better progress after you have had enough quiet contact with the problem. This helps you bring a clearer view into discussion.|deep_focus|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::strength_1
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|strength_2|2|Using feedback without losing judgement|Social Exchange helps you test your view while keeping the benefit of your own thinking. You can listen for what improves the work, not just what creates noise.|social_exchange|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::strength_2
flow-state|deep_focus_social_exchange_physical_rhythm_creative_movement|strength_3|3|Resetting before widening|Physical Rhythm can clear space after careful thinking and conversation. Creative Movement then adds a deliberate route to fresh options when the work needs more range.|physical_rhythm|active|flow-state::deep_focus_social_exchange_physical_rhythm_creative_movement::strength_3
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|strength_1|1|Finding a better angle|You may find flow when the work can move, turn, or be seen from a different side. This helps when the first answer is too obvious or too narrow.|creative_movement|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::strength_1
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|strength_2|2|Giving ideas enough substance|Deep Focus helps your options become more than passing thoughts. You can explore widely, then stay with the strongest idea until it becomes clear and usable.|deep_focus|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::strength_2
flow-state|creative_movement_deep_focus_physical_rhythm_social_exchange|strength_3|3|Moving and checking the work|Physical Rhythm can keep idea work from becoming too mental. Social Exchange adds a later check so the idea can be tested in plain language.|physical_rhythm|active|flow-state::creative_movement_deep_focus_physical_rhythm_social_exchange::strength_3
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|strength_1|1|Opening possibilities quickly|Your best ideas may appear when you can try a different frame before the work hardens. This is useful when a task needs options, invention, or a new route through complexity.|creative_movement|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::strength_1
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|strength_2|2|Turning options into clear work|Deep Focus helps you stay with the idea that deserves more time. The combination can move from possibility into careful thinking without losing energy.|deep_focus|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::strength_2
flow-state|creative_movement_deep_focus_social_exchange_physical_rhythm|strength_3|3|Explaining what has changed|Social Exchange helps you show the idea to another person and hear what lands. Physical Rhythm can support a reset when the work has stayed in thought and talk for too long.|social_exchange|active|flow-state::creative_movement_deep_focus_social_exchange_physical_rhythm::strength_3
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|strength_1|1|Creating movement in stuck work|You can often find flow by changing the shape of the task. A fresh example, sketch, route, or order can make the next step easier to see.|creative_movement|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::strength_1
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|strength_2|2|Thinking through action and pace|Physical Rhythm helps your ideas stay connected to movement, timing, and practical momentum. This can make experimentation feel grounded rather than scattered.|physical_rhythm|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::strength_2
flow-state|creative_movement_physical_rhythm_deep_focus_social_exchange|strength_3|3|Settling and sharing the result|Deep Focus lets you stay with the best option long enough to finish the thinking. Social Exchange can then test whether the result is clear beyond your own process.|deep_focus|active|flow-state::creative_movement_physical_rhythm_deep_focus_social_exchange::strength_3
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|strength_1|1|Reframing while the work is live|You may find flow when you can adjust the work as it develops. This helps with tasks where the answer becomes clearer through trying, moving, and noticing.|creative_movement|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::strength_1
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|strength_2|2|Keeping ideas in motion|Physical Rhythm helps you keep momentum while options are forming. Movement, pacing, or hands-on work can make the next idea easier to reach.|physical_rhythm|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::strength_2
flow-state|creative_movement_physical_rhythm_social_exchange_deep_focus|strength_3|3|Testing before going deeper|Social Exchange can reveal which option is worth developing. Deep Focus then becomes a deliberate strength when the work needs careful finishing, not just more movement.|social_exchange|active|flow-state::creative_movement_physical_rhythm_social_exchange_deep_focus::strength_3
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|strength_1|1|Generating options with others in mind|You can often see several ways a task could work. This helps when people need a new frame, a clearer explanation, or a different route into the problem.|creative_movement|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::strength_1
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|strength_2|2|Developing ideas through response|Social Exchange helps your ideas sharpen in real time. A question, reaction, or shared example can show which direction has life and which one needs changing.|social_exchange|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::strength_2
flow-state|creative_movement_social_exchange_deep_focus_physical_rhythm|strength_3|3|Adding depth and reset|Deep Focus helps you choose one idea and work it through carefully. Physical Rhythm can give you a practical reset when the idea loop or conversation has run long.|deep_focus|active|flow-state::creative_movement_social_exchange_deep_focus_physical_rhythm::strength_3
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|strength_1|1|Making ideas easy to enter|You may find flow when an idea can be explored out loud, sketched, or tried in a simple way. This helps others understand the work sooner.|creative_movement|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::strength_1
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|strength_2|2|Using conversation to improve options|Social Exchange helps you notice which idea becomes clearer when someone responds. The work can improve through questions, examples, and shared sense-making.|social_exchange|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::strength_2
flow-state|creative_movement_social_exchange_physical_rhythm_deep_focus|strength_3|3|Keeping range grounded|Physical Rhythm can turn idea work into a practical next step. Deep Focus adds deliberate depth when the strongest option needs careful development.|physical_rhythm|active|flow-state::creative_movement_social_exchange_physical_rhythm_deep_focus::strength_3
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|strength_1|1|Getting work moving|You may find flow when your body, setting, or pace helps the task start. This is useful when thinking improves after there is movement or practical contact with the work.|physical_rhythm|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::strength_1
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|strength_2|2|Making focus easier to sustain|Deep Focus gives your momentum a clear target. The combination can turn movement or routine into careful progress on work that needs attention.|deep_focus|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::strength_2
flow-state|physical_rhythm_deep_focus_creative_movement_social_exchange|strength_3|3|Opening and checking the result|Creative Movement adds range when steady progress needs a better angle. Social Exchange helps you test whether the finished thought is clear to someone else.|creative_movement|active|flow-state::physical_rhythm_deep_focus_creative_movement_social_exchange::strength_3
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|strength_1|1|Using rhythm as a way in|You can often make progress by changing pace, place, posture, or routine. This helps when the task feels clearer once you are physically engaged with it.|physical_rhythm|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::strength_1
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|strength_2|2|Turning movement into careful work|Deep Focus helps the practical start become sustained attention. You can use rhythm to settle into the task, then stay with the demanding part.|deep_focus|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::strength_2
flow-state|physical_rhythm_deep_focus_social_exchange_creative_movement|strength_3|3|Testing before changing angle|Social Exchange helps you find out whether the work is clear and usable. Creative Movement then adds deliberate range when the careful answer needs another option.|social_exchange|active|flow-state::physical_rhythm_deep_focus_social_exchange_creative_movement::strength_3
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|strength_1|1|Finding flow through action|You may think better when there is movement, pace, or hands-on contact. This can help you start before the whole answer is fully formed.|physical_rhythm|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::strength_1
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|strength_2|2|Letting movement create options|Creative Movement works well here because ideas can appear through doing, trying, or changing the setup. The work can become more flexible without losing momentum.|creative_movement|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::strength_2
flow-state|physical_rhythm_creative_movement_deep_focus_social_exchange|strength_3|3|Adding care and response|Deep Focus helps you develop the best option properly. Social Exchange can then check whether the result is clear, especially after a fast or active start.|deep_focus|active|flow-state::physical_rhythm_creative_movement_deep_focus_social_exchange::strength_3
flow-state|physical_rhythm_creative_movement_social_exchange_deep_focus|strength_1|1|Keeping momentum available|You can often get unstuck by shifting state rather than forcing more thought. This helps when the work needs energy, pace, or a practical route back in.|physical_rhythm|active|flow-state::physical_rhythm_creative_movement_social_exchange_deep_focus::strength_1
flow-state|physical_rhythm_creative_movement_social_exchange_deep_focus|strength_2|2|Making ideas through movement|Creative Movement adds flexibility to your rhythm. A change of order, example, tool, or setting can help an idea appear while the work is in motion.|creative_movement|active|flow-state::physical_rhythm_creative_movement_social_exchange_deep_focus::strength_2
flow-state|physical_rhythm_creative_movement_social_exchange_deep_focus|strength_3|3|Checking before settling deeply|Social Exchange helps you test ideas while they are still easy to adjust. Deep Focus is a deliberate strength when one option needs careful thought and completion.|social_exchange|active|flow-state::physical_rhythm_creative_movement_social_exchange_deep_focus::strength_3
flow-state|physical_rhythm_social_exchange_deep_focus_creative_movement|strength_1|1|Resetting the work through pace|You may find flow by changing the rhythm around the task. Movement, timing, environment, or hands-on action can make the next step more available.|physical_rhythm|active|flow-state::physical_rhythm_social_exchange_deep_focus_creative_movement::strength_1
flow-state|physical_rhythm_social_exchange_deep_focus_creative_movement|strength_2|2|Thinking better in exchange|Social Exchange helps your rhythm turn into shared progress. Talking, teaching, or testing an idea with someone can make the work easier to organise.|social_exchange|active|flow-state::physical_rhythm_social_exchange_deep_focus_creative_movement::strength_2
flow-state|physical_rhythm_social_exchange_deep_focus_creative_movement|strength_3|3|Adding depth and options|Deep Focus helps you stay with the point that matters after the exchange. Creative Movement then gives deliberate range when the answer needs a fresher route.|deep_focus|active|flow-state::physical_rhythm_social_exchange_deep_focus_creative_movement::strength_3
flow-state|physical_rhythm_social_exchange_creative_movement_deep_focus|strength_1|1|Creating a practical way back in|You can often return to flow through pace, movement, or a change in setting. This helps when the task feels clearer after your state has shifted.|physical_rhythm|active|flow-state::physical_rhythm_social_exchange_creative_movement_deep_focus::strength_1
flow-state|physical_rhythm_social_exchange_creative_movement_deep_focus|strength_2|2|Using response to organise momentum|Social Exchange can turn movement into clearer direction. A live question, quick explanation, or shared check can show what the next action should be.|social_exchange|active|flow-state::physical_rhythm_social_exchange_creative_movement_deep_focus::strength_2
flow-state|physical_rhythm_social_exchange_creative_movement_deep_focus|strength_3|3|Keeping the work flexible and finished|Creative Movement adds new options when the practical route needs more range. Deep Focus then helps you develop the chosen option with care.|creative_movement|active|flow-state::physical_rhythm_social_exchange_creative_movement_deep_focus::strength_3
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|strength_1|1|Thinking clearly with response|You may find flow when an idea can meet a real question, reaction, or explanation. This helps you see what is clear, useful, or worth developing next.|social_exchange|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::strength_1
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|strength_2|2|Giving exchange a strong base|Deep Focus helps your conversations stay grounded in careful thought. You can respond live without losing the value of depth and considered judgement.|deep_focus|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::strength_2
flow-state|social_exchange_deep_focus_creative_movement_physical_rhythm|strength_3|3|Opening and resetting the work|Creative Movement helps you reframe what the exchange reveals. Physical Rhythm can give you a practical reset before the next round of discussion or thinking.|creative_movement|active|flow-state::social_exchange_deep_focus_creative_movement_physical_rhythm::strength_3
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|strength_1|1|Making sense with others|You can often find flow by explaining, questioning, or testing a point with another person. The work becomes easier when response helps organise it.|social_exchange|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::strength_1
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|strength_2|2|Keeping shared thinking considered|Deep Focus helps you avoid shallow agreement or quick reactions. The combination supports conversations where the point is tested carefully and improved.|deep_focus|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::strength_2
flow-state|social_exchange_deep_focus_physical_rhythm_creative_movement|strength_3|3|Using reset to make room for range|Physical Rhythm can help after intense thought or exchange. Creative Movement then adds a deliberate way to find a different option when the discussion has become too settled.|physical_rhythm|active|flow-state::social_exchange_deep_focus_physical_rhythm_creative_movement::strength_3
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|strength_1|1|Improving ideas through live response|You may find flow when ideas can be spoken, challenged, taught, or tested. This helps you notice what lands and what needs a different frame.|social_exchange|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::strength_1
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|strength_2|2|Letting response create options|Creative Movement helps you use feedback as material for better ideas. A conversation can open new examples, routes, or explanations while the work is still alive.|creative_movement|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::strength_2
flow-state|social_exchange_creative_movement_deep_focus_physical_rhythm|strength_3|3|Adding depth and recovery|Deep Focus helps you choose the strongest idea and work it through. Physical Rhythm can reset your state when live thinking and idea movement have used a lot of energy.|deep_focus|active|flow-state::social_exchange_creative_movement_deep_focus_physical_rhythm::strength_3
